--- ABOUT ---
"Incorporated in 1995, GRM Overseas Ltd is in the business of milling, processing and marketing of branded /nonbranded basmati rice in the domestic and overseas market [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,933",93.3,186,26.0

Book Value,Dividend Yield,ROCE,ROE
29.0,0.00,14.0,14.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,434,320,204,382,406,370,315,371,291,327,362,483,597
Expenses +,413,296,196,364,384,347,304,359,259,303,348,461,567
Operating Profit,21,24,8,18,22,23,11,12,33,24,15,21,30
OPM %,5%,8%,4%,5%,5%,6%,4%,3%,11%,7%,4%,4%,5%
Other Income +,4,6,7,9,12,5,5,11,5,8,10,10,10
Interest,6,6,4,5,6,4,2,4,8,5,5,5,7
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,18,23,10,21,27,24,13,19,29,25,19,25,31
Tax %,37%,25%,31%,26%,21%,26%,27%,28%,29%,25%,21%,24%,27%
Net Profit +,11,17,7,15,21,18,9,14,20,19,15,19,22
EPS in Rs,0.63,0.97,0.37,0.86,1.18,1.00,0.51,0.75,1.14,1.04,0.80,1.04,1.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,355,591,943,"1,107",749,770,"1,134","1,379","1,312","1,347","1,769"
Expenses +,341,571,908,"1,072",702,702,"1,041","1,281","1,240","1,267","1,679"
Operating Profit,14,20,35,35,48,67,93,98,72,80,90
OPM %,4%,3%,4%,3%,6%,9%,8%,7%,6%,6%,5%
Other Income +,0,-0,0,1,13,6,37,13,33,26,37
Interest,9,10,15,16,14,12,13,20,21,18,23
Depreciation,2,2,2,2,3,3,3,4,4,3,3
Profit before tax,3,8,18,18,43,59,114,87,80,85,101
Tax %,34%,34%,35%,49%,26%,23%,26%,28%,25%,28%,25%
Net Profit +,2,6,12,9,32,45,85,63,61,61,74
EPS in Rs,0.12,0.34,0.71,0.54,1.90,2.55,4.66,3.48,3.32,3.37,3.59
Dividend Payout %,0%,0%,0%,20%,6%,17%,66%,4%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,12,12,12,12,41
Reserves,33,38,50,57,86,131,194,262,319,414,560
Borrowings +,132,198,292,348,210,188,338,413,393,364,368
Other Liabilities +,15,60,100,83,59,92,123,97,46,121,191
Total Liabilities,183,300,446,492,359,415,667,784,770,911,"1,160"
Fixed Assets +,21,21,21,31,38,36,37,39,37,40,41
CWIP,0,0,0,3,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,2,12,9,11,9
Other Assets +,162,279,425,459,321,379,628,733,725,860,"1,111"
Total Assets,183,300,446,492,359,415,667,784,770,911,"1,160"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,46,-67,-77,-21,162,35,-116,-89,47,62,-54
Cash from Investing Activity +,-1,-2,-2,-15,-7,-1,-6,-5,-4,-8,-53
Cash from Financing Activity +,-32,56,78,38,-155,-33,125,89,-39,-12,82
Net Cash Flow,13,-13,-1,2,0,1,3,-4,3,43,-24
Free Cash Flow,45,-69,-79,-36,155,34,-120,-94,45,56,-63
CFO/OP,330%,-316%,-207%,-33%,363%,74%,-108%,-62%,98%,113%,-30%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,46,74,92,125,120,130,107,134,130,119
Inventory Days,77,147,103,64,33,67,80,101,71,102,104
Days Payable,14,18,39,23,20,28,32,24,10,9,11
Cash Conversion Cycle,148,174,138,132,139,159,177,183,195,223,212
Working Capital Days,44,43,13,8,24,45,52,59,78,89,99
ROCE %,,9%,11%,9%,16%,23%,29%,17%,14%,14%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.72%,71.72%,71.72%,72.16%,72.29%,72.29%,72.29%,72.43%,70.84%,68.19%,68.27%,62.51%
FIIs +,0.00%,0.00%,0.08%,0.26%,0.67%,0.23%,0.17%,0.72%,1.89%,3.36%,4.92%,9.50%
DIIs +,0.00%,0.02%,0.00%,0.00%,0.00%,0.25%,0.25%,0.25%,0.49%,1.82%,1.63%,2.91%
Public +,28.28%,28.27%,28.20%,27.58%,27.05%,27.23%,27.29%,26.59%,26.78%,26.63%,25.18%,25.08%
No. of Shareholders,"21,031","26,016","25,302","25,248","25,571","34,199","33,919","27,780","23,837","23,083","24,638","22,615"

--- CAGR BOXES ---




