--- ABOUT ---
"Incorporated in 1989, Mamata Machinery Ltd is in the business of machineries related to Bag packing, Packing, Plastic extrusion, Parts, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
910,370,541,52.3

Book Value,Dividend Yield,ROCE,ROE
75.2,0.14,12.7,9.77

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,45.13,51.42,88.36,27.62,42.79,73.44,111.04,38.66,53.37,67.22,73.75
Expenses +,27.26,38.62,62.50,27.94,37.57,60.72,74.37,35.57,46.75,58.71,69.97
Operating Profit,17.87,12.80,25.86,-0.32,5.22,12.72,36.67,3.09,6.62,8.51,3.78
OPM %,39.60%,24.89%,29.27%,-1.16%,12.20%,17.32%,33.02%,7.99%,12.40%,12.66%,5.13%
Other Income +,2.22,1.51,1.15,1.57,1.15,1.16,1.34,1.50,0.80,2.49,-2.16
Interest,0.37,-0.03,0.20,0.18,0.21,0.29,0.16,0.12,0.08,0.23,0.31
Depreciation,17.42,0.92,0.74,0.75,0.79,0.91,0.86,0.82,1.02,1.21,1.25
Profit before tax,2.30,13.42,26.07,0.32,5.37,12.68,36.99,3.65,6.32,9.56,0.06
Tax %,15.65%,38.30%,19.60%,34.38%,13.59%,30.84%,26.68%,27.67%,28.48%,17.78%,83.33%
Net Profit +,1.94,8.28,20.96,0.22,4.65,8.77,27.12,2.65,4.53,7.87,0.01
EPS in Rs,7.10,30.28,76.66,0.09,1.89,3.56,11.02,1.08,1.84,3.20,0.00
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,114,148,192,201,237,255,233
Expenses +,113,124,162,177,190,200,211
Operating Profit,1,24,30,24,47,55,22
OPM %,1%,16%,16%,12%,20%,21%,10%
Other Income +,4,1,4,9,5,5,3
Interest,2,1,1,1,2,1,1
Depreciation,2,3,4,3,3,3,4
Profit before tax,1,20,30,29,46,55,20
Tax %,30%,27%,27%,21%,23%,26%,23%
Net Profit +,1,15,22,23,36,41,15
EPS in Rs,36.12,495.96,730.15,75.74,130.28,16.56,6.12
Dividend Payout %,14%,0%,1%,1%,0%,3%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,3,25,25
Reserves,38,54,101,125,129,147,160
Borrowings +,16,13,23,20,13,5,8
Other Liabilities +,62,72,89,80,92,82,74
Total Liabilities,119,142,216,228,237,258,268
Fixed Assets +,33,31,61,63,63,63,65
CWIP,0,0,0,0,0,0,0
Investments,0,0,7,0,0,0,0
Other Assets +,86,111,147,165,173,195,202
Total Assets,119,142,216,228,237,258,268

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,12,22,37,17,19,72,2
Cash from Investing Activity +,-5,-0,-36,-12,12,-11,-45
Cash from Financing Activity +,-5,-9,-3,-3,-36,-7,1
Net Cash Flow,2,13,-2,2,-5,55,-41
Free Cash Flow,6,22,36,16,18,70,-4
CFO/OP,"1,116%",102%,155%,90%,58%,159%,32%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,50,30,31,32,58,45,63
Inventory Days,345,319,307,279,251,298,252
Days Payable,217,205,131,100,103,99,88
Cash Conversion Cycle,178,144,208,211,206,244,227
Working Capital Days,22,6,-20,-4,25,55,93
ROCE %,,33%,31%,22%,33%,35%,13%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.45%,62.45%,62.45%,62.45%,62.45%,62.45%
FIIs +,1.46%,0.26%,0.04%,0.20%,0.05%,0.16%
DIIs +,3.70%,1.47%,0.86%,0.27%,0.32%,1.66%
Public +,32.38%,35.83%,36.65%,37.08%,37.18%,35.72%
No. of Shareholders,"65,272","67,086","63,063","68,976","63,888","58,374"

--- CAGR BOXES ---




