--- ABOUT ---
"Incorporated in 1994, Ashika Credit Capital Ltd provides loans and advances, inter-corporate deposits, loans against securities, and investments in shares and securities [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,939",399,440 / 286,48.8

Book Value,Dividend Yield,ROCE,ROE
261,0.00,13.3,7.49

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,44,70,21,45,50
Interest,10,0,0,11,3
Expenses +,98,4,4,31,68
Financing Profit,-64,66,17,3,-21
Financing Margin %,-146%,95%,82%,7%,-41%
Other Income +,1,0,0,7,4
Depreciation,4,0,0,5,5
Profit before tax,-67,66,17,5,-22
Tax %,-30%,24%,25%,176%,65%
Net Profit +,-47,50,12,-4,-36
EPS in Rs,-14.11,13.20,3.31,-0.85,-7.85
Gross NPA %,,,,,
Net NPA %,,,,,
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2024,Mar 2025,Mar 2026
Revenue +,48,4,29,18,4,240
Interest,1,0,0,1,8,33
Expenses +,46,4,28,5,63,112
Financing Profit,1,0,1,13,-67,95
Financing Margin %,2%,6%,3%,69%,"-1,573%",40%
Other Income +,0,-0,0,0,0,14
Depreciation,0,0,0,0,0,17
Profit before tax,1,0,1,13,-67,92
Tax %,14%,26%,36%,16%,-23%,36%
Net Profit +,1,0,1,11,-51,59
EPS in Rs,,,,9.01,-15.55,13.48
Dividend Payout %,0%,0%,0%,0%,0%,4%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,12,33,45
Reserves,5,5,5,56,407,"1,124"
Borrowing,1,13,1,25,1,262
Other Liabilities +,2,1,7,2,2,432
Total Liabilities,12,23,18,95,443,"1,862"
Fixed Assets +,3,3,1,0,1,186
CWIP,0,0,0,0,0,0
Investments,3,1,1,94,341,723
Other Assets +,5,19,16,1,102,953
Total Assets,12,23,18,95,443,"1,862"

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,5,-13,13,-25,-390,-86
Cash from Investing Activity +,-2,2,1,0,-1,-23
Cash from Financing Activity +,-3,12,-13,25,399,158
Net Cash Flow,1,1,1,0,8,49
Free Cash Flow,3,-13,13,-25,-391,-101
CFO/OP,298%,"-2,755%","1,019%",-174%,654%,-58%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2024,Mar 2025,Mar 2026
ROE %,10%,2%,6%,16%,-20%,7%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,May 2026
Promoters +,58.44%,58.95%,58.95%,60.53%,63.40%,60.27%,58.69%,50.88%,50.88%,58.00%,58.00%,74.51%
FIIs +,2.72%,2.72%,2.72%,2.72%,1.51%,1.29%,0.93%,0.81%,0.85%,0.73%,0.73%,1.37%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.39%,0.00%,0.00%,0.00%,0.73%,0.44%
Public +,38.86%,38.34%,38.33%,36.75%,35.09%,37.92%,39.98%,48.31%,48.28%,41.27%,40.55%,23.68%
No. of Shareholders,"1,551","1,799","1,697","1,990","2,240","3,124","3,198","3,921","4,000","4,185","4,341","4,487"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,5562%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,217%

Stock Price CAGR
10 Years:,29%
5 Years:,54%
3 Years:,120%
1 Year:,2%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,2%
Last Year:,7%

