--- ABOUT ---
"APM Finvest Limited was incorporated in May 2016, a Non-Banking Financial Company Non-Deposit Taking (NBFC-ND) registered with Reserve Bank of India and is carrying on the business of Investment into shares, stocks, securities, and providing loans of all kinds. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,593",131,134,91.8

Book Value,Dividend Yield,ROCE,ROE
29.0,0.00,10.7,6.69

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,21,27,32,37,46,49,50,49,53,53,65
Interest,9,13,17,20,22,24,23,26,26,31,38
Expenses +,7,7,9,10,15,17,22,18,19,12,12
Financing Profit,6,7,6,6,9,8,5,5,8,10,15
Financing Margin %,27%,25%,19%,17%,19%,17%,10%,9%,15%,19%,24%
Other Income +,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,1,1,1,1,1,1,1,1,1,1
Profit before tax,5,6,5,6,8,8,4,4,8,9,15
Tax %,25%,25%,21%,26%,29%,26%,18%,26%,27%,25%,25%
Net Profit +,4,5,4,4,6,6,3,3,6,7,11
EPS in Rs,0.27,0.30,0.25,0.27,0.35,0.36,0.22,0.20,0.33,0.40,0.56
Gross NPA %,,,,,,,,,,,
Net NPA %,,,,,,,,,,,
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Revenue +,98,182,210
Interest,45,90,120
Expenses +,29,63,50
Financing Profit,24,29,40
Financing Margin %,24%,16%,19%
Other Income +,-0,0,0
Depreciation,2,3,3
Profit before tax,21,26,38
Tax %,24%,26%,26%
Net Profit +,16,19,28
EPS in Rs,0.99,1.20,1.43
Dividend Payout %,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,20
Reserves,228,253,555
Borrowing,640,714,"1,398"
Other Liabilities +,41,50,55
Total Liabilities,926,"1,033","2,028"
Fixed Assets +,9,6,7
CWIP,0,0,0
Investments,5,5,165
Other Assets +,912,"1,022","1,855"
Total Assets,926,"1,033","2,028"

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-359,-153,-695
Cash from Investing Activity +,-57,90,-173
Cash from Financing Activity +,486,67,925
Net Cash Flow,70,4,57
Free Cash Flow,-361,-153,-699
CFO/OP,-518%,-126%,-431%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
ROE %,7%,8%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.19%,58.18%,58.18%,54.77%,54.51%,54.51%,54.35%,54.31%,54.20%,54.20%,54.11%,47.30%
FIIs +,0.00%,0.00%,0.00%,0.11%,0.49%,0.33%,0.86%,1.25%,0.85%,0.84%,1.06%,1.18%
DIIs +,14.12%,14.12%,14.12%,13.16%,13.09%,13.09%,12.54%,12.53%,11.85%,11.90%,8.39%,9.29%
Public +,27.70%,27.68%,27.70%,31.96%,31.90%,32.06%,32.25%,31.92%,33.10%,33.05%,36.43%,42.22%
No. of Shareholders,"11,294","14,843","18,850","22,133","25,009","24,017","25,503","25,971","26,485","27,237","27,358","25,767"

--- CAGR BOXES ---




