--- ABOUT ---
"U GRO Capital limited is a technology-focused (data-centric & technology-enabled approach), small business lending platform. The company is focused on addressing the capital needs of small businesses operating in select eight sectors by providing customized loan solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,549",99.7,193 / 80.0,8.86

Book Value,Dividend Yield,ROCE,ROE
187,0.00,,6.02

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2025,Mar 2026
Revenue +,461,607
Interest,247,284
Expenses +,182,248
Financing Profit,32,75
Financing Margin %,7%,12%
Other Income +,45,25
Depreciation,14,29
Profit before tax,63,71
Tax %,27%,28%
Net Profit +,46,51
EPS in Rs,2.99,3.29
Gross NPA %,,
Net NPA %,,
Raw PDF,,

--- ANNUAL RESULTS ---
,Mar 2026
Revenue +,"1,960"
Interest,954
Expenses +,753
Financing Profit,253
Financing Margin %,13%
Other Income +,61
Depreciation,70
Profit before tax,244
Tax %,28%
Net Profit +,175
EPS in Rs,11.26
Dividend Payout %,-0%

--- BALANCE SHEET ---
,Mar 2026
Equity Capital,153
Reserves,"2,753"
Borrowing,"10,782"
Other Liabilities +,387
Total Liabilities,"14,075"
Fixed Assets +,512
CWIP,24
Investments,737
Other Assets +,"12,802"
Total Assets,"14,075"

--- CASH FLOW ---
,Mar 2026
Cash from Operating Activity +,214
Cash from Investing Activity +,"-1,964"
Cash from Financing Activity +,"2,751"
Net Cash Flow,"1,000"
Free Cash Flow,171
CFO/OP,22%

--- RATIOS ---
,Mar 2026
ROE %,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,2.19%,2.24%,2.24%,2.23%,2.23%,2.23%,2.23%,2.23%,2.25%,2.24%,1.70%,1.99%
FIIs +,21.99%,19.20%,19.77%,19.76%,20.27%,20.44%,24.70%,27.25%,29.32%,28.99%,22.83%,22.34%
DIIs +,5.46%,5.81%,4.46%,3.76%,2.55%,2.76%,2.40%,1.85%,1.62%,1.59%,1.38%,1.68%
Public +,69.02%,71.40%,72.19%,72.91%,73.61%,73.25%,69.35%,67.34%,64.69%,65.07%,72.49%,72.41%
Others +,1.34%,1.34%,1.34%,1.33%,1.33%,1.33%,1.33%,1.33%,2.12%,2.12%,1.60%,1.59%
No. of Shareholders,"14,376","19,677","22,478","28,773","40,872","38,997","39,182","39,622","42,370","42,189","39,150","38,788"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,%

Stock Price CAGR
10 Years:,17%
5 Years:,-3%
3 Years:,-24%
1 Year:,-41%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,6%

