--- ABOUT ---
"Incorporated in 1961, Sakthi Sugars Ltd manufactures and trades Sugar, Industrial Alcohol, and Power [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
208,17.5,27.4 / 13.3,

Book Value,Dividend Yield,ROCE,ROE
21.7,0.00,-7.03,-59.4

Face Value
10.0

--- QUARTERLY RESULTS ---
Cash from Investing Activity +,-65,-582,-423,-41,-58,-133,-57,-527,,11,83,86
Cash from Financing Activity +,349,358,75,-93,-189,-101,-275,-140,,-169,-250,-45
Net Cash Flow,265,-182,-46,1,-1,46,-67,-16,,-33,-2,-2
Free Cash Flow,-73,-338,-98,85,184,185,188,610,,121,160,-33
CFO/OP,-9%,40%,152%,90%,99%,115%,132%,406%,,289%,145%,111%

--- RATIOS ---
,Jun 2006,Jun 2007,Dec 2008,Dec 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Debtor Days,38,24,23,30,29,41,42,44,57,48,9,7
Inventory Days,60,107,92,108,60,111,102,145,73,71,64,95
Days Payable,109,146,245,160,68,117,133,188,180,196,147,220
Cash Conversion Cycle,-11,-15,-129,-22,21,35,11,1,-50,-77,-73,-118
Working Capital Days,114,159,70,55,-104,-161,-148,-240,-361,-249,-256,-451
ROCE %,,7%,7%,5%,5%,5%,3%,2%,3%,0%,6%,-7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%,59.83%
FIIs +,0.02%,1.16%,0.00%,0.05%,0.00%,0.38%,0.00%,0.03%,0.08%,0.01%,0.01%,0.02%
DIIs +,0.04%,0.04%,0.04%,0.04%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Government +,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%,0.77%
Public +,39.32%,38.17%,39.34%,39.30%,39.37%,38.99%,39.39%,39.35%,39.30%,39.37%,39.38%,39.35%
No. of Shareholders,"51,360","55,312","56,748","66,448","67,584","66,988","67,175","68,444","67,712","67,194","66,038","64,948"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-6%
5 Years:,-25%
3 Years:,-14%
TTM:,-43%

Compounded Profit Growth
10 Years:,%
5 Years:,-23%
3 Years:,%
TTM:,-216%

Stock Price CAGR
10 Years:,-8%
5 Years:,3%
3 Years:,-11%
1 Year:,-27%

Return on Equity
10 Years:,-11%
5 Years:,-17%
3 Years:,-27%
Last Year:,-59%

