--- ABOUT ---
"**Company Overview ** Steel Strips Wheels Ltd was incorporated in 1985 and started its operations in 1991. It designs, manufactures, and supplies Steel Wheel Rims and Alloy Wheels for a wide range of domestic and global automobile makers. It is Headquarter in Chandigarh. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,601",229,280,18.9

Book Value,Dividend Yield,ROCE,ROE
115,0.55,14.8,11.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,005","1,044","1,134","1,110","1,069","1,025","1,095","1,075","1,234","1,187","1,201","1,321","1,475"
Expenses +,896,932,"1,009",994,959,912,976,957,"1,100","1,065","1,089","1,193","1,325"
Operating Profit,108,113,124,117,110,113,119,118,134,122,111,127,150
OPM %,11%,11%,11%,10%,10%,11%,11%,11%,11%,10%,9%,10%,10%
Other Income +,7,4,3,2,478,1,1,0,1,1,1,0,1
Interest,23,24,26,25,28,31,30,26,29,29,32,32,31
Depreciation,20,22,22,22,37,29,28,27,28,32,32,35,37
Profit before tax,73,71,79,71,523,55,62,64,78,61,48,62,83
Tax %,35%,33%,34%,16%,1%,25%,26%,26%,22%,23%,26%,24%,27%
Net Profit +,47,47,52,59,516,41,46,48,61,47,36,47,61
EPS in Rs,3.02,3.03,3.34,3.79,32.85,2.60,2.94,3.04,3.87,3.01,2.26,2.97,3.87
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,560","4,041","4,357","4,429","5,183"
Expenses +,"3,107","3,598","3,894","3,945","4,673"
Operating Profit,453,443,464,484,510
OPM %,13%,11%,11%,11%,10%
Other Income +,13,12,487,3,3
Interest,85,84,103,117,123
Depreciation,77,80,104,111,136
Profit before tax,304,291,743,259,254
Tax %,32%,33%,9%,25%,25%
Net Profit +,205,194,675,195,190
EPS in Rs,13.16,12.38,42.99,12.44,12.10
Dividend Payout %,6%,8%,2%,10%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16
Reserves,936,"1,119","1,427","1,610","1,789"
Borrowings +,778,639,"1,048",828,828
Other Liabilities +,972,"1,008",802,946,"1,198"
Total Liabilities,"2,702","2,781","3,293","3,399","3,831"
Fixed Assets +,"1,360","1,349","1,628","1,782","1,971"
CWIP,97,163,363,288,154
Investments,0,4,4,10,10
Other Assets +,"1,245","1,265","1,298","1,318","1,695"
Total Assets,"2,702","2,781","3,293","3,399","3,831"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,406,348,193,517,332
Cash from Investing Activity +,-154,-128,-365,-196,-186
Cash from Financing Activity +,-248,-234,171,-354,-144
Net Cash Flow,5,-14,-1,-33,1
Free Cash Flow,241,212,-188,326,143
CFO/OP,100%,89%,55%,120%,73%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,40,32,37,40,43
Inventory Days,108,101,90,95,102
Days Payable,110,95,77,96,108
Cash Conversion Cycle,38,37,49,39,38
Working Capital Days,-6,-7,-14,-9,-0
ROCE %,,21%,17%,15%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.68%,62.27%,61.91%,60.98%,60.98%,60.98%,60.98%,61.24%,61.15%,61.15%,61.15%,61.15%
FIIs +,5.63%,6.05%,6.07%,5.94%,6.35%,6.56%,6.84%,6.71%,7.91%,8.73%,8.33%,8.22%
DIIs +,1.23%,2.12%,2.68%,4.12%,4.03%,4.79%,4.86%,5.05%,5.27%,4.62%,4.71%,5.08%
Government +,0.00%,0.13%,0.13%,0.15%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,30.45%,29.44%,29.18%,28.82%,28.50%,27.69%,27.34%,27.01%,25.67%,25.51%,25.83%,25.57%
No. of Shareholders,"37,458","41,785","42,927","51,044","61,210","68,050","69,068","69,338","60,823","61,668","61,116","57,836"

--- CAGR BOXES ---




