--- ABOUT ---
"Incorporated in 2008, Archidply Decor Ltd is engaged in offering Wood based products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
37.7,67.7,110,

Book Value,Dividend Yield,ROCE,ROE
,0.00,,-2.15

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2020
Sales +,38.97
Expenses +,37.18
Operating Profit,1.79
OPM %,4.59%
Other Income +,1.60
Interest,2.99
Depreciation,1.44
Profit before tax,-1.04
Tax %,3.85%
Net Profit +,-1.08
EPS in Rs,-1.94
Dividend Payout %,-0.00%

--- BALANCE SHEET ---
,Mar 2020
Equity Capital,5.57
Reserves,44.61
Borrowings +,21.51
Other Liabilities +,12.10
Total Liabilities,83.79
Fixed Assets +,17.09
CWIP,-0.00
Investments,-0.00
Other Assets +,66.70
Total Assets,83.79

--- CASH FLOW ---
,Mar 2020
Cash from Operating Activity +,5.31
Cash from Investing Activity +,-1.15
Cash from Financing Activity +,-4.01
Net Cash Flow,0.15
Free Cash Flow,5.31
CFO/OP,303%

--- RATIOS ---
,Mar 2020
Debtor Days,148.73
Inventory Days,455.97
Days Payable,122.14
Cash Conversion Cycle,482.57
Working Capital Days,148.45
ROCE %,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%,72.97%
Public +,27.04%,27.03%,27.04%,27.04%,27.04%,27.04%,27.03%,27.03%,27.03%,27.04%,27.04%,27.03%
No. of Shareholders,"6,855","6,649","6,473","6,338","6,436","7,038","6,842","6,722","6,644","6,565","6,503","6,386"

--- CAGR BOXES ---




