--- ABOUT ---
"Incorporated in 1990, Adroit Infotech Ltd is a specialist SAP Consulting company. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
49.7,9.18,12.8 / 7.55,15.1

Book Value,Dividend Yield,ROCE,ROE
14.3,0.00,6.54,4.34

Face Value
10.0

--- QUARTERLY RESULTS ---
Free Cash Flow,-0.12,8.00,2.18,-2.96,6.11,0.08,0.04,-0.42,-7.66,0.07,-9.18,6.95
CFO/OP,108%,441%,13%,-15%,"-2,647%",28%,-104%,37%,107%,12%,72%,249%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,233.52,183.20,116.63,144.56,323.41,142.45,248.65,169.03,144.54,207.17,151.13,136.89
Inventory Days,263.84,0.00,,,,,,,,,,
Days Payable,21.30,,,,,,,,,,,
Cash Conversion Cycle,476.07,183.20,116.63,144.56,323.41,142.45,248.65,169.03,144.54,207.17,151.13,136.89
Working Capital Days,339.58,208.43,185.36,381.45,572.48,-273.98,47.25,-206.28,60.97,119.81,525.57,-74.26
ROCE %,6.61%,9.93%,62.89%,26.85%,-2.09%,1.88%,16.98%,8.74%,23.23%,13.30%,-1.79%,6.54%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.01%,45.07%,46.31%,38.45%,36.61%,39.07%,36.92%,37.37%,37.34%,37.47%,37.47%,38.28%
Public +,49.98%,54.93%,53.68%,61.56%,63.38%,60.94%,63.07%,62.64%,62.66%,62.54%,62.52%,61.71%
No. of Shareholders,"13,618","14,789","15,179","17,241","18,785","18,950","23,801","20,864","20,539","20,609","20,048","19,685"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,10%
5 Years:,51%
3 Years:,29%
TTM:,53%

Compounded Profit Growth
10 Years:,5%
5 Years:,19%
3 Years:,-4%
TTM:,262%

Stock Price CAGR
10 Years:,-14%
5 Years:,3%
3 Years:,-12%
1 Year:,-15%

Return on Equity
10 Years:,11%
5 Years:,5%
3 Years:,3%
Last Year:,4%

