--- ABOUT ---
"Incorporated in 2012, Sampann Utpadan India Ltd is in the business of energy generation through non- conventional sources, and production of reclaimed rubber [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
132,27.0,43.4,19.4

Book Value,Dividend Yield,ROCE,ROE
9.35,0.00,8.18,21.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,16.20,17.52,17.70,17.15,19.09,20.19,21.10,23.84,32.38,32.68,34.84,36.37,38.75
Expenses +,15.71,17.39,15.91,16.60,16.77,20.55,21.16,23.87,28.25,28.67,30.89,32.28,35.34
Operating Profit,0.49,0.13,1.79,0.55,2.32,-0.36,-0.06,-0.03,4.13,4.01,3.95,4.09,3.41
OPM %,3.02%,0.74%,10.11%,3.21%,12.15%,-1.78%,-0.28%,-0.13%,12.75%,12.27%,11.34%,11.25%,8.80%
Other Income +,0.14,0.11,0.14,0.08,0.03,0.04,0.06,3.39,4.93,0.18,0.31,0.21,0.26
Interest,0.29,0.31,0.31,0.16,0.23,0.32,0.07,0.32,0.30,0.30,0.30,0.35,0.46
Depreciation,1.22,1.24,1.25,1.28,1.26,1.42,1.44,1.45,1.41,1.45,1.48,1.41,1.60
Profit before tax,-0.88,-1.31,0.37,-0.81,0.86,-2.06,-1.51,1.59,7.35,2.44,2.48,2.54,1.61
Tax %,-25.00%,-25.19%,24.32%,-24.69%,48.84%,-25.24%,-25.17%,25.16%,25.85%,25.00%,25.00%,25.20%,25.47%
Net Profit +,-0.65,-0.98,0.28,-0.61,0.44,-1.54,-1.13,1.19,5.45,1.83,1.85,1.90,1.20
EPS in Rs,-0.16,-0.24,0.07,-0.15,0.11,-0.38,-0.28,0.29,1.34,0.45,0.38,0.39,0.25
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,10,13,16,18,20,24,48,58,71,93,143
Expenses +,9,14,16,21,23,24,45,55,67,94,127
Operating Profit,1,-1,-0,-2,-3,-0,3,3,5,-1,15
OPM %,7%,-11%,-2%,-12%,-14%,-2%,7%,5%,7%,-1%,11%
Other Income +,0,0,0,0,0,-0,1,1,0,13,1
Interest,0,1,2,3,4,5,3,1,1,1,1
Depreciation,4,4,4,4,4,4,4,5,5,6,6
Profit before tax,-4,-6,-7,-9,-10,-10,-4,-2,-1,5,9
Tax %,-33%,-31%,-27%,-22%,-18%,-25%,-25%,-25%,-2%,26%,25%
Net Profit +,-2,-4,-5,-7,-9,-7,-3,-2,-1,4,7
EPS in Rs,-0.60,-1.08,-1.27,-1.68,-2.10,-1.80,-0.73,-0.42,-0.21,0.98,1.39
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,41,41,41,41,41,41,41,41,41,41,49
Reserves,2,-2,-7,-14,-23,-30,-33,-35,-35,-23,-3
Borrowings +,47,55,57,63,68,75,84,89,97,96,96
Other Liabilities +,1,2,2,2,4,2,4,5,7,8,9
Total Liabilities,91,96,92,92,90,88,96,100,110,122,151
Fixed Assets +,79,79,75,72,68,65,67,66,63,74,87
CWIP,0,0,0,0,0,0,0,0,9,0,0
Investments,2,2,2,2,2,2,2,2,1,1,1
Other Assets +,10,15,16,18,21,21,27,32,36,48,63
Total Assets,91,96,92,92,90,88,96,100,110,122,151

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,0,-4,1,-2,-1,-3,3,-1,4,0,-2
Cash from Investing Activity +,-6,-3,-0,-2,-0,1,-7,-3,-11,-7,-19
Cash from Financing Activity +,5,7,-1,4,2,2,5,4,7,7,20
Net Cash Flow,0,-0,0,-0,-0,-1,1,0,-0,0,-0
Free Cash Flow,-4,-7,1,-4,-2,-3,-4,-4,-8,-7,-20
CFO/OP,49%,261%,-291%,100%,43%,752%,79%,-25%,73%,-25%,-11%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64,101,62,52,56,71,47,62,55,46,34
Inventory Days,164,184,196,139,127,46,46,50,68,55,45
Days Payable,18,65,90,58,123,40,46,43,59,45,22
Cash Conversion Cycle,209,220,167,132,61,77,47,69,64,56,58
Working Capital Days,58,103,56,49,16,10,16,25,11,54,67
ROCE %,,-6%,-5%,-7%,-8%,-5%,-1%,-1%,0%,-1%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,35.61%,35.61%,40.50%,40.50%,40.50%,40.50%,40.50%,40.50%,40.50%,40.65%,40.65%,40.65%
FIIs +,12.21%,12.21%,12.21%,12.21%,12.21%,12.21%,12.21%,12.17%,12.17%,19.96%,20.04%,19.96%
Public +,52.19%,52.19%,47.28%,47.29%,47.29%,47.29%,47.30%,47.35%,47.34%,39.38%,39.32%,39.39%
No. of Shareholders,"15,802","15,134","14,709","14,789","15,116","15,232","16,163","15,570","15,526","15,647","16,686","16,282"

--- CAGR BOXES ---




