--- ABOUT ---
"Incorporated in 2010, Spacenet Enterprises Ltd is in the business of trading of commodities and providing Information technology related services"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
200,3.53,11.2 / 3.00,12.5

Book Value,Dividend Yield,ROCE,ROE
3.12,0.28,9.93,9.80

Face Value
1.00

--- QUARTERLY RESULTS ---
Cash from Financing Activity +,-1,-0,-1,-0,0,0,-6,23,11,43,29,23
Net Cash Flow,1,-1,-0,-0,0,-0,-0,2,-2,4,-4,1
Free Cash Flow,-1,-1,1,0,-0,-0,6,-7,-3,-19,-16,-10
CFO/OP,1%,17%,-29%,-3%,3%,8%,"-1,353%","-1,618%",-120%,-10%,128%,139%

--- RATIOS ---
,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,126,196,138,231,"1,028",526,0,193,95,115,121,111
Inventory Days,,,,,,,,0,0,1,1,0
Days Payable,,,,,,,,,47,41,63,65
Cash Conversion Cycle,126,196,138,231,"1,028",526,0,193,49,76,58,46
Working Capital Days,19,24,-34,-48,-598,"-4,171","-1,883",166,70,112,96,83
ROCE %,,-40%,-32%,-56%,-823%,,,,6%,13%,10%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,16.51%,16.51%,16.06%,16.04%,15.87%,15.67%,15.61%,15.60%,15.60%,15.56%,15.56%,15.52%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,1.22%,1.19%,1.92%,1.92%,1.66%,1.65%
Public +,83.49%,83.49%,83.94%,83.96%,84.13%,83.96%,83.17%,83.20%,82.47%,82.52%,82.78%,82.83%
No. of Shareholders,"22,697","26,044","27,717","29,885","33,136","49,484","48,780","51,915","51,757","52,924","52,521","52,379"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,33%
5 Years:,%
3 Years:,10%
TTM:,24%

Compounded Profit Growth
10 Years:,13%
5 Years:,%
3 Years:,81%
TTM:,35%

Stock Price CAGR
10 Years:,%
5 Years:,14%
3 Years:,-41%
1 Year:,-49%

Return on Equity
10 Years:,%
5 Years:,9%
3 Years:,10%
Last Year:,10%

