--- ABOUT ---
"Incorporated in 1984, Valiant Organics Ltd manufactures and deals in specialty chemicals and pharma intermediates [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
815,291,444,28.1

Book Value,Dividend Yield,ROCE,ROE
271,0.00,5.47,3.91

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,271,202,203,141,177,168,160,187,204,204,157,159,218
Expenses +,219,178,188,139,179,152,159,172,183,180,136,146,191
Operating Profit,52,24,15,3,-2,16,1,15,21,25,21,13,26
OPM %,19%,12%,8%,2%,-1%,9%,0%,8%,10%,12%,13%,8%,12%
Other Income +,3,9,4,0,-7,0,3,6,1,2,0,7,5
Interest,3,4,4,4,7,5,8,6,5,6,4,5,3
Depreciation,8,9,9,9,9,9,9,9,9,9,10,10,10
Profit before tax,44,20,6,-10,-25,2,-14,6,7,11,7,6,18
Tax %,23%,25%,26%,-20%,-20%,128%,-9%,14%,43%,26%,24%,38%,10%
Net Profit +,34,15,5,-8,-20,-1,-12,5,4,8,6,4,16
EPS in Rs,10.96,4.57,1.58,-2.86,-7.32,-0.22,-4.63,1.98,1.50,2.93,2.02,1.30,5.61
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,692,675,755,"1,153","1,052",723,719,739
Expenses +,511,494,549,948,888,686,666,652
Operating Profit,181,181,205,205,164,37,53,87
OPM %,26%,27%,27%,18%,16%,5%,7%,12%
Other Income +,8,6,6,7,13,6,8,13
Interest,4,3,5,6,11,16,24,18
Depreciation,14,16,21,30,29,35,36,40
Profit before tax,171,168,185,176,137,-9,2,42
Tax %,29%,25%,29%,27%,25%,-3%,260%,21%
Net Profit +,121,126,131,128,103,-8,-3,33
EPS in Rs,103.65,51.00,42.19,41.72,32.45,-3.04,-1.34,11.86
Dividend Payout %,6%,11%,12%,8%,3%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,12,27,27,27,28,28,28
Reserves,254,374,475,586,662,702,697,731
Borrowings +,77,140,209,364,274,257,249,256
Other Liabilities +,112,143,165,216,276,262,209,216
Total Liabilities,448,669,876,"1,192","1,239","1,248","1,183","1,231"
Fixed Assets +,150,276,510,543,670,643,657,695
CWIP,66,129,46,112,71,86,66,21
Investments,12,23,6,8,41,99,94,151
Other Assets +,221,241,314,529,457,420,367,364
Total Assets,448,669,876,"1,192","1,239","1,248","1,183","1,231"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,76,161,113,-31,238,84,56,92
Cash from Investing Activity +,-86,-184,-156,-124,-143,-65,-21,-86
Cash from Financing Activity +,1,27,49,167,-112,-23,-32,-11
Net Cash Flow,-9,5,5,12,-17,-4,4,-5
Free Cash Flow,-13,-44,-58,-153,108,19,27,59
CFO/OP,68%,112%,78%,6%,162%,238%,106%,103%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,75,72,76,102,88,106,90,120
Inventory Days,44,42,63,54,68,88,71,76
Days Payable,69,82,93,63,89,159,119,102
Cash Conversion Cycle,50,32,45,93,67,34,42,95
Working Capital Days,46,20,-1,21,11,-3,-10,-0
ROCE %,,39%,30%,21%,14%,1%,3%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,38.37%,37.90%,37.90%,37.77%,37.77%,37.77%,37.73%,37.91%,37.91%,37.91%,37.89%,37.89%
FIIs +,0.30%,0.19%,0.69%,1.14%,1.35%,1.34%,0.82%,0.37%,0.21%,0.21%,0.22%,0.28%
DIIs +,0.88%,0.92%,0.87%,0.43%,0.09%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,60.43%,60.99%,60.54%,60.65%,60.79%,60.80%,61.44%,61.72%,61.87%,61.86%,61.89%,61.82%
No. of Shareholders,"45,848","48,598","49,050","50,460","50,022","48,189","49,017","48,077","44,293","43,274","42,311","40,928"

--- CAGR BOXES ---




