--- ABOUT ---
"Yasho Industries Ltd is a manufacturer of specialty chemicals, food antioxidants, aroma chemicals, rubber accelerators and lubricant additives. It has a wide geographical presence with exports to Europe, America, Middle East and Asia. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,471","2,879","3,025",137

Book Value,Dividend Yield,ROCE,ROE
368,0.02,8.98,5.85

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,152,150,141,130,172,174,167,149,185,199,183,202,246
Expenses +,126,125,120,108,141,151,136,122,149,165,150,168,202
Operating Profit,26,25,21,22,31,23,31,27,36,33,33,33,44
OPM %,17%,17%,15%,17%,18%,13%,19%,18%,19%,17%,18%,17%,18%
Other Income +,2,1,2,4,0,0,0,0,1,0,0,0,0
Interest,4,3,4,4,4,14,15,17,15,15,14,14,14
Depreciation,5,4,4,4,4,12,12,13,13,13,13,14,14
Profit before tax,19,20,15,18,23,-2,5,-2,8,6,6,6,17
Tax %,19%,26%,24%,27%,22%,21%,11%,-56%,37%,37%,19%,21%,26%
Net Profit +,16,15,12,14,18,-2,4,-1,5,4,5,4,12
EPS in Rs,13.76,12.97,10.23,11.88,15.74,-2.16,3.82,-0.72,4.17,3.02,4.03,3.73,10.17
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,359,613,672,594,668,830
Expenses +,310,520,557,494,559,687
Operating Profit,49,93,115,100,110,143
OPM %,14%,15%,17%,17%,16%,17%
Other Income +,10,10,11,7,9,1
Interest,16,14,16,15,59,56
Depreciation,12,19,20,16,50,55
Profit before tax,31,71,91,77,9,34
Tax %,30%,26%,25%,24%,32%,26%
Net Profit +,21,52,68,58,6,25
EPS in Rs,19.71,45.87,59.54,50.83,5.07,20.95
Dividend Payout %,3%,1%,1%,1%,10%,2%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,11,12,12
Reserves,68,162,227,283,408,432
Borrowings +,162,179,324,579,583,551
Other Liabilities +,65,131,88,119,92,160
Total Liabilities,305,483,650,993,"1,094","1,155"
Fixed Assets +,120,161,177,203,624,634
CWIP,-0,1,124,461,1,10
Investments,0,0,-0,-0,-0,-0
Other Assets +,185,322,349,329,469,511
Total Assets,305,483,650,993,"1,094","1,155"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,35,16,13,90,-42,151
Cash from Investing Activity +,-14,-59,-134,-304,-11,-73
Cash from Financing Activity +,-21,43,122,214,59,-81
Net Cash Flow,0,-0,0,-0,6,-2
Free Cash Flow,21,-44,-140,-246,-52,77
CFO/OP,80%,39%,33%,112%,-38%,107%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73,78,56,74,73,80
Inventory Days,125,126,147,130,247,186
Days Payable,72,105,45,46,61,65
Cash Conversion Cycle,126,99,158,157,259,201
Working Capital Days,4,32,43,6,54,51
ROCE %,,29%,23%,13%,7%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.54%,71.54%,72.33%,71.91%,71.92%,71.92%,71.92%,67.99%,67.99%,67.99%,67.99%,67.91%
FIIs +,0.13%,0.13%,0.13%,1.05%,0.97%,0.99%,1.41%,7.24%,6.98%,6.90%,6.99%,5.70%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.28%,0.51%,0.94%,0.96%,1.05%,1.97%
Public +,28.33%,28.34%,27.54%,27.04%,27.10%,26.99%,26.38%,24.25%,24.07%,24.15%,23.94%,24.42%
No. of Shareholders,"39,566","37,484","36,015","37,596","35,140","32,402","29,479","27,754","26,589","26,407","25,163","23,730"

--- CAGR BOXES ---




