--- ABOUT ---
"Incorporated in 1973, R K Swamy Ltd is in the business of providing a variety of Marketing Services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
495,98.1,200,20.3

Book Value,Dividend Yield,ROCE,ROE
52.3,1.53,12.2,9.50

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,83,61,80,72,118,68,66,77,84,78,74,89,101
Expenses +,51,56,65,60,79,64,62,71,67,71,68,79,79
Operating Profit,31,5,15,12,39,4,4,6,16,6,6,10,22
OPM %,38%,8%,18%,16%,33%,6%,5%,8%,19%,8%,8%,11%,22%
Other Income +,2,1,1,1,1,3,3,3,4,3,3,-1,3
Interest,2,1,1,2,1,0,0,1,1,1,1,1,1
Depreciation,4,4,4,4,4,3,4,4,4,4,5,5,5
Profit before tax,28,1,10,8,35,3,2,4,15,4,3,3,19
Tax %,27%,24%,27%,26%,25%,30%,76%,15%,19%,20%,83%,10%,17%
Net Profit +,21,1,7,6,26,2,1,4,12,3,1,3,16
EPS in Rs,46.36,1.17,1.67,1.26,5.19,0.43,0.10,0.72,2.44,0.57,0.11,0.54,3.16
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,174,234,293,332,294,341
Expenses +,153,200,237,260,265,297
Operating Profit,20,35,56,71,30,44
OPM %,12%,15%,19%,21%,10%,13%
Other Income +,10,11,7,4,12,8
Interest,10,7,6,6,2,4
Depreciation,15,14,15,15,15,19
Profit before tax,5,25,43,54,25,29
Tax %,34%,22%,27%,26%,25%,24%
Net Profit +,3,19,31,40,19,22
EPS in Rs,,,70.32,7.87,3.70,4.38
Dividend Payout %,16%,9%,6%,25%,41%,46%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,25,25,25
Reserves,-0,12,41,216,224,239
Borrowings +,75,51,34,20,32,43
Other Liabilities +,312,340,234,134,123,121
Total Liabilities,390,406,314,396,405,428
Fixed Assets +,38,32,41,29,47,63
CWIP,3,0,0,0,1,0
Investments,3,3,3,0,0,1
Other Assets +,346,372,270,367,357,365
Total Assets,390,406,314,396,405,428

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,50,64,29,11,-10,38
Cash from Investing Activity +,-22,-21,-14,-107,12,-6
Cash from Financing Activity +,-28,-33,-44,136,-22,-25
Net Cash Flow,1,9,-29,40,-21,7
Free Cash Flow,49,61,25,10,-20,28
CFO/OP,171%,179%,66%,49%,-29%,89%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,372,295,255,146,181,135
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,372,295,255,146,181,135
Working Capital Days,-8,-103,-21,34,83,80
ROCE %,,43%,66%,35%,10%,12%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.05%,66.05%,66.05%,69.61%,69.61%,69.61%,69.61%,69.61%,69.61%
FIIs +,5.87%,3.89%,1.21%,1.29%,0.79%,0.18%,0.18%,0.18%,0.34%
DIIs +,9.77%,10.14%,8.76%,7.19%,7.10%,6.44%,6.07%,5.00%,3.34%
Public +,18.31%,19.91%,23.98%,21.91%,22.50%,23.78%,24.15%,25.22%,26.72%
No. of Shareholders,"33,277","30,744","31,435","29,983","28,645","29,305","29,224","28,317","27,365"

--- CAGR BOXES ---




