--- ABOUT ---
"Incorporated in 1990, Archies Ltd deals in Greeting Cards, Gifts and Stationery products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
49.9,14.8,24.5,6.08

Book Value,Dividend Yield,ROCE,ROE
24.0,0.00,15.9,11.0

Face Value
2.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008
Sales +,87,103,117
Expenses +,73,90,101
Operating Profit,14,14,16
OPM %,16%,13%,13%
Other Income +,1,2,1
Interest,1,1,2
Depreciation,2,2,3
Profit before tax,12,12,13
Tax %,34%,34%,36%
Net Profit +,8,8,8
EPS in Rs,2.41,2.41,2.42
Dividend Payout %,22%,0%,0%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008
Equity Capital,7,7,7
Reserves,53,61,75
Borrowings +,5,13,19
Other Liabilities +,35,32,31
Total Liabilities,99,113,131
Fixed Assets +,23,30,33
CWIP,2,5,11
Investments,0,0,5
Other Assets +,75,78,82
Total Assets,99,113,131

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008
Cash from Operating Activity +,8,7,8
Cash from Investing Activity +,-6,-13,-12
Cash from Financing Activity +,-2,6,10
Net Cash Flow,0,0,6
Free Cash Flow,2,-6,-4
CFO/OP,82%,76%,74%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008
Debtor Days,49,46,30
Inventory Days,510,420,431
Days Payable,114,89,83
Cash Conversion Cycle,446,377,378
Working Capital Days,181,174,170
ROCE %,,18%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.14%,61.47%,61.47%,61.47%
FIIs +,0.03%,0.00%,0.10%,0.30%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
DIIs +,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%
Public +,37.50%,37.54%,37.43%,37.22%,37.24%,37.52%,37.54%,37.53%,37.63%,38.30%,38.30%,38.29%
No. of Shareholders,"16,858","16,111","16,957","17,454","17,261","18,442","18,781","18,581","18,444","18,421","17,979","17,643"

--- CAGR BOXES ---




