--- ABOUT ---
Sanghvi Movers provides medium to heavy duty cranes on rental basis to various private and public sector undertakings. SML’s crane fleet consists of medium to large size hydraulic truck mounted telescopic and lattice boom cranes and crawler lattice boom cranes having a lifting capacity ranging from 20 MT to 1000  MT. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,591",415,430,18.9

Book Value,Dividend Yield,ROCE,ROE
151,0.48,16.7,15.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,122,127,146,140,167,151,156,208,267,273,210,236,351
Expenses +,47,50,58,54,52,76,83,132,161,174,129,150,217
Operating Profit,75,77,88,86,115,74,73,76,107,100,81,85,134
OPM %,61%,60%,60%,62%,69%,49%,47%,37%,40%,36%,38%,36%,38%
Other Income +,6,5,6,5,6,20,8,6,7,7,8,-3,9
Interest,4,5,5,7,7,6,6,6,7,7,7,9,13
Depreciation,31,31,33,34,32,33,33,31,31,31,31,33,36
Profit before tax,46,46,56,50,82,56,42,45,75,68,50,40,95
Tax %,25%,26%,26%,26%,25%,27%,30%,26%,28%,26%,27%,28%,27%
Net Profit +,35,34,42,37,61,40,29,33,54,50,36,29,69
EPS in Rs,4.01,3.92,4.83,4.30,7.08,4.68,3.36,3.82,6.22,5.81,4.19,3.35,7.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Sales +,224,335,456,782,"1,070"
Expenses +,137,197,199,452,671
Operating Profit,87,138,257,330,400
OPM %,39%,41%,56%,42%,37%
Other Income +,29,37,30,41,21
Interest,26,17,17,26,37
Depreciation,122,118,121,129,132
Profit before tax,-32,39,149,217,253
Tax %,-30%,26%,25%,28%,27%
Net Profit +,-22,29,112,157,184
EPS in Rs,-2.59,3.39,12.94,18.08,21.29
Dividend Payout %,-0%,15%,15%,11%,9%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Equity Capital,,9,9,9,9
Reserves,,725,833,"1,134","1,302"
Borrowings +,,167,183,438,674
Other Liabilities +,,64,96,185,359
Total Liabilities,,964,"1,121","1,765","2,343"
Fixed Assets +,,769,858,"1,116","1,428"
CWIP,,-0,7,18,9
Investments,,30,35,150,87
Other Assets +,,165,220,482,819
Total Assets,,964,"1,121","1,765","2,343"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Cash from Operating Activity +,,130,257,162,278
Cash from Investing Activity +,,-76,-237,-286,-418
Cash from Financing Activity +,,-48,-15,89,182
Net Cash Flow,,6,5,-36,42
Free Cash Flow,,80,52,-75,-98
CFO/OP,,94%,101%,65%,85%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Debtor Days,,86,79,110,92
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,,86,79,110,92
Working Capital Days,,49,16,21,81
ROCE %,,,15%,,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%,47.25%
FIIs +,1.64%,1.99%,2.12%,2.49%,2.41%,2.95%,2.94%,2.11%,1.40%,1.71%,1.46%,1.48%
DIIs +,1.73%,1.77%,1.62%,2.59%,3.34%,3.65%,3.89%,3.25%,1.61%,1.39%,1.40%,1.30%
Public +,49.39%,49.00%,49.01%,47.67%,47.01%,46.16%,45.91%,47.38%,49.74%,49.64%,49.89%,49.97%
No. of Shareholders,"31,715","39,442","44,902","49,310","66,371","65,948","67,463","68,155","68,561","66,754","63,907","60,472"

--- CAGR BOXES ---




