--- ABOUT ---
"Incorporated in 1999, IRCTC is a Navratna (Category 1, Central Public Sector Enterprises ) and the only company authorized by the Indian government to provide online railway tickets, catering services, and packaged drinking water at railway stations and trains in India [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"41,568",520,799,30.1

Book Value,Dividend Yield,ROCE,ROE
53.9,1.64,46.1,34.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,965,"1,002",991,"1,118","1,155","1,118","1,064","1,225","1,269","1,160","1,146","1,449","1,460"
Expenses +,640,659,625,724,792,743,691,808,883,762,742,984,"1,061"
Operating Profit,325,343,367,394,362,375,373,417,385,397,404,465,399
OPM %,34%,34%,37%,35%,31%,34%,35%,34%,30%,34%,35%,32%,27%
Other Income +,65,-13,47,31,41,54,60,57,107,61,69,81,67
Interest,4,4,4,5,5,3,3,3,8,4,4,5,5
Depreciation,11,14,14,14,16,14,13,13,12,12,11,12,14
Profit before tax,375,312,395,406,382,412,417,457,472,442,457,529,447
Tax %,26%,26%,25%,26%,26%,25%,26%,25%,24%,25%,25%,25%,27%
Net Profit +,279,232,295,300,284,308,308,341,358,331,342,394,326
EPS in Rs,3.48,2.90,3.68,3.75,3.55,3.85,3.85,4.26,4.48,4.13,4.28,4.93,4.08
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,541","4,260","4,675","5,215"
Expenses +,"2,265","2,794","3,124","3,549"
Operating Profit,"1,276","1,466","1,551","1,666"
OPM %,36%,34%,33%,32%
Other Income +,148,106,276,277
Interest,16,19,17,18
Depreciation,54,57,53,50
Profit before tax,"1,354","1,496","1,757","1,875"
Tax %,26%,26%,25%,26%
Net Profit +,"1,006","1,111","1,315","1,393"
EPS in Rs,12.57,13.89,16.44,17.42
Dividend Payout %,44%,47%,49%,52%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,160,160,160,160
Reserves,"2,318","3,070","3,503","4,149"
Borrowings +,84,60,90,81
Other Liabilities +,"2,526","2,801","3,046","3,190"
Total Liabilities,"5,089","6,091","6,799","7,580"
Fixed Assets +,351,343,813,839
CWIP,34,443,27,42
Investments,0,0,0,0
Other Assets +,"4,704","5,306","5,959","6,699"
Total Assets,"5,089","6,091","6,799","7,580"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,812,882,833,"1,273"
Cash from Investing Activity +,-317,-200,-252,-446
Cash from Financing Activity +,-434,-404,-910,-787
Net Cash Flow,61,277,-329,40
Free Cash Flow,744,650,786,"1,227"
CFO/OP,97%,91%,80%,109%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,118,118,135,132
Inventory Days,18,16,15,
Days Payable,"1,595","1,484","1,371",
Cash Conversion Cycle,"-1,459","-1,350","-1,221",132
Working Capital Days,3,20,56,40
ROCE %,,54%,49%,46%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%,62.40%
FIIs +,6.99%,7.11%,7.34%,8.08%,7.78%,7.54%,7.45%,7.37%,7.28%,7.27%,7.19%,4.86%
DIIs +,9.92%,10.53%,11.98%,12.72%,13.74%,13.92%,13.73%,13.89%,14.16%,14.18%,14.02%,14.86%
Public +,20.68%,19.97%,18.28%,16.79%,16.06%,16.14%,16.43%,16.35%,16.17%,16.16%,16.39%,17.88%
No. of Shareholders,"20,80,264","20,26,798","19,28,851","19,10,307","19,28,716","19,24,346","19,59,521","19,94,642","19,58,669","19,25,770","19,02,499","19,32,716"

--- CAGR BOXES ---




