--- ABOUT ---
EIH Associated Hotels Ltd is primarily engaged in owning premium luxury hotels under the luxury 'Oberoi' and five-star 'Trident' brands. [1] It is a Joint-Venture between the Oberoi Family and the Rajan Raheja Group. [2]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,981",325,435,171

Book Value,Dividend Yield,ROCE,ROE
16.9,1.08,13.2,11.5

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Sales +,166,184,167,156,181,197
Expenses +,115,122,115,108,127,141
Operating Profit,51,62,53,48,54,56
OPM %,31%,34%,32%,31%,30%,28%
Other Income +,1,-1,1,0,2,4
Interest,20,27,29,30,27,28
Depreciation,14,16,13,13,14,14
Profit before tax,18,20,11,5,15,18
Tax %,39%,50%,34%,49%,39%,33%
Net Profit +,11,10,7,2,9,12
EPS in Rs,1.81,1.61,1.22,0.41,1.53,1.97
Dividend Payout %,14%,50%,40%,118%,53%,49%

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Equity Capital,20,20,20,20,20,20
Reserves,69,72,76,75,78,83
Borrowings +,286,270,262,256,243,230
Other Liabilities +,37,42,28,31,44,52
Total Liabilities,411,403,385,382,384,385
Fixed Assets +,344,343,339,330,326,319
CWIP,1,2,2,2,1,1
Investments,0,1,1,1,1,1
Other Assets +,66,57,44,49,56,64
Total Assets,411,403,385,382,384,385

--- CASH FLOW ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Cash from Operating Activity +,28,32,17,15,56,54
Cash from Investing Activity +,-10,-19,-9,-6,-18,-8
Cash from Financing Activity +,-14,-18,-13,-8,-37,-45
Net Cash Flow,5,-4,-5,1,1,1
Free Cash Flow,18,14,8,9,46,47
CFO/OP,61%,62%,42%,36%,110%,104%

--- RATIOS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Debtor Days,37,35,18,27,30,30
Inventory Days,200,206,244,216,193,163
Days Payable,710,742,549,599,366,333
Cash Conversion Cycle,-473,-500,-287,-355,-142,-139
Working Capital Days,2,3,22,32,-233,-174
ROCE %,,13%,11%,10%,12%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,13.75%,13.88%,13.81%,13.68%,13.74%,13.75%,13.77%,13.70%,13.72%,13.71%,13.70%,13.67%
Public +,11.25%,11.11%,11.20%,11.33%,11.27%,11.25%,11.25%,11.29%,11.31%,11.30%,11.30%,11.32%
No. of Shareholders,"10,503","11,918","13,128","13,920","16,685","22,665","23,857","24,349","24,486","24,928","25,485","25,274"

--- CAGR BOXES ---




