--- ABOUT ---
"Incorporated in 1996, Orkla India Limited is an Indian food company, offering a diverse range of food products, from breakfast to lunch and dinner, snacks, beverages, and desserts. [1] It has iconic heritage Indian brands – MTR, Eastern and Rasoi Magic."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,481",619,760 / 533,28.4

Book Value,Dividend Yield,ROCE,ROE
201,0.00,15.2,11.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,620,615,596,597,650,636,626
Expenses +,506,530,501,485,544,533,529
Operating Profit,113,86,95,112,106,103,97
OPM %,18%,14%,16%,19%,16%,16%,16%
Other Income +,15,20,-20,8,10,-8,14
Interest,2,2,1,2,2,2,2
Depreciation,15,17,15,12,13,17,12
Profit before tax,111,88,59,106,102,76,98
Tax %,26%,25%,40%,26%,25%,26%,25%
Net Profit +,83,66,35,79,77,57,73
EPS in Rs,61.74,49.17,25.72,5.76,5.60,4.13,5.36
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,820,967,"1,838","2,172","2,356","2,395","2,509"
Expenses +,682,776,"1,600","1,861","2,015","1,998","2,091"
Operating Profit,138,191,238,312,341,396,418
OPM %,17%,20%,13%,14%,14%,17%,17%
Other Income +,-3,11,15,28,34,27,25
Interest,7,5,29,27,7,7,7
Depreciation,32,31,56,55,62,62,54
Profit before tax,96,166,167,257,307,355,382
Tax %,26%,25%,30%,-32%,26%,28%,25%
Net Profit +,69,123,117,339,226,256,286
EPS in Rs,70.66,100.03,95.03,275.04,168.99,186.65,20.85
Dividend Payout %,0%,0%,0%,0%,0%,235%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,12,12,12,13,14,14
Reserves,268,"1,772","1,889","2,227","2,793","2,446","2,736"
Borrowings +,12,80,35,95,64,54,63
Other Liabilities +,172,823,856,767,505,657,589
Total Liabilities,462,"2,688","2,793","3,102","3,375","3,171","3,402"
Fixed Assets +,248,"2,036","2,045","2,013","2,055","1,981","1,968"
CWIP,4,4,3,74,4,8,4
Investments,80,52,201,255,325,175,573
Other Assets +,130,596,544,760,991,"1,008",857
Total Assets,462,"2,688","2,793","3,102","3,375","3,171","3,402"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,96,148,180,190,296,392,261
Cash from Investing Activity +,-68,"-1,203",-168,-165,-237,263,-308
Cash from Financing Activity +,-23,"1,109",-57,-15,-45,-613,-13
Net Cash Flow,5,53,-45,10,15,42,-59
Free Cash Flow,81,134,153,113,258,372,240
CFO/OP,92%,100%,101%,85%,111%,125%,85%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,7,36,20,19,26,25,27
Inventory Days,63,232,104,111,84,93,78
Days Payable,62,161,71,58,66,81,67
Cash Conversion Cycle,8,106,52,73,45,36,37
Working Capital Days,-18,40,-32,-24,54,17,111
ROCE %,,15%,10%,13%,12%,14%,15%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%
FIIs +,3.24%,2.42%
DIIs +,8.10%,8.74%
Public +,13.65%,13.84%
No. of Shareholders,"1,83,867","1,67,077"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,21%
3 Years:,5%
TTM:,5%

Compounded Profit Growth
10 Years:,%
5 Years:,20%
3 Years:,-3%
TTM:,16%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,%

Return on Equity
10 Years:,%
5 Years:,10%
3 Years:,10%
Last Year:,11%

