--- ABOUT ---
"Incorporated in 1992, Heritage Foods Ltd is in the business of Dairy, Renewable  energy, and Animal feed [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,062",330,542 / 292,21.5

Book Value,Dividend Yield,ROCE,ROE
119,0.76,15.9,13.7

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,818,924,979,941,951,"1,033","1,020","1,034","1,048","1,137","1,113","1,119","1,158"
Expenses +,778,885,933,891,882,940,938,962,970,"1,064","1,035","1,056","1,105"
Operating Profit,40,39,45,50,69,92,81,72,78,73,77,63,52
OPM %,5%,4%,5%,5%,7%,9%,8%,7%,7%,6%,7%,6%,5%
Other Income +,3,3,2,3,5,6,7,8,-2,5,15,8,7
Interest,2,3,2,2,3,3,4,4,4,4,4,4,5
Depreciation,15,15,15,16,16,17,17,18,18,19,20,20,22
Profit before tax,26,24,31,36,55,78,67,59,54,55,68,46,32
Tax %,31%,29%,27%,25%,26%,25%,28%,27%,30%,26%,25%,25%,25%
Net Profit +,18,17,22,27,40,58,49,43,38,41,51,35,24
EPS in Rs,1.93,1.80,2.41,2.90,4.36,6.30,5.24,4.64,4.11,4.37,5.50,3.73,2.58
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,073","2,381","1,894","2,373","2,515","2,726","2,473","2,681","3,241","3,794","4,135","4,526"
Expenses +,"1,989","2,248","1,761","2,628","2,458","3,108","2,212","2,495","3,109","3,590","3,809","4,261"
Operating Profit,84,132,134,-255,57,-382,261,186,132,203,326,265
OPM %,4%,6%,7%,-11%,2%,-14%,11%,7%,4%,5%,8%,6%
Other Income +,7,5,251,402,138,302,7,2,12,12,19,34
Interest,18,17,49,20,23,24,21,6,6,9,17,17
Depreciation,34,35,25,38,45,50,46,52,56,61,70,81
Profit before tax,39,86,310,90,127,-154,202,130,82,145,258,201
Tax %,28%,36%,10%,30%,35%,10%,26%,26%,29%,27%,27%,25%
Net Profit +,28,55,278,63,83,-169,148,96,58,107,188,150
EPS in Rs,3.06,5.97,29.64,6.76,8.77,-17.27,16.16,10.41,6.25,11.48,20.29,16.18
Dividend Payout %,25%,13%,3%,15%,11%,-7%,15%,24%,40%,22%,12%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,23,23,23,23,23,23,23,46,46,46,46
Reserves,170,217,568,754,779,436,573,634,679,762,926,"1,057"
Borrowings +,157,126,158,280,299,306,64,19,168,132,175,361
Other Liabilities +,175,209,247,649,533,223,219,226,231,341,412,485
Total Liabilities,526,575,996,"1,707","1,635",988,879,903,"1,125","1,281","1,558","1,950"
Fixed Assets +,281,312,296,433,476,481,580,579,622,704,748,"1,168"
CWIP,9,10,8,9,42,77,18,8,20,20,68,47
Investments,1,1,478,"1,002",835,152,13,18,15,140,196,186
Other Assets +,235,252,214,263,282,278,267,298,469,416,547,550
Total Assets,526,575,996,"1,707","1,635",988,879,903,"1,125","1,281","1,558","1,950"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,52,125,115,121,148,117,174,148,-61,390,214,237
Cash from Investing Activity +,-47,-66,-126,-200,-133,-97,69,-42,-83,-252,-229,-375
Cash from Financing Activity +,-8,-55,-13,55,-3,-22,-191,-93,126,-76,1,138
Net Cash Flow,-4,4,-24,-23,12,-2,51,13,-17,62,-14,0
