--- ABOUT ---
Skipper Ltd  is engaged in manufacturing and selling of Transmission & Distribution Structures and Pipes & Fittings. It also undertakes EPC projects in the infrastructure segment. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,136",543,588,27.7

Book Value,Dividend Yield,ROCE,ROE
132,0.02,23.3,16.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,657,555,772,802,"1,154","1,092","1,110","1,135","1,288","1,254","1,262","1,371","1,667"
Expenses +,586,494,699,725,"1,045",987,998,"1,024","1,164","1,127","1,131","1,229","1,493"
Operating Profit,72,60,74,77,109,105,111,111,124,127,131,141,173
OPM %,11%,11%,10%,10%,9%,10%,10%,10%,10%,10%,10%,10%,10%
Other Income +,5,4,3,5,4,4,3,4,13,4,-6,4,4
Interest,32,28,35,39,52,51,55,50,56,53,54,56,54
Depreciation,11,12,13,13,14,15,15,17,17,18,19,22,22
Profit before tax,33,23,29,29,48,43,44,48,63,60,52,68,101
Tax %,28%,30%,31%,30%,47%,25%,26%,25%,24%,25%,28%,22%,23%
Net Profit +,24,16,20,20,25,32,33,36,48,45,37,53,78
EPS in Rs,2.10,1.44,1.75,1.81,2.23,2.87,2.92,3.21,4.25,4.01,3.28,4.68,6.91
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,871","1,391","1,582","1,707","1,980","3,282","4,624","5,553"
Expenses +,"1,689","1,251","1,436","1,542","1,787","2,961","4,170","4,980"
Operating Profit,182,140,145,165,193,321,455,573
OPM %,10%,10%,9%,10%,10%,10%,10%,10%
Other Income +,1,2,4,4,8,15,21,6
Interest,102,85,74,94,105,155,214,217
Depreciation,38,38,45,48,47,53,63,80
Profit before tax,43,18,30,27,50,128,199,281
Tax %,27%,-129%,30%,6%,29%,36%,25%,24%
Net Profit +,31,41,21,25,36,82,149,213
EPS in Rs,2.76,3.65,1.90,2.23,3.15,7.23,13.24,18.87
Dividend Payout %,8%,2%,5%,4%,3%,1%,1%,1%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,11,11,11
Reserves,638,677,698,722,757,887,"1,182","1,480"
Borrowings +,523,454,448,575,494,592,740,948
Other Liabilities +,481,572,763,777,961,"1,655","1,465","2,094"
Total Liabilities,"1,653","1,713","1,919","2,084","2,223","3,145","3,397","4,533"
Fixed Assets +,514,579,657,657,697,749,901,"1,167"
CWIP,8,11,12,14,7,16,134,273
Investments,9,9,10,7,10,17,20,26
Other Assets +,"1,121","1,114","1,241","1,406","1,508","2,362","2,342","3,067"
Total Assets,"1,653","1,713","1,919","2,084","2,223","3,145","3,397","4,533"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,134,214,180,17,284,199,153,277
Cash from Investing Activity +,-41,-51,-100,-48,-98,-187,-201,-272
Cash from Financing Activity +,-93,-163,-81,31,-185,-12,51,-8
Net Cash Flow,-0,0,0,0,1,-0,4,-3
Free Cash Flow,94,165,98,-23,201,98,-83,-88
CFO/OP,89%,154%,121%,11%,153%,72%,42%,57%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,96,115,109,93,66,85,55,98
Inventory Days,154,202,213,251,263,263,152,109
Days Payable,101,154,233,200,169,267,155,176
Cash Conversion Cycle,149,163,89,144,160,81,52,30
Working Capital Days,64,55,66,56,59,48,28,43
ROCE %,,9%,9%,10%,12%,21%,24%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.89%,71.89%,71.89%,66.47%,66.48%,66.48%,66.48%,66.48%,66.48%,66.48%,66.48%,66.50%
FIIs +,9.93%,8.09%,7.40%,4.60%,3.64%,4.39%,4.82%,5.13%,5.42%,6.55%,6.37%,6.07%
DIIs +,0.28%,0.15%,0.15%,0.20%,0.24%,0.24%,0.48%,0.30%,0.25%,0.49%,0.80%,1.66%
Public +,17.89%,19.85%,20.57%,28.72%,29.65%,28.89%,28.23%,28.08%,27.84%,26.48%,26.35%,25.77%
No. of Shareholders,"26,132","38,425","44,633","59,503","63,082","70,015","90,627","95,774","1,00,294","96,923","91,160","86,431"

--- CAGR BOXES ---




