--- ABOUT ---
"Associated Alcohols & Breweries Ltd is in business of manufacturing and trading of ENA, Indian Made Indian Liquor (Country Liquor), Indian Made Foreign Liquor and Hand sanitizer. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,694",844,"1,277",19.2

Book Value,Dividend Yield,ROCE,ROE
346,0.24,18.0,14.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,80,67,77,75,73,252,255,327,242,267,254,260,238
Expenses +,71,57,70,69,63,224,230,287,207,230,230,219,198
Operating Profit,9,10,7,6,10,28,25,40,35,37,24,42,40
OPM %,11%,15%,9%,8%,13%,11%,10%,12%,15%,14%,9%,16%,17%
Other Income +,0,0,0,2,0,1,1,1,1,2,1,2,1
Interest,2,2,2,1,2,2,1,1,1,2,1,1,3
Depreciation,2,2,2,4,2,4,4,4,5,6,6,7,7
Profit before tax,5,6,4,3,6,24,21,35,30,32,18,36,32
Tax %,21%,60%,25%,9%,59%,26%,27%,26%,25%,26%,24%,23%,28%
Net Profit +,4,2,3,3,2,18,15,26,22,24,14,27,24
EPS in Rs,2.20,1.37,1.50,1.74,1.31,9.78,8.47,14.43,12.35,13.08,7.38,14.38,11.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2025,Mar 2026
Sales +,92,64,157,213,298,"1,075","1,019"
Expenses +,89,60,145,195,268,947,876
Operating Profit,3,3,12,18,31,128,143
OPM %,4%,5%,7%,9%,10%,12%,14%
Other Income +,3,4,3,5,4,5,6
Interest,3,2,4,7,7,6,6
Depreciation,3,3,5,7,10,17,24
Profit before tax,1,2,6,10,18,110,118
Tax %,-184%,20%,40%,40%,33%,26%,25%
Net Profit +,3,1,3,6,12,81,88
EPS in Rs,,,1.83,3.23,6.82,45.04,44.05
Dividend Payout %,0%,14%,0%,0%,4%,4%,5%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2025,Mar 2026
Equity Capital,7,7,9,9,9,18,20
Reserves,22,23,42,48,59,502,675
Borrowings +,36,35,64,92,45,102,69
Other Liabilities +,21,20,50,43,58,96,92
Total Liabilities,86,84,165,191,170,718,856
Fixed Assets +,32,35,89,98,94,351,395
CWIP,3,2,8,0,2,32,19
Investments,2,0,4,4,3,64,108
Other Assets +,49,47,65,89,71,271,333
Total Assets,86,84,165,191,170,718,856

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2025,Mar 2026
Cash from Operating Activity +,-2,3,18,-13,47,74,52
Cash from Investing Activity +,-2,-2,-37,-9,-6,-83,-88
Cash from Financing Activity +,6,-2,22,28,-47,1,46
Net Cash Flow,2,-1,2,5,-5,-8,10
Free Cash Flow,-5,0,-18,-22,42,-12,-0
CFO/OP,-56%,107%,156%,-65%,160%,76%,52%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2025,Mar 2026
Debtor Days,98,93,20,13,10,13,15
Inventory Days,97,118,83,72,63,98,98
Days Payable,78,86,85,42,53,32,24
Cash Conversion Cycle,118,125,19,43,20,80,89
Working Capital Days,123,177,-28,16,-11,29,64
ROCE %,,5%,,13%,17%,,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.45%,58.67%,59.29%,59.29%,59.29%,59.29%,59.29%,59.29%,59.29%,61.22%,61.22%,62.35%
FIIs +,0.55%,0.48%,0.58%,1.20%,1.11%,0.91%,1.20%,1.06%,0.63%,0.48%,0.32%,0.33%
DIIs +,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.00%,0.94%
Public +,41.01%,40.85%,40.04%,39.51%,39.60%,39.79%,39.51%,39.65%,40.05%,38.26%,38.46%,36.37%
No. of Shareholders,"42,069","40,067","38,227","35,943","34,194","33,455","32,914","36,020","38,316","39,288","44,160","42,643"

--- CAGR BOXES ---




