--- ABOUT ---
"Incorporated in 2008, Suratwwala Business Group Ltd is in the business of construction of residential, commercial, IT Parks, renting of immovable properties and in solar power generating activity, along with other related business auxiliary services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
452,26.0,46.4,11.9

Book Value,Dividend Yield,ROCE,ROE
6.02,0.38,30.8,43.8

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,11,16,18,16,21,9,2,3,22,16,26,42,59
Expenses +,10,8,7,7,11,3,2,3,13,9,15,26,40
Operating Profit,1,8,11,9,10,5,1,-0,9,7,11,16,19
OPM %,8%,49%,61%,56%,49%,60%,30%,-8%,40%,44%,43%,37%,32%
Other Income +,0,0,0,0,0,0,0,1,0,1,0,0,-0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,-0,0,0,0,0,0,0,0,0
Profit before tax,1,7,11,9,10,6,1,0,9,7,11,15,18
Tax %,268%,-1%,25%,27%,46%,26%,71%,22%,26%,26%,25%,26%,26%
Net Profit +,-1,7,8,7,6,4,0,0,7,5,8,11,13
EPS in Rs,-0.06,0.43,0.47,0.38,0.32,0.24,0.01,0.01,0.38,0.31,0.47,0.64,0.77
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,1,62,72,36,143
Expenses +,5,33,33,21,90
Operating Profit,-4,30,39,14,53
OPM %,-482%,47%,54%,40%,37%
Other Income +,1,0,1,2,1
Interest,4,2,1,0,1
Depreciation,0,0,0,0,2
Profit before tax,-7,27,38,15,51
Tax %,55%,23%,26%,28%,26%
Net Profit +,-11,21,28,11,38
EPS in Rs,-0.62,1.22,1.60,0.63,2.19
Dividend Payout %,0%,0%,0%,0%,5%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,17,17,17,17
Reserves,-27,-6,41,51,87
Borrowings +,44,32,38,73,83
Other Liabilities +,78,79,32,44,76
Total Liabilities,112,122,127,185,263
Fixed Assets +,1,1,1,21,33
CWIP,0,0,0,6,1
Investments,26,1,2,11,4
Other Assets +,85,120,124,147,224
Total Assets,112,122,127,185,263

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-15,-10,0,-5,-6
Cash from Investing Activity +,-0,25,-2,-35,2
Cash from Financing Activity +,15,-14,6,35,8
Net Cash Flow,-0,0,5,-4,4
Free Cash Flow,-16,-11,-1,-31,-15
CFO/OP,402%,-20%,17%,-20%,19%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,370,4,35,43,95
Inventory Days,,"1,593",,,746
Days Payable,,123,,,164
Cash Conversion Cycle,370,"1,474",35,43,677
Working Capital Days,"-15,898",24,265,941,347
ROCE %,,76%,55%,12%,31%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.78%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%,73.39%
FIIs +,0.03%,0.15%,0.01%,0.00%,0.11%,0.03%,0.30%,0.05%,0.00%,0.00%,0.01%,0.00%
Public +,25.18%,26.45%,26.60%,26.60%,26.50%,26.57%,26.29%,26.56%,26.59%,26.60%,26.60%,26.61%
No. of Shareholders,807,"1,248","2,114","3,107","9,415","9,054","9,884","11,296","10,783","10,482","10,319","10,081"

--- CAGR BOXES ---




