--- ABOUT ---
"Incorporated in 1987, TCPL Packaging Ltd manufactures paperboard-based packaging materials and flexible packaging products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,757","3,029","3,950",25.7

Book Value,Dividend Yield,ROCE,ROE
790,0.99,17.7,15.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,393,371,406,364,401,406,463,480,422,425,460,471,454
Expenses +,329,310,341,309,330,334,386,409,350,352,391,390,384
Operating Profit,64,61,65,55,70,71,77,71,72,73,69,81,69
OPM %,16%,17%,16%,15%,18%,18%,17%,15%,17%,17%,15%,17%,15%
Other Income +,2,1,3,7,1,2,1,12,4,2,9,-9,9
Interest,13,14,13,15,14,13,14,15,18,26,20,15,18
Depreciation,17,16,18,18,19,19,19,19,18,20,22,21,21
Profit before tax,36,32,37,28,38,41,45,48,39,29,37,35,40
Tax %,32%,26%,22%,31%,24%,23%,20%,22%,4%,23%,23%,29%,46%
Net Profit +,24,24,28,19,29,32,36,38,38,22,29,25,22
EPS in Rs,26.71,26.13,31.21,21.14,31.47,34.86,39.05,41.46,41.78,24.53,31.56,27.52,23.87
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,890,904,"1,086","1,475","1,541","1,770","1,810"
Expenses +,764,770,931,"1,239","1,290","1,476","1,518"
Operating Profit,126,133,155,236,252,294,292
OPM %,14%,15%,14%,16%,16%,17%,16%
Other Income +,2,3,3,27,10,14,12
Interest,37,37,34,48,56,58,79
Depreciation,48,52,56,64,72,75,83
Profit before tax,42,47,68,152,135,174,141
Tax %,14%,29%,31%,27%,26%,18%,31%
Net Profit +,37,33,47,110,99,143,98
EPS in Rs,40.13,36.78,52.03,122.05,109.22,157.15,107.47
Dividend Payout %,10%,20%,19%,16%,20%,19%,23%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,9,9,9,9,9,9
Reserves,,291,331,433,514,635,710
Borrowings +,,321,463,501,504,651,634
Other Liabilities +,,217,268,274,299,317,363
Total Liabilities,,838,"1,072","1,217","1,326","1,612","1,716"
Fixed Assets +,,448,541,580,696,771,895
CWIP,,11,48,44,7,64,10
Investments,,0,0,0,0,0,0
Other Assets +,,379,482,593,623,776,811
Total Assets,,838,"1,072","1,217","1,326","1,612","1,716"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,111,97,109,234,133,290
Cash from Investing Activity +,,-41,-195,-90,-157,-150,-141
Cash from Financing Activity +,,-67,101,-22,-76,18,-146
Net Cash Flow,,3,3,-2,1,1,3
Free Cash Flow,,56,-88,13,92,-24,140
CFO/OP,,93%,74%,62%,108%,60%,112%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,72,77,73,82,95,93
Inventory Days,,101,102,99,85,78,85
Days Payable,,98,93,67,75,78,80
Cash Conversion Cycle,,74,86,106,92,95,98
Working Capital Days,,2,-2,13,18,24,29
ROCE %,,,14%,21%,19%,20%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%,55.74%
FIIs +,0.61%,0.71%,0.74%,0.80%,0.78%,0.93%,0.91%,1.18%,0.94%,0.92%,0.96%,1.04%
DIIs +,3.99%,5.94%,6.49%,8.01%,9.20%,11.35%,11.68%,11.55%,11.63%,12.15%,12.66%,13.56%
Public +,39.41%,37.37%,36.80%,35.22%,34.05%,31.75%,31.45%,31.32%,31.48%,30.96%,30.42%,29.45%
Others +,0.25%,0.25%,0.25%,0.24%,0.23%,0.23%,0.23%,0.22%,0.22%,0.22%,0.21%,0.21%
No. of Shareholders,"18,123","15,674","15,686","14,545","14,082","13,774","14,277","16,185","16,835","16,486","15,988","15,717"

--- CAGR BOXES ---




