--- ABOUT ---
"Incorporated in 1985, Delphi World Money Ltd is in the business of Foreign Exchange services and related activities [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
206,8.38,18.4 / 7.29,66.3

Book Value,Dividend Yield,ROCE,ROE
13.3,0.00,8.95,1.13

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,14.29,12.58,12.57,11.94,49.66,63.92,68.52
Expenses +,18.22,13.23,9.62,9.66,46.94,61.25,71.63
Operating Profit,-3.93,-0.65,2.95,2.28,2.72,2.67,-3.11
OPM %,-27.50%,-5.17%,23.47%,19.10%,5.48%,4.18%,-4.54%
Other Income +,5.07,-7.68,4.74,4.61,0.81,7.28,10.64
Interest,0.86,0.76,0.70,0.57,0.57,7.76,4.06
Depreciation,0.18,0.50,0.27,0.22,0.81,1.77,1.13
Profit before tax,0.10,-9.59,6.72,6.10,2.15,0.42,2.34
Tax %,-60.00%,-39.21%,57.14%,26.07%,107.44%,4.76%,179.49%
Net Profit +,0.17,-5.83,2.87,4.51,-0.16,0.40,-1.86
EPS in Rs,0.01,-0.24,0.12,0.18,0.07,0.01,-0.08
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Sales +,"3,461","4,789","5,994","7,696","9,164",55,194
Expenses +,"3,436","4,740","5,942","7,638","9,201",55,189
Operating Profit,25,50,52,58,-37,-0,5
OPM %,1%,1%,1%,1%,-0%,-1%,2%
Other Income +,5,3,-0,4,11,7,23
Interest,7,13,11,7,4,3,13
Depreciation,2,5,5,4,3,1,4
Profit before tax,20,35,37,51,-34,2,11
Tax %,36%,38%,37%,35%,-60%,1%,74%
Net Profit +,13,15,21,33,-13,2,3
EPS in Rs,0.50,0.58,0.82,1.29,-0.41,0.08,0.12
Dividend Payout %,18%,59%,17%,4%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Equity Capital,12,12,12,12,11,11,49
Reserves,33,78,114,167,94,212,277
Borrowings +,85,78,63,119,56,28,174
Other Liabilities +,86,93,103,103,132,58,146
Total Liabilities,216,261,291,400,293,309,646
Fixed Assets +,54,39,39,39,8,4,64
CWIP,0,0,0,0,0,0,0
Investments,0,18,43,73,0,0,0
Other Assets +,162,204,210,289,285,306,583
Total Assets,216,261,291,400,293,309,646

--- CASH FLOW ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Cash from Operating Activity +,,14,24,64,-5,27,63
Cash from Investing Activity +,,-9,-8,20,16,7,-34
Cash from Financing Activity +,,-29,-14,-11,-43,-8,4
Net Cash Flow,,-24,1,73,-32,26,33
Free Cash Flow,,12,19,59,5,26,55
CFO/OP,,66%,71%,146%,-20%,"-6,644%","1,972%"

--- RATIOS ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026
Debtor Days,5,6,6,3,1,212,161
Inventory Days,2,1,1,1,1,,
Days Payable,7,4,4,2,2,,
Cash Conversion Cycle,-1,3,4,2,0,212,161
Working Capital Days,3,0,2,-4,0,439,-58
ROCE %,,,27%,24%,-6%,,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,89.55%,89.55%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,61.32%,61.32%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.02%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.24%,0.00%,0.00%,0.00%,0.00%
Government +,0.00%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,10.44%,10.44%,23.02%,24.99%,24.99%,25.00%,24.87%,24.76%,25.00%,25.02%,38.17%,38.66%
No. of Shareholders,"8,002","8,089","10,492","11,034","11,233","10,470","9,711","9,570","9,849","9,513","10,051","14,730"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-27%
5 Years:,%
3 Years:,%
TTM:,255%

Compounded Profit Growth
10 Years:,-14%
5 Years:,%
3 Years:,%
TTM:,136%

Stock Price CAGR
10 Years:,-3%
5 Years:,-26%
3 Years:,-30%
1 Year:,-10%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,1%

