--- ABOUT ---
"Incorporated in 1985, Fiberweb Ltd is in the business of Polymer Processing [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
84.8,29.5,59.4,13.9

Book Value,Dividend Yield,ROCE,ROE
60.6,0.00,8.03,6.55

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022
Sales +,27.17,22.21,28.91,20.27,23.93,34.34,25.58,23.40,23.66,22.76,16.80,25.39,19.02
Expenses +,22.96,16.73,22.44,14.93,18.00,29.59,19.78,18.07,18.31,24.27,14.55,22.97,16.23
Operating Profit,4.21,5.48,6.47,5.34,5.93,4.75,5.80,5.33,5.35,-1.51,2.25,2.42,2.79
OPM %,15.50%,24.67%,22.38%,26.34%,24.78%,13.83%,22.67%,22.78%,22.61%,-6.63%,13.39%,9.53%,14.67%
Other Income +,0.14,-0.07,0.03,0.09,-0.08,1.14,0.49,0.28,0.50,-0.24,0.65,0.42,0.24
Interest,0.15,0.94,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.29
Depreciation,1.15,1.34,1.34,1.34,1.34,1.11,1.39,1.39,1.39,-1.96,0.55,0.55,0.55
Profit before tax,3.05,3.13,5.16,4.02,4.50,4.78,4.90,4.22,4.46,0.21,2.29,2.21,2.19
Tax %,0.00%,56.55%,19.38%,0.00%,0.00%,64.44%,25.51%,26.07%,26.01%,-495.24%,26.20%,26.24%,31.05%
Net Profit +,3.06,1.36,4.16,4.02,4.50,1.69,3.65,3.12,3.30,1.26,1.70,1.64,1.51
EPS in Rs,1.06,0.47,1.44,1.40,1.56,0.59,1.27,1.08,1.15,0.44,0.59,0.57,0.52
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,130.38,286.13,197.30,98.18,107.45,95.40,83.97
Expenses +,110.33,246.40,168.46,81.20,84.98,80.34,78.02
Operating Profit,20.05,39.73,28.84,16.98,22.47,15.06,5.95
OPM %,15.38%,13.89%,14.62%,17.29%,20.91%,15.79%,7.09%
Other Income +,0.06,0.04,-15.08,1.26,1.18,1.03,1.07
Interest,0.18,0.21,0.13,1.57,0.06,0.10,0.43
Depreciation,2.69,3.25,4.54,4.71,5.13,2.19,-0.31
Profit before tax,17.24,36.31,9.09,11.96,18.46,13.80,6.90
Tax %,0.00%,0.00%,0.00%,13.80%,22.10%,17.90%,
Net Profit +,17.24,36.31,9.09,10.30,14.37,11.34,6.11
EPS in Rs,6.66,12.61,3.16,3.58,4.99,3.94,2.12
Dividend Payout %,0.00%,3.96%,6.33%,13.98%,0.00%,0.00%,

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,13.30,28.79,28.79,28.79,28.79,28.79,28.79
Reserves,79.08,114.36,123.28,133.46,146.40,142.35,145.69
Borrowings +,0.00,0.00,0.00,6.11,0.00,0.00,0.45
Other Liabilities +,25.39,23.18,8.70,7.81,7.24,6.41,14.07
Total Liabilities,117.77,166.33,160.77,176.17,182.43,177.55,189.00
Fixed Assets +,38.80,84.50,80.59,78.50,95.63,84.25,90.47
CWIP,0.02,0.10,10.91,12.21,5.88,9.71,10.31
Investments,0.07,0.01,0.00,0.00,0.00,0.00,0.00
Other Assets +,78.88,81.72,69.27,85.46,80.92,83.59,88.22
Total Assets,117.77,166.33,160.77,176.17,182.43,177.55,189.00

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,4.83,15.28,11.20,3.72,21.57,8.71
Cash from Investing Activity +,-6.15,-46.22,-11.69,-3.85,-15.82,-9.95
Cash from Financing Activity +,16.42,14.07,-0.48,4.95,-7.28,0.86
Net Cash Flow,15.10,-16.88,-0.97,4.83,-1.53,-0.38
Free Cash Flow,4.17,-33.67,-0.55,-0.20,5.63,-1.30
CFO/OP,24%,38%,39%,34%,117%,77%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,111.11,68.32,78.25,136.33,137.17,158.51
Inventory Days,41.53,24.37,40.49,168.30,121.04,151.67
Days Payable,98.35,35.99,18.23,24.02,36.45,37.61
Cash Conversion Cycle,54.30,56.71,100.51,280.61,221.76,272.57
Working Capital Days,70.10,62.93,99.16,222.76,221.11,262.77
ROCE %,,31.01%,16.89%,8.44%,10.78%,8.03%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.42%,46.80%
FIIs +,0.00%,0.00%,0.01%,0.01%,0.02%,0.00%,0.32%,0.03%,0.19%,0.23%,0.17%,0.17%
DIIs +,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%
Public +,53.47%,53.49%,53.47%,53.48%,53.46%,53.49%,53.15%,53.46%,53.29%,53.25%,53.22%,52.84%
No. of Shareholders,"19,607","20,001","19,803","19,932","21,400","24,674","23,583","23,617","23,626","23,412","23,070","22,439"

--- CAGR BOXES ---




