--- ABOUT ---
"Incorporated in 2001, Sai Parenteral's Ltd. is a diversified pharmaceutical formulations company with expertise in research, development, and manufacturing. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,620",593,601,184

Book Value,Dividend Yield,ROCE,ROE
,0.00,5.97,4.88

Face Value
5.00

--- QUARTERLY RESULTS ---
,Dec 2025,Mar 2026
Sales +,96,198
Expenses +,100,172
Operating Profit,-4,26
OPM %,-4%,13%
Other Income +,3,3
Interest,5,8
Depreciation,6,8
Profit before tax,-12,12
Tax %,-43%,-6%
Net Profit +,-7,13
EPS in Rs,-1.80,2.98
Raw PDF,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,97,154,163,381
Expenses +,78,122,124,342
Operating Profit,19,32,39,39
OPM %,19%,21%,24%,10%
Other Income +,0,1,1,9
Interest,6,11,12,18
Depreciation,6,9,8,17
Profit before tax,7,13,20,12
Tax %,40%,33%,28%,-20%
Net Profit +,4,8,14,14
EPS in Rs,6.13,6.36,5.43,3.23
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,13,13,22
Reserves,24,61,80,469
Borrowings +,69,119,94,333
Other Liabilities +,34,75,85,600
Total Liabilities,134,268,272,"1,424"
Fixed Assets +,44,70,53,364
CWIP,2,0,0,212
Investments,0,0,0,0
Other Assets +,88,198,219,848
Total Assets,134,268,272,"1,424"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-13,-30,33,93
Cash from Investing Activity +,-19,-46,0,-274
Cash from Financing Activity +,24,79,-36,596
Net Cash Flow,-8,2,-2,415
Free Cash Flow,-30,-72,41,-184
CFO/OP,-54%,-94%,86%,253%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,231,302,283,173
Inventory Days,83,143,199,259
Days Payable,140,203,225,224
Cash Conversion Cycle,174,242,256,208
Working Capital Days,19,72,79,-161
ROCE %,,16%,17%,6%

--- SHAREHOLDING PATTERN ---
,Mar 2026,Apr 2026
Promoters +,51.16%,51.16%
FIIs +,5.73%,5.73%
DIIs +,12.86%,12.86%
Public +,30.25%,30.25%
No. of Shareholders,"7,687","7,687"

--- CAGR BOXES ---




