--- ABOUT ---
"Incorporated in 2005, Suraksha Diagnostic offers an integrated pathology, radiology testing, and medical consultancy services solution. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,398",268,354,43.4

Book Value,Dividend Yield,ROCE,ROE
47.0,0.00,17.0,14.1

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,60.05,51.82,55.19,60.73,66.75,59.51,65.09,72.59,78.73,77.69,81.41
Expenses +,39.22,36.50,35.72,40.12,43.55,41.26,45.91,48.85,54.61,54.53,57.04
Operating Profit,20.83,15.32,19.47,20.61,23.20,18.25,19.18,23.74,24.12,23.16,24.37
OPM %,34.69%,29.56%,35.28%,33.94%,34.76%,30.67%,29.47%,32.70%,30.64%,29.81%,29.93%
Other Income +,0.56,0.85,0.20,1.12,1.31,0.60,0.82,0.91,0.85,0.62,0.79
Interest,2.48,2.03,2.08,2.22,2.13,1.98,2.06,2.70,2.78,3.16,3.92
Depreciation,7.95,7.92,8.36,8.99,8.75,8.83,8.73,9.48,10.14,10.56,11.26
Profit before tax,10.96,6.22,9.23,10.52,13.63,8.04,9.21,12.47,12.05,10.06,9.98
Tax %,24.00%,27.01%,31.53%,27.00%,25.53%,25.62%,22.15%,26.46%,26.72%,28.03%,38.28%
Net Profit +,8.34,4.53,6.32,7.67,10.15,5.98,7.17,9.18,8.83,7.24,6.16
EPS in Rs,121.88,67.39,94.49,1.84,2.40,1.18,1.42,1.80,1.73,1.44,1.21
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,158,140,223,190,219,252,310
Expenses +,123,115,175,143,146,170,215
Operating Profit,34,25,48,47,73,82,95
OPM %,22%,18%,22%,25%,33%,33%,31%
Other Income +,2,-1,2,1,1,4,3
Interest,2,2,2,10,10,9,13
Depreciation,13,16,15,32,33,35,41
Profit before tax,21,6,33,7,31,41,45
Tax %,28%,-1%,28%,10%,26%,25%,30%
Net Profit +,15,6,24,6,23,31,31
EPS in Rs,220.43,93.33,344.20,94.49,342.46,6.11,6.18
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,8%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,7,7,7,10,10
Reserves,111,118,141,147,171,201,234
Borrowings +,13,18,21,99,92,89,130
Other Liabilities +,42,28,32,28,30,33,73
Total Liabilities,173,171,201,281,300,334,448
Fixed Assets +,128,119,119,195,212,223,316
CWIP,0,0,1,2,1,11,35
Investments,5,5,-0,-0,-0,1,-0
Other Assets +,39,46,80,84,87,99,97
Total Assets,173,171,201,281,300,334,448

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,31,24,42,44,60,63,82
Cash from Investing Activity +,-20,-28,-44,-21,-35,-40,-52
Cash from Financing Activity +,-10,3,1,-24,-25,-24,-29
Net Cash Flow,1,-1,-0,-1,0,-0,1
Free Cash Flow,15,8,23,32,18,21,15
CFO/OP,111%,100%,97%,109%,95%,90%,100%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,14,16,12,9,15,20,27
Inventory Days,93,62,38,82,89,100,81
Days Payable,227,177,84,187,193,169,209
Cash Conversion Cycle,-120,-99,-34,-96,-89,-49,-101
Working Capital Days,-35,-19,-15,-49,-37,-23,-28
ROCE %,,8%,23%,9%,17%,18%,17%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,48.78%,48.78%,48.89%,48.98%,49.00%,49.10%
FIIs +,15.39%,14.46%,13.95%,13.73%,13.46%,13.46%
DIIs +,20.43%,22.05%,22.37%,21.98%,22.57%,23.14%
Public +,15.39%,14.71%,14.79%,15.30%,14.98%,14.31%
No. of Shareholders,"98,662","87,275","79,670","75,304","70,963","67,107"

--- CAGR BOXES ---




