--- ABOUT ---
"Incorporated in 1989, Nagreeka Exports Ltd is engaged in the manufacturing, trading and export of cotton yarn and other various merchandise."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
86.2,27.6,40.2,12.1

Book Value,Dividend Yield,ROCE,ROE
,0.00,,6.77

Face Value
5.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006
Sales +,178
Expenses +,195
Operating Profit,-18
OPM %,-10%
Other Income +,60
Interest,3
Depreciation,3
Profit before tax,37
Tax %,6%
Net Profit +,35
EPS in Rs,
Dividend Payout %,4%

--- BALANCE SHEET ---
,Mar 2006
Equity Capital,11
Reserves,94
Borrowings +,82
Other Liabilities +,22
Total Liabilities,209
Fixed Assets +,70
CWIP,19
Investments,53
Other Assets +,67
Total Assets,209

--- CASH FLOW ---
,Mar 2006
Cash from Operating Activity +,-20
Cash from Investing Activity +,-51
Cash from Financing Activity +,72
Net Cash Flow,2
Free Cash Flow,-74
CFO/OP,109%

--- RATIOS ---
,Mar 2006
Debtor Days,71
Inventory Days,31
Days Payable,13
Cash Conversion Cycle,89
Working Capital Days,106
ROCE %,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,52.87%,52.87%,52.87%,57.32%,57.32%,57.32%,57.32%,57.32%,57.32%,57.32%,57.32%,57.32%
FIIs +,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
DIIs +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,47.11%,47.12%,47.08%,42.67%,42.67%,42.68%,42.69%,42.67%,42.68%,42.69%,42.68%,42.68%
No. of Shareholders,"8,793","8,737","9,276","11,561","11,074","13,077","12,664","12,570","12,339","12,341","12,111","11,856"

--- CAGR BOXES ---




