--- ABOUT ---
"Incorporated in 2016, BLS-E Services Ltd provides Digital Services including E-Governance, Business Correspondent and allied services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,063",227,238,35.9

Book Value,Dividend Yield,ROCE,ROE
57.5,0.44,17.0,11.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,73,75,81,72,74,75,77,128,239,244,270,281,323
Expenses +,61,67,69,61,63,64,64,112,220,226,250,264,303
Operating Profit,12,9,12,10,11,12,14,16,19,18,20,17,20
OPM %,17%,11%,15%,14%,15%,16%,18%,12%,8%,7%,7%,6%,6%
Other Income +,23,1,1,1,5,7,7,5,6,7,6,6,6
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,2,2,1,2,2,2
Profit before tax,34,9,12,11,14,17,19,19,23,23,25,21,24
Tax %,25%,35%,25%,24%,24%,27%,23%,27%,26%,25%,26%,27%,24%
Net Profit +,25,6,9,8,11,13,15,14,17,18,18,15,18
EPS in Rs,3.73,0.77,1.27,1.12,1.13,1.32,1.58,1.44,1.45,1.62,1.70,1.39,1.62
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,64,97,243,301,519,"1,118"
Expenses +,60,90,210,260,459,"1,043"
Operating Profit,5,7,33,42,60,75
OPM %,7%,7%,14%,14%,12%,7%
Other Income +,1,2,1,8,26,25
Interest,2,1,4,1,1,1
Depreciation,0,1,3,3,6,6
Profit before tax,4,7,27,46,79,93
Tax %,20%,21%,25%,27%,26%,25%
Net Profit +,3,5,20,34,59,69
EPS in Rs,"3,150.00","5,380.00",2.83,3.46,5.78,6.33
Dividend Payout %,0%,0%,0%,0%,17%,16%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,67,91,91,91
Reserves,10,15,40,340,392,432
Borrowings +,11,15,5,7,7,6
Other Liabilities +,20,26,67,71,183,233
Total Liabilities,41,56,179,510,672,762
Fixed Assets +,8,15,88,93,148,180
CWIP,0,0,0,0,11,15
Investments,0,0,0,15,110,126
Other Assets +,32,41,92,402,404,441
Total Assets,41,56,179,510,672,762

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,9,20,29,20,67,51
Cash from Investing Activity +,-1,-14,-66,-295,-23,-14
Cash from Financing Activity +,-5,-8,46,290,-4,-19
Net Cash Flow,3,-1,10,15,40,17
Free Cash Flow,9,12,28,15,54,42
CFO/OP,195%,315%,99%,72%,120%,109%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,50,32,27,30,66,39
Inventory Days,,,,23,6,
Days Payable,,,,46,683,
Cash Conversion Cycle,50,32,27,8,-611,39
Working Capital Days,-110,-55,-58,-29,-31,28
ROCE %,,31%,45%,17%,16%,17%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,68.89%,68.89%,68.89%,68.89%,68.89%,68.89%,68.89%,68.89%,69.81%
FIIs +,9.27%,5.69%,1.42%,0.78%,0.41%,0.25%,0.21%,0.99%,0.46%
DIIs +,0.01%,0.01%,0.01%,0.01%,0.02%,0.00%,0.00%,0.11%,0.01%
Public +,21.83%,25.40%,29.68%,30.31%,30.67%,30.85%,30.90%,29.77%,29.49%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.22%
No. of Shareholders,"73,190","75,001","87,912","91,939","93,861","90,442","86,689","78,587","76,520"

--- CAGR BOXES ---




