--- ABOUT ---
"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
799,18.6,72.2,22.9

Book Value,Dividend Yield,ROCE,ROE
2.59,0.16,36.9,36.6

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,17.01,17.34,48.14,48.21,30.48,31.18,74.64,61.08
Expenses +,14.14,14.30,33.27,33.22,21.70,22.79,52.07,48.28
Operating Profit,2.87,3.04,14.87,14.99,8.78,8.39,22.57,12.80
OPM %,16.87%,17.53%,30.89%,31.09%,28.81%,26.91%,30.24%,20.96%
Other Income +,0.11,0.13,0.24,0.24,0.03,1.75,0.08,0.01
Interest,0.13,0.13,0.72,0.76,0.66,1.15,0.89,0.42
Depreciation,0.52,0.52,0.74,0.74,0.84,0.88,0.84,0.97
Profit before tax,2.33,2.52,13.65,13.73,7.31,8.11,20.92,11.42
Tax %,27.04%,27.78%,24.76%,25.20%,27.36%,29.47%,32.89%,12.61%
Net Profit +,1.70,1.83,10.27,10.28,5.31,5.73,14.05,9.99
EPS in Rs,0.04,0.04,0.24,0.24,0.12,0.13,0.33,0.23
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,50,131,197
Expenses +,45,95,145
Operating Profit,5,36,52
OPM %,11%,27%,27%
Other Income +,3,1,2
Interest,0,2,3
Depreciation,1,3,4
Profit before tax,7,32,48
Tax %,24%,26%,27%
Net Profit +,5,24,35
EPS in Rs,0.21,0.56,0.82
Dividend Payout %,0%,0%,2%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,25,25
Reserves,26,55,86
Borrowings +,6,26,54
Other Liabilities +,20,50,45
Total Liabilities,67,156,210
Fixed Assets +,10,18,22
CWIP,0,1,3
Investments,0,0,0
Other Assets +,57,137,184
Total Assets,67,156,210

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-14,-27,-13
Cash from Investing Activity +,-6,-9,-9
Cash from Financing Activity +,20,36,23
Net Cash Flow,0,-0,0
Free Cash Flow,-20,-39,-21
CFO/OP,-219%,-68%,-3%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,275,301,253
Inventory Days,138,95,114
Days Payable,144,63,98
Cash Conversion Cycle,269,333,268
Working Capital Days,208,222,222
ROCE %,,44%,37%

--- SHAREHOLDING PATTERN ---
,Apr 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.79%,27.60%,22.97%,22.97%,13.86%,13.86%,13.88%,17.78%,21.06%,21.06%,21.06%,21.06%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,2.12%,2.97%,3.01%,2.50%,3.85%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.35%,0.35%,0.10%
Public +,66.21%,72.40%,77.03%,77.03%,86.14%,86.14%,84.12%,80.10%,75.62%,75.57%,76.09%,75.00%
No. of Shareholders,365,357,345,307,"1,071","1,167","1,293","1,244","1,311","5,380","7,123","44,653"

--- CAGR BOXES ---




