--- ABOUT ---
"Incorporated in 2009, Prabha Energy Ltd operates mainly in oil and gas exploration & production [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,143",156,315,"3,759"

Book Value,Dividend Yield,ROCE,ROE
23.4,0.00,0.10,0.13

Face Value
1.00

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,0.63,1.02,0.94,0.97,1.02,1.02,1.13,1.77,1.76,1.44
Expenses +,0.76,1.13,1.05,1.02,1.06,2.68,1.40,2.08,1.82,1.47
Operating Profit,-0.13,-0.11,-0.11,-0.05,-0.04,-1.66,-0.27,-0.31,-0.06,-0.03
OPM %,-20.63%,-10.78%,-11.70%,-5.15%,-3.92%,-162.75%,-23.89%,-17.51%,-3.41%,-2.08%
Other Income +,0.13,0.19,0.02,0.01,0.01,0.40,0.10,0.11,1.20,0.19
Interest,0.06,0.07,0.11,0.01,0.02,0.01,0.01,0.01,0.03,0.06
Depreciation,0.10,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.08,0.02
Profit before tax,-0.16,-0.10,-0.31,-0.17,-0.17,-1.39,-0.30,-0.33,1.03,0.08
Tax %,-50.00%,10.00%,-25.81%,-58.82%,-0.00%,-33.09%,-26.67%,-42.42%,9.71%,-12.50%
Net Profit +,-0.09,-0.11,-0.23,-0.07,-0.16,-0.94,-0.22,-0.18,0.92,0.10
EPS in Rs,,,,,-0.01,-0.05,-0.01,-0.01,0.05,0.01
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,33.45,2.79,3.95,6.11
Expenses +,30.08,3.77,5.81,6.78
Operating Profit,3.37,-0.98,-1.86,-0.67
OPM %,10.07%,-35.13%,-47.09%,-10.97%
Other Income +,1.84,0.45,0.44,1.60
Interest,0.33,0.34,0.15,0.11
Depreciation,0.31,0.39,0.46,0.34
Profit before tax,4.57,-1.26,-2.03,0.48
Tax %,17.51%,-24.60%,-31.53%,-25.00%
Net Profit +,3.76,-0.95,-1.40,0.61
EPS in Rs,,,-0.08,0.03
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13.69,13.69,13.69,13.69
Reserves,431.51,430.57,424.34,420.80
Borrowings +,10.82,79.16,126.11,163.48
Other Liabilities +,136.21,78.94,71.77,91.12
Total Liabilities,592.23,602.36,635.91,689.09
Fixed Assets +,321.95,322.71,323.90,321.57
CWIP,186.50,210.25,253.08,298.81
Investments,0.38,0.53,-0.00,-0.00
Other Assets +,83.40,68.87,58.93,68.71
Total Assets,592.23,602.36,635.91,689.09

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,11.47,-43.73,-6.09,-2.66
Cash from Investing Activity +,-11.82,-25.07,-43.88,-44.10
Cash from Financing Activity +,1.10,68.00,50.07,46.77
Net Cash Flow,0.75,-0.81,0.09,0.01
Free Cash Flow,-6.27,-68.63,-50.57,-47.93
CFO/OP,356%,"4,420%",324%,394%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,6.00,39.25,63.76,13.74
Inventory Days,,,,"2,893.27"
Days Payable,,,,"4,689.04"
Cash Conversion Cycle,6.00,39.25,63.76,"-1,782.03"
Working Capital Days,-590.22,"-2,367.92","-1,751.08","-2,023.93"
ROCE %,,-0.19%,-0.35%,0.10%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Apr 2026
Promoters +,80.22%,80.22%,80.22%,80.22%,80.22%,80.22%,74.94%
FIIs +,0.58%,0.58%,0.57%,0.45%,0.44%,0.66%,1.84%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.08%
Public +,19.20%,19.19%,19.21%,19.32%,19.32%,19.10%,23.15%
No. of Shareholders,"13,306","13,167","13,221","13,617","13,379","13,711","13,789"

--- CAGR BOXES ---




