--- ABOUT ---
"Incorporated in 2012, Tara Chand Infralogistic Solutions Ltd provides cargo handling and logistic services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
443,56.2,104,16.0

Book Value,Dividend Yield,ROCE,ROE
18.9,0.36,18.2,20.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2025,Dec 2025,Mar 2026
Sales +,81.63,68.56,89.55
Expenses +,56.48,43.53,58.46
Operating Profit,25.15,25.03,31.09
OPM %,30.81%,36.51%,34.72%
Other Income +,0.48,0.71,0.48
Interest,1.71,3.02,2.88
Depreciation,13.39,15.75,17.10
Profit before tax,10.53,6.97,11.59
Tax %,25.07%,25.11%,26.23%
Net Profit +,7.90,5.22,8.55
EPS in Rs,1.00,0.66,1.08
Raw PDF,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,248,285
Expenses +,170,181
Operating Profit,78,103
OPM %,31%,36%
Other Income +,6,3
Interest,7,10
Depreciation,44,59
Profit before tax,33,37
Tax %,25%,25%
Net Profit +,25,28
EPS in Rs,3.15,3.51
Dividend Payout %,0%,6%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,16,16
Reserves,106,133
Borrowings +,112,138
Other Liabilities +,157,229
Total Liabilities,391,516
Fixed Assets +,272,355
CWIP,0,0
Investments,0,0
Other Assets +,119,162
Total Assets,391,516

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,,
Cash from Investing Activity +,,
Cash from Financing Activity +,,
Net Cash Flow,,
Free Cash Flow,,
CFO/OP,,

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,88,119
Inventory Days,46,
Days Payable,176,
Cash Conversion Cycle,-42,119
Working Capital Days,20,41
ROCE %,,18%

--- SHAREHOLDING PATTERN ---
,Mar 2023,Apr 2023,Sep 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.71%,74.39%,73.34%,69.68%,69.62%,69.61%,69.60%,70.67%,70.68%,70.68%,71.14%,71.64%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.14%,0.14%,0.07%,0.11%,0.13%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,25.29%,25.61%,26.66%,30.32%,30.38%,30.39%,29.84%,29.19%,29.18%,29.25%,28.75%,28.24%
No. of Shareholders,513,514,564,"1,037","4,958","8,573","12,859","14,771","14,504","15,621","17,138","16,188"

--- CAGR BOXES ---




