--- ABOUT ---
Websol Energy System Limited is engaged in the business of manufacturing photovoltaic crystalline solar cells and related modules in India. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,546",105,157,15.0

Book Value,Dividend Yield,ROCE,ROE
14.5,0.00,63.2,66.9

Face Value
1.00

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,147,173,168,261,401
Expenses +,80,95,96,155,255
Operating Profit,68,78,72,106,146
OPM %,46%,45%,43%,41%,36%
Other Income +,0,1,3,-3,6
Interest,5,4,5,4,4
Depreciation,15,10,11,16,24
Profit before tax,48,66,60,84,125
Tax %,14%,27%,23%,23%,0%
Net Profit +,42,48,46,65,124
EPS in Rs,0.98,1.14,1.10,1.54,2.87
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,575,"1,049"
Expenses +,323,621
Operating Profit,253,429
OPM %,44%,41%
Other Income +,2,9
Interest,19,16
Depreciation,41,62
Profit before tax,194,359
Tax %,20%,16%
Net Profit +,155,303
EPS in Rs,3.67,6.98
Dividend Payout %,0%,4%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,42,43
Reserves,236,587
Borrowings +,153,131
Other Liabilities +,83,170
Total Liabilities,514,931
Fixed Assets +,285,459
CWIP,17,1
Investments,5,52
Other Assets +,208,419
Total Assets,514,931

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,167,255
Cash from Investing Activity +,-86,-234
Cash from Financing Activity +,-35,-3
Net Cash Flow,47,19
Free Cash Flow,124,75
CFO/OP,67%,66%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,3,32
Inventory Days,70,142
Days Payable,66,63
Cash Conversion Cycle,7,111
Working Capital Days,-5,69
ROCE %,,63%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,26.76%,26.76%,27.71%,27.71%,27.71%,27.71%,27.71%,27.71%,27.71%,27.71%,27.71%,29.72%
FIIs +,4.14%,0.83%,0.77%,0.47%,0.01%,0.48%,2.46%,4.24%,4.39%,5.47%,5.40%,4.12%
DIIs +,0.02%,0.02%,0.25%,0.00%,0.00%,0.00%,0.09%,0.02%,0.44%,0.26%,0.31%,0.32%
Public +,69.09%,72.40%,71.26%,71.82%,72.28%,71.80%,69.74%,68.04%,67.47%,66.57%,66.59%,65.85%
No. of Shareholders,"69,255","62,101","61,032","86,164","1,02,892","1,13,690","1,22,902","1,27,378","1,26,281","1,27,190","1,42,556","1,38,900"

--- CAGR BOXES ---




