--- ABOUT ---
"Incorporated in 1998, Radaan Mediaworks India Ltd is in the media & entertainment business. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
16.8,3.11,4.60 / 2.30,

Book Value,Dividend Yield,ROCE,ROE
-2.99,0.00,-38.0,

Face Value
2.00

--- QUARTERLY RESULTS ---
Cash Conversion Cycle,85.34,101.16,72.27,82.73,66.26,70.50,"-1,243.77",74.55,31.55,48.43,-212.59,"-1,395.35"
Working Capital Days,36.66,54.07,32.58,36.85,-100.36,-354.98,-510.06,-440.29,-294.00,-130.22,-342.66,"-1,060.53"
ROCE %,9.42%,8.43%,8.11%,7.70%,-25.23%,-31.98%,-31.20%,-12.65%,3.47%,11.63%,13.57%,-38.00%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%,51.42%
FIIs +,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%
Public +,48.30%,48.31%,48.30%,48.29%,48.30%,48.31%,48.29%,48.30%,48.30%,48.30%,48.30%,48.30%
No. of Shareholders,"14,201","15,353","15,256","17,323","17,226","17,413","20,962","24,145","24,881","25,089","25,246","25,123"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-16%
5 Years:,-10%
3 Years:,-23%
TTM:,-76%

Compounded Profit Growth
10 Years:,%
5 Years:,6%
3 Years:,%
TTM:,-1552%

Stock Price CAGR
10 Years:,6%
5 Years:,13%
3 Years:,16%
1 Year:,-31%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,%

