--- ABOUT ---
"Incorporated in 2016, Unimech Aerospace and Manufacturing Limited is a global high precision engineering solutions company which specializes in manufacturing of complex products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"6,091","1,198","1,360",96.2

Book Value,Dividend Yield,ROCE,ROE
145,0.00,11.8,9.00

Face Value
5.00

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,65,62,59,61,54,68,63,62,34,82
Expenses +,36,36,33,38,38,41,43,43,32,47
Operating Profit,29,26,26,23,16,28,20,19,2,35
OPM %,44%,42%,43%,38%,29%,40%,31%,30%,5%,43%
Other Income +,1,2,2,5,8,10,11,10,11,15
Interest,1,2,1,1,1,1,1,1,2,11
Depreciation,1,1,2,2,3,4,6,6,7,7
Profit before tax,28,25,25,25,19,33,24,21,4,32
Tax %,28%,21%,17%,27%,20%,10%,21%,24%,38%,17%
Net Profit +,20,20,21,18,16,29,19,16,2,26
EPS in Rs,4.63,4.48,4.69,3.79,3.06,5.74,3.76,3.08,0.47,5.13
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,36,94,209,243,240
Expenses +,28,59,130,151,165
Operating Profit,8,35,79,92,75
OPM %,22%,37%,38%,38%,31%
Other Income +,1,1,5,25,47
Interest,2,2,3,4,15
Depreciation,3,4,4,11,26
Profit before tax,4,29,76,102,80
Tax %,9%,22%,24%,18%,21%
Net Profit +,3,23,58,83,63
EPS in Rs,325.34,"2,189.06",13.21,16.41,12.44
Dividend Payout %,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,22,25,25
Reserves,27,48,87,643,712
Borrowings +,20,24,30,84,127
Other Liabilities +,9,20,37,54,59
Total Liabilities,57,93,175,807,924
Fixed Assets +,25,29,52,162,198
CWIP,3,0,0,5,3
Investments,-0,-0,-0,344,480
Other Assets +,29,64,123,297,243
Total Assets,57,93,175,807,924

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,1,47,81,61
Cash from Investing Activity +,1,-6,-47,-461,-188
Cash from Financing Activity +,-0,3,5,515,23
Net Cash Flow,2,-2,5,135,-105
Free Cash Flow,-1,-4,11,-51,25
CFO/OP,18%,18%,90%,109%,104%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,76,125,82,83,98
Inventory Days,242,303,165,136,156
Days Payable,211,133,106,111,117
Cash Conversion Cycle,106,295,141,108,137
Working Capital Days,-21,100,83,48,649
ROCE %,,52%,75%,22%,12%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,79.82%,79.82%,79.82%,79.82%,79.82%,79.82%
FIIs +,1.62%,0.44%,0.16%,0.21%,0.36%,0.38%
DIIs +,6.57%,7.76%,6.41%,6.52%,6.50%,5.99%
Public +,12.01%,11.98%,13.63%,13.44%,13.32%,13.81%
No. of Shareholders,"1,20,897","76,035","74,641","77,234","77,586","75,769"

--- CAGR BOXES ---




