--- ABOUT ---
"SEPC (Shriram EPC Ltd till February 2021) was incorporated in June 2000. The company became majority owned by Mark AB since September 2022 post infusion of Rs 350 crore. SEPC specialises in executing EPC contracts, providing integrated solutions encompassing design, engineering, procurement, construction and project management services in water, process and process and metallurgy, and infrastructure segments. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,431",7.47,14.4 / 4.63,26.3

Book Value,Dividend Yield,ROCE,ROE
10.2,0.00,5.03,3.18

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,142,143,129,141,148,176,171,133,118,202,237,341,274
Expenses +,129,131,121,143,141,152,163,130,102,174,227,312,264
Operating Profit,13,13,8,-2,7,24,8,3,15,28,11,29,10
OPM %,9%,9%,7%,-1%,5%,14%,4%,3%,13%,14%,4%,8%,4%
Other Income +,8,3,10,20,14,2,11,13,8,2,14,0,15
Interest,9,9,11,11,13,13,10,9,12,9,12,10,9
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,10,5,6,6,7,13,7,6,10,19,11,17,15
Tax %,300%,-0%,-0%,-0%,-0%,36%,67%,20%,-0%,13%,23%,14%,8%
Net Profit +,-20,5,6,6,7,8,2,4,10,17,8,15,14
EPS in Rs,-0.11,0.03,0.03,0.03,0.03,0.04,0.01,0.02,0.05,0.09,0.04,0.08,0.07
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,548,548,744,829,"1,202","1,208",583,329,379,561,598,"1,054"
Expenses +,615,519,736,813,"1,139","1,149",641,366,435,527,533,977
Operating Profit,-67,28,8,16,63,59,-58,-36,-56,34,64,78
OPM %,-12%,5%,1%,2%,5%,5%,-10%,-11%,-15%,6%,11%,7%
Other Income +,121,46,83,105,70,-15,12,-53,155,46,34,30
Interest,301,272,298,104,95,115,126,125,67,52,58,41
Depreciation,6,7,6,6,6,6,6,6,6,5,5,5
Profit before tax,-253,-204,-213,11,31,-77,-178,-221,25,23,35,62
Tax %,0%,-0%,-35%,118%,3%,-0%,1%,19%,119%,-0%,29%,14%
Net Profit +,-266,-204,-137,-2,31,-77,-179,-264,-5,23,25,54
EPS in Rs,-21.32,-4.28,-1.02,-0.01,0.22,-0.55,-1.28,-1.88,-0.03,0.12,0.13,0.28
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,86,331,937,972,972,972,972,972,"1,322","1,410","1,564","1,943"
Reserves,-365,125,204,258,288,212,32,-234,-235,-200,-58,-24
Borrowings +,"2,422","1,967",841,800,657,684,836,981,409,455,358,354
Other Liabilities +,484,528,883,"1,121","1,055",735,577,505,506,544,523,820
Total Liabilities,"2,627","2,951","2,865","3,151","2,971","2,603","2,416","2,223","2,002","2,209","2,387","3,093"
Fixed Assets +,41,55,61,56,55,51,45,41,36,31,26,22
CWIP,29,10,0,0,0,-0,-0,-0,-0,-0,-0,-0
Investments,5,5,1,1,1,1,1,1,0,1,0,2
Other Assets +,"2,552","2,880","2,803","3,094","2,915","2,551","2,370","2,182","1,965","2,178","2,361","3,069"
Total Assets,"2,627","2,951","2,865","3,151","2,971","2,603","2,416","2,223","2,002","2,209","2,387","3,093"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-299,,12,28,302,-7,-50,-72,21,-121,-133,-263
Cash from Investing Activity +,22,,-6,21,-38,40,21,1,12,-24,4,-7
Cash from Financing Activity +,306,,35,-81,-257,-52,25,68,-6,130,118,289
Net Cash Flow,29,,42,-32,7,-19,-4,-3,27,-15,-11,19
Free Cash Flow,-322,,11,26,298,-8,-50,-72,24,-121,-133,-264
CFO/OP,433%,,-48%,215%,471%,-3%,79%,146%,-40%,-355%,-199%,-348%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,168,194,237,160,147,145,252,413,281,195,225,204
Inventory Days,679,421,,,,,,,,,,-0
Days Payable,"1,895","1,894",,,,,,,,,,
Cash Conversion Cycle,"-1,048","-1,280",237,160,147,145,252,413,281,195,225,204
Working Capital Days,125,339,188,3,177,177,213,143,621,523,623,455
