--- ABOUT ---
"Incorporated in 1987, GTL Ltd is in the business of providing telecom network services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
129,8.20,11.8,

Book Value,Dividend Yield,ROCE,ROE
-452,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales +,56,35,30,84,54,48,48,52,69,52,48,49,50
Expenses +,220,151,74,172,102,171,53,44,54,46,68,41,42
Operating Profit,-164,-116,-44,-89,-48,-124,-5,9,16,6,-20,8,8
OPM %,-292%,-332%,-148%,-106%,-88%,-259%,-11%,17%,22%,12%,-41%,16%,16%
Other Income +,33,13,1,5,1,291,1,24,10,11,1,355,451
Interest,4,4,4,5,5,6,5,5,5,5,6,6,6
Depreciation,1,1,1,1,1,1,1,1,1,2,1,1,1
Profit before tax,-136,-108,-49,-89,-52,161,-11,27,19,10,-26,356,452
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-136,-108,-49,-89,-52,161,-11,27,19,10,-26,356,452
EPS in Rs,-8.67,-6.86,-3.13,-5.68,-3.32,10.22,-0.67,1.71,1.23,0.64,-1.63,22.66,28.74
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2010,Jun 2011 15m,Mar 2012 9m,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,"2,237","3,942","1,858","2,592","1,618","1,675","1,683","1,221",995,219,215,221,198
Expenses +,"1,913","3,338","1,741","2,440","1,441","2,201","2,778","1,378","1,122",633,434,163,196
Operating Profit,324,605,117,152,178,-526,"-1,095",-157,-127,-414,-219,58,2
OPM %,14%,15%,6%,6%,11%,-31%,-65%,-13%,-13%,-189%,-102%,26%,1%
Other Income +,138,272,-1,40,23,77,-904,34,-718,20,213,14,818
Interest,155,486,452,567,582,517,610,547,19,17,19,21,22
Depreciation,59,104,102,178,126,133,101,47,17,5,5,5,5
Profit before tax,247,286,-438,-552,-508,"-1,098","-2,709",-718,-881,-415,-30,46,793
Tax %,16%,26%,4%,1%,6%,0%,0%,-1%,-0%,0%,0%,0%,
Net Profit +,206,198,-459,-554,-562,"-1,115","-2,868",-994,-454,-415,-30,46,793
EPS in Rs,21.31,20.38,-47.20,-35.32,-35.69,-70.88,-182.31,-63.19,-28.89,-26.39,-1.91,2.91,50.41
Dividend Payout %,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,

--- BALANCE SHEET ---
,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,97,97,97,157,157,157,157,157,157,157,157,157,157
Reserves,"1,316","1,509","1,139",796,273,-874,"-5,160","-6,127","-6,570","-7,560","-7,655","-7,588","-7,266"
Borrowings +,"2,374","4,189","4,329","4,784","4,008","3,300",260,127,141,157,174,194,"6,582"
Other Liabilities +,937,"1,705","2,625","2,472","3,167","4,111","7,149","7,433","7,270","7,556","7,588","7,434",788
Total Liabilities,"4,723","7,500","8,190","8,208","7,606","6,695","2,407","1,591",998,310,265,197,261
Fixed Assets +,340,566,597,512,419,249,141,99,83,79,79,76,77
CWIP,99,249,181,106,118,64,0,0,0,0,0,0,0
Investments,591,"2,452","2,329","2,291","3,245","3,167",701,416,842,184,51,51,51
Other Assets +,"3,693","4,233","5,082","5,298","3,823","3,215","1,565","1,076",73,47,135,70,133
Total Assets,"4,723","7,500","8,190","8,208","7,606","6,695","2,407","1,591",998,310,265,197,261

--- CASH FLOW ---
,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Cash from Operating Activity +,362,127,"-1,938",-17,467,330,80,76,140,92,83,63
Cash from Investing Activity +,"-1,134","-2,207",-116,-26,92,7,41,21,-11,2,7,-0
Cash from Financing Activity +,"1,305","1,300","1,391",56,-496,-395,-140,-78,-212,-105,-103,-64
Net Cash Flow,532,-780,-664,13,63,-58,-18,19,-83,-10,-14,-1
Free Cash Flow,316,-461,"-2,026",-75,430,305,78,71,136,85,82,62
CFO/OP,126%,21%,"-1,623%",3%,264%,-59%,-9%,-59%,-114%,-22%,-40%,117%

--- RATIOS ---
,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Debtor Days,60,94,225,179,206,120,46,23,0,0,0,0
Inventory Days,72,55,112,678,180,145,32,,,,,
Days Payable,208,193,149,663,332,612,587,,,,,
Cash Conversion Cycle,-76,-43,188,194,55,-347,-508,23,0,0,0,0
Working Capital Days,189,75,366,-98,-541,-737,"-1,428","-2,093","-2,646","-12,525","-12,773","-12,176"
ROCE %,13%,16%,,0%,3%,-6%,,,,,,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%
FIIs +,0.38%,0.38%,0.38%,0.43%,0.42%,0.20%,0.16%,0.07%,0.00%,0.00%,0.03%,0.01%
DIIs +,11.29%,11.29%,10.26%,10.26%,10.26%,10.26%,10.26%,10.26%,8.39%,8.39%,8.39%,8.39%
Public +,74.03%,74.02%,75.06%,75.01%,75.03%,75.24%,75.27%,75.36%,77.31%,77.32%,77.27%,77.32%
No. of Shareholders,"1,22,503","1,27,961","1,29,231","1,42,156","1,39,035","1,53,154","1,65,541","1,68,089","1,69,009","1,66,583","1,63,916","1,62,746"

--- CAGR BOXES ---




