--- ABOUT ---
"Incorporated in 1966, Hindustan Zinc in Zinc-Lead and Silver business is world’s 2nd largest integrated Zinc producer and Hindustan Zinc is the 3rd largest silver producer globally with an annual capacity of 800MT . The company has a market share of ~75% of the growing Zinc market in India with its headquarters at Zinc City, Udaipur along with Zinc-Lead mines and smelting complexes spread across the state of Rajasthan. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,38,118",564,733,17.3

Book Value,Dividend Yield,ROCE,ROE
53.6,1.95,69.5,76.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"8,509","7,282","6,791","7,310","7,549","8,130","8,252","8,614","9,087","7,771","8,549","10,980","13,544"
Expenses +,"4,254","3,935","3,652","3,789","3,900","4,184","4,129","4,115","4,267","3,912","4,104","4,926","5,838"
Operating Profit,"4,255","3,347","3,139","3,521","3,649","3,946","4,123","4,499","4,820","3,859","4,445","6,054","7,706"
OPM %,50%,46%,46%,48%,48%,49%,50%,52%,53%,50%,52%,55%,57%
Other Income +,354,282,223,296,273,268,187,218,227,279,238,318,280
Interest,176,218,232,243,262,256,303,285,251,240,259,195,187
Depreciation,928,801,825,905,937,844,877,905,"1,014",913,882,947,"1,048"
Profit before tax,"3,505","2,610","2,305","2,669","2,723","3,114","3,130","3,527","3,782","2,985","3,542","5,230","6,751"
Tax %,26%,25%,25%,24%,25%,25%,26%,24%,21%,25%,25%,25%,25%
Net Profit +,"2,583","1,964","1,729","2,028","2,038","2,345","2,327","2,678","3,003","2,234","2,649","3,916","5,033"
EPS in Rs,6.11,4.65,4.09,4.80,4.82,5.55,5.51,6.34,7.11,5.29,6.27,9.27,11.91
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"22,629","29,440","34,098","28,932","34,083","40,844"
Expenses +,"10,957","13,215","16,583","15,256","16,652","18,764"
Operating Profit,"11,672","16,225","17,515","13,676","17,431","22,080"
OPM %,52%,55%,51%,47%,51%,54%
Other Income +,"1,819","1,082","1,370","1,054",857,"1,099"
Interest,386,290,333,955,"1,095",881
Depreciation,"2,531","2,917","3,264","3,468","3,640","3,790"
Profit before tax,"10,574","14,100","15,288","10,307","13,553","18,508"
Tax %,25%,32%,31%,25%,24%,25%
Net Profit +,"7,980","9,629","10,511","7,759","10,353","13,832"
EPS in Rs,18.89,22.79,24.88,18.36,24.50,32.74
Dividend Payout %,113%,79%,303%,71%,118%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,845,845,845,845,845,845
Reserves,"31,468","33,436","12,087","14,350","12,481","21,784"
Borrowings +,"7,201","2,844","11,881","8,722","10,967","8,728"
Other Liabilities +,"6,213","7,545","10,654","9,978","10,197","11,013"
Total Liabilities,"45,727","44,670","35,467","33,895","34,490","42,370"
Fixed Assets +,"16,808","17,396","17,622","18,151","18,608","19,937"
CWIP,"1,922","2,075","2,237","1,696","2,606","3,409"
Investments,"12,957","15,052","10,107","10,452","9,972","14,468"
Other Assets +,"14,040","10,147","5,501","3,596","3,304","4,556"
Total Assets,"45,727","44,670","35,467","33,895","34,490","42,370"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"10,567","12,691","15,162","13,346","14,160","17,008"
Cash from Investing Activity +,"-2,435",846,"6,529","-3,406","-2,706","-8,906"
Cash from Financing Activity +,"-9,697","-12,258","-23,224","-9,946","-11,411","-7,901"
Net Cash Flow,"-1,565","1,279","-1,533",-6,43,201
Free Cash Flow,"8,140","9,723","11,587","9,531","10,161","11,746"
CFO/OP,106%,93%,104%,110%,101%,98%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,7,9,4,2,1,4
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,7,9,4,2,1,4
Working Capital Days,-91,-36,-149,-104,-95,-75
ROCE %,,37%,50%,46%,61%,70%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.92%,64.92%,64.92%,64.92%,64.92%,63.42%,63.42%,63.42%,61.84%,61.84%,61.84%,60.71%
FIIs +,0.81%,0.75%,0.69%,0.60%,0.74%,1.01%,1.38%,1.43%,1.36%,1.32%,1.54%,2.39%
DIIs +,2.95%,2.98%,2.97%,2.98%,3.01%,3.12%,4.12%,4.14%,4.81%,4.92%,4.68%,4.84%
Government +,29.54%,29.54%,29.54%,29.54%,29.54%,29.54%,27.92%,27.92%,27.92%,27.92%,27.92%,27.92%
Public +,1.77%,1.81%,1.88%,1.97%,1.78%,2.92%,3.16%,3.10%,4.07%,4.00%,4.01%,4.12%
No. of Shareholders,"3,42,539","3,75,833","4,01,985","4,22,072","4,45,929","6,24,025","6,94,430","7,12,884","8,19,883","7,99,768","7,93,882","8,97,257"

--- CAGR BOXES ---




