--- ABOUT ---
"Incorporated in 1987, Advani Hotels and Resorts India Ltd is in the business of hoteliering"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
488,52.8,69.0,

Book Value,Dividend Yield,ROCE,ROE
2.77,3.60,-13.0,-19.9

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009
Sales +,19.15,13.14,8.77,20.62,20.52,16.01,12.80,16.62,25.96,15.47,10.14,12.24,13.60
Expenses +,11.60,8.18,7.68,11.37,12.54,10.83,10.11,15.49,14.50,12.55,12.57,12.79,12.40
Operating Profit,7.55,4.96,1.09,9.25,7.98,5.18,2.69,1.13,11.46,2.92,-2.43,-0.55,1.20
OPM %,39.43%,37.75%,12.43%,44.86%,38.89%,32.35%,21.02%,6.80%,44.14%,18.88%,-23.96%,-4.49%,8.82%
Other Income +,1.42,0.84,0.28,1.22,4.35,1.78,0.87,2.95,2.80,4.11,-0.45,2.01,1.11
Interest,0.61,0.60,0.65,0.90,0.75,0.58,0.68,0.86,0.68,0.61,0.33,0.39,0.33
Depreciation,0.86,0.86,0.70,0.75,0.95,0.98,1.01,1.05,0.85,0.85,0.79,0.87,0.85
Profit before tax,7.50,4.34,0.02,8.82,10.63,5.40,1.87,2.17,12.73,5.57,-4.00,0.20,1.13
Tax %,40.13%,17.97%,-850.00%,40.82%,32.83%,33.15%,60.43%,25.35%,27.89%,14.36%,12.25%,-535.00%,12.39%
Net Profit +,4.41,3.50,0.16,5.19,7.09,3.61,0.70,1.59,9.18,4.77,-4.52,1.27,0.99
EPS in Rs,0.43,0.15,-0.09,0.38,0.67,0.25,-0.06,0.17,0.90,0.43,-0.52,0.19,0.22
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales +,51,64,71,48,32
Expenses +,38,40,52,52,40
Operating Profit,13,23,20,-4,-8
OPM %,25%,36%,27%,-8%,-25%
Other Income +,4,5,7,8,-2
Interest,3,3,3,2,1
Depreciation,3,3,3,3,3
Profit before tax,11,22,21,-1,-14
Tax %,38%,35%,37%,-24%,5%
Net Profit +,7,15,13,-1,-15
EPS in Rs,0.61,0.91,1.06,-0.03,-0.89
Dividend Payout %,8%,28%,28%,0%,-6%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Equity Capital,9,9,9,9,9
Reserves,6,12,19,25,16
Borrowings +,24,25,22,26,34
Other Liabilities +,22,34,48,25,20
Total Liabilities,61,81,99,85,79
Fixed Assets +,40,48,56,50,44
CWIP,2,3,4,19,24
Investments,0,0,0,0,0
Other Assets +,20,29,40,15,11
Total Assets,61,81,99,85,79

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Cash from Operating Activity +,12,19,17,-2,-6
Cash from Investing Activity +,-4,-13,-10,-1,-3
Cash from Financing Activity +,-5,-2,-6,-6,8
Net Cash Flow,3,4,1,-8,-1
Free Cash Flow,8,6,6,-3,-13
CFO/OP,105%,112%,115%,-96%,76%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Debtor Days,33,25,26,15,24
Inventory Days,179,209,158,256,212
Days Payable,743,696,585,731,623
Cash Conversion Cycle,-531,-462,-400,-460,-387
Working Capital Days,8,-5,-10,20,-18
ROCE %,,53%,42%,2%,-13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.25%,50.25%,50.25%,50.25%,50.25%,50.25%,50.25%,50.24%,50.24%,50.24%,50.24%,50.24%
FIIs +,0.08%,0.06%,0.17%,0.21%,0.22%,0.20%,0.20%,0.20%,0.22%,0.21%,0.20%,0.20%
DIIs +,0.11%,0.11%,0.11%,0.05%,0.05%,0.10%,0.10%,0.05%,0.05%,0.05%,0.05%,0.05%
Public +,49.55%,49.57%,49.46%,49.48%,49.47%,49.44%,49.44%,49.49%,49.48%,49.49%,49.51%,49.51%
No. of Shareholders,"14,150","15,225","19,085","30,541","34,904","38,605","38,529","39,965","39,806","39,841","40,628","39,745"

--- CAGR BOXES ---




