--- ABOUT ---
"Savita Oil Technologies Limited, established in 1961, is a specialty petroleum products company engaged in manufacturing Transformer Oils, White Oils etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,147",605,624,22.8

Book Value,Dividend Yield,ROCE,ROE
265,0.66,15.2,10.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,956,920,889,958,973,956,907,945,"1,006",989,"1,076","1,074","1,224"
Expenses +,908,851,829,873,941,908,873,924,957,929,"1,025","1,033","1,159"
Operating Profit,47,69,60,86,32,47,34,22,48,60,51,40,65
OPM %,5%,8%,7%,9%,3%,5%,4%,2%,5%,6%,5%,4%,5%
Other Income +,14,17,14,23,24,17,26,6,6,25,14,20,15
Interest,7,9,9,10,10,7,8,7,6,6,4,5,5
Depreciation,6,5,5,7,7,6,6,6,6,6,6,6,8
Profit before tax,49,73,60,92,39,51,46,15,42,72,55,49,68
Tax %,26%,24%,21%,27%,21%,22%,33%,17%,31%,23%,27%,22%,30%
Net Profit +,36,56,47,67,31,40,31,12,29,56,41,38,47
EPS in Rs,5.27,8.05,6.80,9.75,4.46,5.77,4.49,1.81,4.23,8.10,5.92,5.54,6.90
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,591,789,894,"1,126","1,999","2,937","3,629","3,740","3,813","4,363"
Expenses +,550,756,818,"1,099","1,688","2,578","3,293","3,486","3,651","4,117"
Operating Profit,41,33,76,27,311,358,336,254,162,245
OPM %,7%,4%,9%,2%,16%,12%,9%,7%,4%,6%
Other Income +,20,39,26,23,39,31,23,71,46,45
Interest,1,2,3,5,9,19,35,38,28,19
Depreciation,9,10,14,19,21,21,21,23,24,27
Profit before tax,51,61,85,26,320,348,303,264,156,244
Tax %,27%,22%,27%,34%,26%,25%,25%,24%,27%,26%
Net Profit +,37,47,62,17,237,260,226,201,113,182
EPS in Rs,,6.50,8.49,2.37,33.69,37.70,32.66,29.05,16.38,26.52
Dividend Payout %,29%,28%,27%,42%,9%,13%,12%,14%,24%,19%

--- BALANCE SHEET ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,15,15,15,14,14,14,14,14,14
Reserves,167,194,236,245,"1,048","1,244","1,435","1,608","1,648","1,801"
Borrowings +,27,58,36,53,0,0,0,0,0,2
Other Liabilities +,231,250,343,395,789,731,815,855,698,896
Total Liabilities,434,516,629,707,"1,852","1,989","2,264","2,477","2,359","2,712"
Fixed Assets +,69,97,112,145,194,184,180,249,264,265
CWIP,0,8,12,5,2,5,20,20,19,24
Investments,14,12,55,64,288,468,326,279,336,373
Other Assets +,351,400,450,494,"1,369","1,332","1,738","1,929","1,740","2,049"
Total Assets,434,516,629,707,"1,852","1,989","2,264","2,477","2,359","2,712"

--- CASH FLOW ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,27,107,58,134,369,-64,167,61,137
Cash from Investing Activity +,-1,-32,-72,-52,-82,-298,124,18,-62,-31
Cash from Financing Activity +,-3,11,-30,-4,-19,-76,-69,-63,-103,-47
Net Cash Flow,-3,5,4,2,32,-4,-9,122,-103,59
Free Cash Flow,-17,-19,73,14,123,354,-95,79,24,107
CFO/OP,29%,102%,159%,276%,68%,127%,4%,97%,43%,77%

--- RATIOS ---
,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,96,87,86,80,103,73,75,76,74,76
Inventory Days,126,88,90,65,179,95,103,100,91,90
Days Payable,132,109,134,123,164,102,92,90,69,79
Cash Conversion Cycle,89,66,42,23,118,67,87,87,96,88
Working Capital Days,71,68,42,33,92,67,87,89,94,101
ROCE %,,23%,32%,10%,,31%,24%,18%,9%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.92%,71.92%,71.92%,68.92%,68.92%,68.91%,68.91%,68.91%,68.91%,68.91%,68.91%,68.93%
FIIs +,1.86%,1.73%,1.41%,1.33%,1.43%,1.43%,1.20%,0.91%,0.84%,0.83%,0.87%,0.88%
DIIs +,7.72%,7.42%,7.40%,10.68%,11.06%,11.47%,12.32%,12.96%,12.96%,13.10%,13.18%,13.18%
Public +,18.50%,18.95%,19.28%,19.08%,18.58%,18.18%,17.58%,17.22%,17.28%,17.14%,17.03%,16.99%
No. of Shareholders,"29,057","28,999","28,210","32,031","33,922","37,382","35,013","34,267","34,013","33,955","33,123","32,524"

--- CAGR BOXES ---




