--- ABOUT ---
"Incorporated in 1992, Urja Global Ltd is in the business of off-grid and grid connected Solar Power Plants, decentralized Solar Application and trading of solar products, Lead Acid Batteries, Electric vehicles [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
532,10.1,16.2,397

Book Value,Dividend Yield,ROCE,ROE
3.36,0.00,1.27,0.76

Face Value
1.00

--- QUARTERLY RESULTS ---
Free Cash Flow,13.19,-2.15,7.64,-8.92,-1.60,-0.74,-8.35,-10.46,-6.31,-3.29,-1.28,-3.69
CFO/OP,"2,491%",-79%,442%,"1,369%",140%,-1%,"3,542%","-1,574%",-277%,-307%,-287%,"-1,198%"

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38.16,53.70,108.06,362.43,502.27,696.84,107.42,295.22,94.89,123.69,123.58,90.78
Inventory Days,,,31.89,13.11,16.88,22.17,19.89,73.95,220.83,422.22,278.29,271.36
Days Payable,,,104.20,352.84,499.45,701.42,861.48,188.11,94.09,77.70,46.44,47.02
Cash Conversion Cycle,38.16,53.70,35.75,22.70,19.70,17.59,-734.17,181.05,221.63,468.22,355.44,315.12
Working Capital Days,-17.19,38.09,47.84,65.99,66.32,65.36,-695.16,206.58,14.66,146.51,116.15,236.46
ROCE %,-0.19%,1.55%,1.48%,0.31%,0.73%,1.50%,1.63%,0.95%,1.62%,1.87%,1.36%,1.27%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,27.14%,22.56%,20.32%,19.43%,19.43%,19.43%,19.43%,19.43%,18.65%,18.65%,18.35%,18.35%
FIIs +,0.01%,0.07%,0.00%,0.06%,0.44%,0.11%,0.13%,0.12%,0.16%,0.44%,0.18%,0.10%
Public +,72.85%,77.36%,79.67%,80.49%,80.12%,80.47%,80.44%,80.43%,81.18%,80.92%,81.47%,81.54%
No. of Shareholders,"5,23,438","5,44,729","5,77,279","8,60,727","8,62,244","8,82,209","8,74,368","8,65,008","8,46,742","8,25,646","8,01,946","7,82,937"

--- CAGR BOXES ---




