--- ABOUT ---
"Incorporated in 2009, Ashoka Metcast Ltd is in the business of trading of steel, goods and other items [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
38.0,15.2,21.1,3.52

Book Value,Dividend Yield,ROCE,ROE
48.8,0.00,9.39,9.25

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,19.25,14.22,5.91,6.73,39.39,11.26,14.33,6.88,6.49,5.45,5.21,6.69,10.35
Expenses +,17.38,13.00,5.69,6.29,34.26,10.38,10.48,4.71,9.66,4.93,4.09,4.25,7.94
Operating Profit,1.87,1.22,0.22,0.44,5.13,0.88,3.85,2.17,-3.17,0.52,1.12,2.44,2.41
OPM %,9.71%,8.58%,3.72%,6.54%,13.02%,7.82%,26.87%,31.54%,-48.84%,9.54%,21.50%,36.47%,23.29%
Other Income +,0.00,0.00,0.11,0.22,1.43,1.30,0.94,0.54,3.66,1.14,2.53,3.17,2.77
Interest,0.18,0.42,-0.02,0.22,0.91,0.21,0.57,0.40,0.37,0.39,0.38,0.34,0.32
Depreciation,0.14,0.08,0.08,0.08,0.50,0.14,0.35,0.26,-0.11,0.15,0.15,0.15,0.40
Profit before tax,1.55,0.72,0.27,0.36,5.15,1.83,3.87,2.05,0.23,1.12,3.12,5.12,4.46
Tax %,14.84%,11.11%,7.41%,5.56%,30.49%,16.39%,9.82%,12.68%,-139.13%,0.00%,5.13%,12.50%,50.22%
Net Profit +,1.25,0.71,0.35,0.38,3.57,1.52,3.48,1.79,0.54,1.13,2.96,4.49,2.22
EPS in Rs,0.50,0.28,0.14,0.15,1.43,0.61,1.39,0.72,0.22,0.45,1.18,1.80,0.89
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,19,0,22,54,67,50,66,39,28
Expenses +,19,0,21,53,63,46,59,35,21
Operating Profit,-0,-0,1,2,4,4,7,4,6
OPM %,-0%,,3%,3%,7%,9%,11%,10%,23%
Other Income +,-0,0,0,0,0,1,2,5,10
Interest,0,0,0,1,1,1,2,2,1
Depreciation,0,0,0,1,1,0,1,1,1
Profit before tax,-0,-0,0,0,3,4,6,6,14
Tax %,-3%,0%,20%,28%,19%,24%,26%,10%,22%
Net Profit +,-0,-0,0,0,2,3,5,5,11
EPS in Rs,-0.26,-0.18,0.03,0.14,1.19,1.29,1.92,2.20,4.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,11,18,25,25,25,25
Reserves,10,10,10,10,23,76,80,86,97
Borrowings +,6,5,15,23,21,16,16,15,58
Other Liabilities +,3,3,9,7,13,16,18,16,29
Total Liabilities,30,29,44,51,74,133,138,143,208
Fixed Assets +,5,5,12,11,8,9,17,17,16
CWIP,0,5,0,0,0,0,0,2,6
Investments,13,5,5,5,5,5,10,11,10
Other Assets +,12,13,27,34,61,120,111,114,176
Total Assets,30,29,44,51,74,133,138,143,208

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,0,-2,-10,-8,-15,-46,16,-6,-17
Cash from Investing Activity +,0,3,-0,-0,-4,-5,-13,-2,1
Cash from Financing Activity +,0,-1,10,8,18,53,-2,8,17
Net Cash Flow,0,0,-1,-0,0,1,0,-1,1
Free Cash Flow,0,0,-12,-8,-15,-47,7,-8,-22
CFO/OP,0%,685%,"-1,377%",-445%,-334%,"-1,039%",248%,-143%,-215%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,147,,196,115,128,207,145,245,364
Inventory Days,0,,178,93,152,272,235,464,"1,159"
Days Payable,,,102,32,33,50,32,59,155
Cash Conversion Cycle,147,,272,176,248,429,348,651,"1,369"
Working Capital Days,84,,142,93,157,579,385,774,"1,269"
ROCE %,,-1%,1%,3%,7%,5%,5%,4%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%,53.64%
Public +,46.35%,46.35%,46.35%,46.36%,46.35%,46.35%,46.35%,46.36%,46.34%,46.35%,46.35%,46.35%
No. of Shareholders,661,"3,229","4,818","11,608","16,029","15,426","19,627","19,187","18,804","18,505","17,913","17,402"

--- CAGR BOXES ---




