--- ABOUT ---
"Incorporated in 1999, HDFC Asset Management Company Ltd provides Fund Management Services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,16,551","2,719","2,967",40.8

Book Value,Dividend Yield,ROCE,ROE
215,1.99,42.9,32.9

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,541,575,643,671,695,775,887,935,901,968,"1,027","1,075","1,052"
Expenses +,130,146,162,162,157,181,184,171,171,195,227,199,206
Operating Profit,410,428,481,509,539,594,703,764,730,773,801,876,845
OPM %,76%,75%,75%,76%,77%,77%,79%,82%,81%,80%,78%,82%,80%
Other Income +,97,158,122,143,156,173,171,93,124,233,96,159,12
Interest,2,2,2,2,2,2,2,2,3,3,3,3,4
Depreciation,13,13,13,13,13,13,14,15,17,17,18,18,19
Profit before tax,492,571,588,637,679,752,858,840,835,986,876,"1,014",834
Tax %,24%,16%,26%,23%,20%,20%,33%,24%,24%,24%,18%,24%,25%
Net Profit +,376,477,437,488,541,604,577,641,638,748,718,769,623
EPS in Rs,8.81,11.18,10.22,11.43,12.67,14.13,13.50,15.00,14.93,17.47,16.79,17.96,14.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,478","3,160","4,051","4,616"
Expenses +,550,627,707,827
Operating Profit,"1,929","2,533","3,345","3,789"
OPM %,78%,80%,83%,82%
Other Income +,4,4,9,6
Interest,10,9,9,13
Depreciation,53,52,59,73
Profit before tax,"1,870","2,475","3,286","3,709"
Tax %,24%,22%,25%,23%
Net Profit +,"1,423","1,943","2,460","2,858"
EPS in Rs,33.35,45.50,57.53,66.71
Dividend Payout %,72%,77%,78%,81%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,107,107,107,214
Reserves,"6,001","6,968","8,023","9,015"
Borrowings +,0,0,0,0
Other Liabilities +,428,479,621,763
Total Liabilities,"6,536","7,554","8,751","9,991"
Fixed Assets +,150,153,198,273
CWIP,2,1,0,2
Investments,"6,076","7,156","8,255","9,362"
Other Assets +,307,244,297,355
Total Assets,"6,536","7,554","8,751","9,991"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,149","1,615","2,075","2,528"
Cash from Investing Activity +,-217,-543,-598,-643
Cash from Financing Activity +,-930,"-1,066","-1,475","-1,886"
Net Cash Flow,3,6,2,-1
Free Cash Flow,"1,135","1,596","2,030","2,506"
CFO/OP,81%,85%,83%,88%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,27,11,12,13
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,27,11,12,13
Working Capital Days,-4,-18,-14,-16
ROCE %,,38%,43%,43%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,52.55%,52.55%,52.55%,52.55%,52.52%,52.51%,52.48%,52.47%,52.44%,52.42%,52.38%,52.37%
FIIs +,12.99%,16.12%,17.99%,20.01%,20.60%,21.55%,21.32%,20.51%,21.97%,24.69%,23.99%,24.45%
DIIs +,22.32%,20.66%,19.50%,18.37%,17.67%,16.92%,17.04%,18.01%,16.66%,14.13%,14.90%,14.42%
Public +,12.15%,10.67%,9.96%,9.06%,9.20%,9.01%,9.15%,8.99%,8.92%,8.74%,8.73%,8.75%
No. of Shareholders,"5,49,337","4,97,961","4,57,910","4,36,183","4,32,584","4,26,681","4,36,623","4,33,737","4,26,484","4,32,251","4,32,820","4,35,815"

--- CAGR BOXES ---




