--- ABOUT ---
Crompton Greaves Consumer Electricals Limited is one of the leading consumer companies in India with a 75+ years old brand legacy. It is an independent company under professional management and have 2 business segments – Lighting and Electrical Consumer Durables. We market our products under the “Crompton” brand name in India and select export markets. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,724",275,364,52.8

Book Value,Dividend Yield,ROCE,ROE
46.1,1.09,18.1,10.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,791","1,877","1,782","1,693","1,961","2,138","1,896","1,769","2,061","1,998","1,916","1,898","2,283"
Expenses +,"1,580","1,691","1,608","1,543","1,757","1,905","1,693","1,581","1,793","1,807","1,757","1,703","2,013"
Operating Profit,211,186,175,150,204,232,204,188,267,192,158,195,271
OPM %,12%,10%,10%,9%,10%,11%,11%,11%,13%,10%,8%,10%,12%
Other Income +,17,20,15,17,16,24,17,12,16,24,-7,-7,-700
Interest,27,21,22,22,16,16,12,10,13,10,5,8,9
Depreciation,30,29,32,32,35,37,38,38,40,40,44,44,45
Profit before tax,170,156,136,112,169,203,171,151,231,166,102,136,-484
Tax %,23%,22%,26%,24%,21%,25%,25%,26%,26%,25%,26%,26%,10%
Net Profit +,132,122,101,85,133,152,128,112,172,124,75,101,-531
EPS in Rs,2.06,1.85,1.52,1.34,2.15,2.36,1.94,1.71,2.63,1.90,1.11,1.53,-8.29
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,080","4,479","4,520","4,804","5,394","6,870","7,313","7,864","8,096"
Expenses +,"3,549","3,895","3,921","4,083","4,625","6,099","6,599","6,975","7,268"
Operating Profit,531,584,599,720,769,770,714,888,827
OPM %,13%,13%,13%,15%,14%,11%,10%,11%,10%
Other Income +,31,48,59,76,60,67,67,69,-691
Interest,64,60,41,43,35,109,79,48,44
Depreciation,13,13,27,30,42,116,129,153,172
Profit before tax,485,560,591,724,752,612,573,756,-79
Tax %,33%,28%,16%,15%,23%,22%,23%,25%,191%
Net Profit +,324,401,496,617,578,476,442,564,-231
EPS in Rs,5.17,6.40,7.91,9.82,9.13,7.28,6.84,8.64,-3.76
Dividend Payout %,34%,31%,0%,56%,27%,41%,44%,35%,-80%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,125,125,125,126,127,127,129,129,129
Reserves,664,972,"1,343","1,806","2,326","2,533","2,871","3,261","2,838"
Borrowings +,649,649,350,518,"1,686","1,005",683,479,199
Other Liabilities +,987,923,934,"1,148","2,310","1,989","2,399","2,461","2,917"
Total Liabilities,"2,425","2,670","2,752","3,597","6,449","5,654","6,082","6,330","6,083"
Fixed Assets +,862,863,909,915,"3,273","3,250","3,197","3,295","2,578"
CWIP,1,1,20,11,13,27,58,34,9
Investments,368,541,541,770,624,548,689,721,971
Other Assets +,"1,195","1,264","1,282","1,902","2,538","1,830","2,137","2,279","2,525"
Total Assets,"2,425","2,670","2,752","3,597","6,449","5,654","6,082","6,330","6,083"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,315,299,411,830,736,553,843,737,723
Cash from Investing Activity +,-33,-168,9,-496,"-1,736",263,-207,-131,-175
Cash from Financing Activity +,-175,-186,-513,-96,907,-911,-541,-575,-599
Net Cash Flow,107,-56,-93,238,-92,-95,95,32,-50
Free Cash Flow,302,283,363,811,566,482,763,635,644
CFO/OP,94%,85%,93%,123%,119%,90%,132%,103%,107%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,50,46,37,35,40,36,36,32,49
Inventory Days,40,42,55,58,71,58,61,61,49
Days Payable,100,79,77,92,100,81,96,97,122
Cash Conversion Cycle,-11,9,16,1,12,13,1,-3,-24
Working Capital Days,-2,-14,6,-2,-102,-7,-15,-16,36
ROCE %,,39%,35%,35%,22%,16%,16%,19%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,35.00%,35.66%,35.58%,32.18%,34.37%,36.02%,34.41%,30.33%,29.20%,25.56%,20.55%,20.49%
DIIs +,48.49%,47.46%,47.75%,51.47%,51.63%,50.01%,53.04%,57.05%,58.93%,61.24%,65.73%,66.11%
Government +,0.23%,0.23%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%
Public +,16.30%,16.65%,16.42%,16.36%,14.01%,13.97%,12.54%,12.62%,11.88%,13.18%,13.71%,13.37%
No. of Shareholders,"2,31,600","2,45,776","2,53,625","2,49,391","2,16,741","2,44,683","2,36,502","2,46,467","2,60,723","2,84,540","3,13,526","3,12,417"

--- CAGR BOXES ---




