--- ABOUT ---
"Tata Teleservices Ltd is engaged in the business of Wired and wireless telecommunication activities and holds a Unified License with Access Service Authorisation in  Maharashtra and Goa and also as in Internet Service Provider Category  The co. is focused on providing various wireline voice, data, and managed telecom services. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,639",44.2,69.9,

Book Value,Dividend Yield,ROCE,ROE
-2.87,0.00,-12.7,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010
Sales +,502,513,516,514,512,543,602,621
Expenses +,350,357,367,384,356,428,468,461
Operating Profit,152,157,150,130,156,114,133,161
OPM %,30%,30%,29%,25%,31%,21%,22%,26%
Other Income +,3,5,2,3,1,7,1,22
Interest,75,93,84,54,73,103,93,81
Depreciation,114,115,116,118,119,134,145,166
Profit before tax,-35,-47,-48,-39,-34,-117,-103,-64
Tax %,1%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-35,-47,-49,-39,-34,-116,-103,-64
EPS in Rs,-0.16,-0.22,-0.23,-0.18,-0.16,-0.54,-0.48,-0.30
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2009,Mar 2010,Mar 2011
Sales +,"1,950","2,098","2,266"
Expenses +,"1,458","1,748","2,903"
Operating Profit,492,350,-637
OPM %,25%,17%,-28%
Other Income +,108,247,"1,834"
Interest,306,351,359
Depreciation,463,564,758
Profit before tax,-169,-318,80
Tax %,1%,0%,0%
Net Profit +,-170,-318,80
EPS in Rs,-0.79,-1.48,0.37
Dividend Payout %,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2009,Mar 2010,Mar 2011
Equity Capital,"1,897","1,897","1,897"
Reserves,"-2,276","-2,594","-2,514"
Borrowings +,"3,344","3,940","4,653"
Other Liabilities +,"1,061","1,566","1,811"
Total Liabilities,"4,026","4,809","5,847"
Fixed Assets +,"3,196","3,951","4,803"
CWIP,230,205,153
Investments,10,0,0
Other Assets +,591,653,891
Total Assets,"4,026","4,809","5,847"

--- CASH FLOW ---
,Mar 2009,Mar 2010,Mar 2011
Cash from Operating Activity +,388,590,246
Cash from Investing Activity +,-816,-840,-536
Cash from Financing Activity +,421,245,342
Net Cash Flow,-7,-4,52
Free Cash Flow,-418,-260,"-1,164"
CFO/OP,79%,169%,-39%

--- RATIOS ---
,Mar 2009,Mar 2010,Mar 2011
Debtor Days,47,51,48
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,47,51,48
Working Capital Days,-93,-163,-160
ROCE %,,-0%,-13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%
FIIs +,2.03%,2.23%,2.26%,2.46%,2.38%,2.39%,2.34%,2.53%,2.81%,2.64%,2.64%,2.60%
DIIs +,0.05%,0.06%,0.05%,0.06%,0.07%,0.08%,0.09%,0.12%,0.12%,0.13%,0.14%,0.17%
Public +,23.56%,23.35%,23.33%,23.12%,23.19%,23.16%,23.18%,22.98%,22.70%,22.87%,22.87%,22.87%
No. of Shareholders,"8,27,582","8,21,354","8,08,618","8,20,372","8,17,121","10,18,223","10,44,616","10,38,037","10,38,993","10,10,798","9,89,835","9,61,614"

--- CAGR BOXES ---




