--- ABOUT ---
"Siyaram Silk Mills Ltd is a Textile manufacturing company. It is engaged in manufacturing fabrics and readymade garments, especially in the men’s wear section. [1] [2] The Company exports to countries like UAE, Australia, Bahrain, Bangladesh, Cambodia, Canada, etc. [3]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,866",632,850,12.4

Book Value,Dividend Yield,ROCE,ROE
322,1.90,20.1,16.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,695,355,586,503,648,307,608,571,736,389,706,624,853
Expenses +,574,332,498,435,542,297,519,504,625,369,598,556,716
Operating Profit,121,23,88,69,106,10,89,66,111,21,107,68,137
OPM %,17%,6%,15%,14%,16%,3%,15%,12%,15%,5%,15%,11%,16%
Other Income +,10,8,12,11,6,24,21,16,14,12,37,16,18
Interest,5,4,5,6,5,5,6,6,8,6,9,10,9
Depreciation,14,14,14,14,14,14,14,15,18,20,21,20,18
Profit before tax,113,13,81,60,93,15,91,62,100,6,115,55,127
Tax %,22%,24%,24%,26%,26%,25%,25%,26%,28%,28%,25%,23%,23%
Net Profit +,88,10,61,44,69,12,68,45,72,5,87,42,98
EPS in Rs,18.81,2.13,13.08,9.79,15.21,2.53,15.03,10.00,15.88,1.02,19.11,9.21,21.55
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,605","1,733","1,816","1,699","1,089","1,905","2,233","2,092","2,222","2,572"
Expenses +,"1,415","1,488","1,577","1,532","1,035","1,572","1,864","1,806","1,946","2,240"
Operating Profit,189,245,240,167,54,333,368,286,276,333
OPM %,12%,14%,13%,10%,5%,17%,16%,14%,12%,13%
Other Income +,15,20,23,34,41,34,40,36,75,83
Interest,31,34,48,43,30,18,20,20,24,34
Depreciation,43,61,62,73,61,59,58,55,60,79
Profit before tax,130,170,152,85,3,291,331,247,267,303
Tax %,35%,35%,35%,19%,-3%,26%,24%,25%,26%,24%
Net Profit +,85,111,99,69,4,216,251,185,197,231
EPS in Rs,18.10,23.64,21.14,14.77,0.76,46.14,53.55,40.72,43.45,50.89
Dividend Payout %,12%,18%,21%,58%,602%,20%,21%,27%,28%,18%

--- BALANCE SHEET ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9,9,9,9,9,9
Reserves,498,669,746,753,758,925,"1,128","1,128","1,274","1,451"
Borrowings +,408,573,444,433,139,223,163,175,262,352
Other Liabilities +,280,302,303,308,304,356,337,290,343,379
Total Liabilities,"1,196","1,553","1,502","1,503","1,210","1,513","1,637","1,602","1,888","2,191"
Fixed Assets +,414,443,523,552,490,501,480,477,591,593
CWIP,5,93,8,4,3,2,5,19,3,14
Investments,6,25,17,17,37,38,124,30,207,273
Other Assets +,770,993,954,931,681,972,"1,027","1,077","1,088","1,311"
Total Assets,"1,196","1,553","1,502","1,503","1,210","1,513","1,637","1,602","1,888","2,191"

--- CASH FLOW ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,71,-31,192,201,330,45,235,129,255,93
Cash from Investing Activity +,-101,-154,-13,-28,-22,-53,-113,68,-248,-69
Cash from Financing Activity +,30,204,-194,-177,-307,8,-123,-194,-10,-23
Net Cash Flow,1,19,-15,-4,1,-0,-0,3,-3,2
Free Cash Flow,5,-175,150,158,315,-21,192,79,132,34
CFO/OP,38%,-12%,103%,120%,622%,37%,83%,65%,115%,45%

--- RATIOS ---
,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,83,89,79,73,87,74,70,82,86,92
Inventory Days,149,203,191,191,147,165,143,172,148,161
Days Payable,80,86,79,81,102,87,65,60,67,68
Cash Conversion Cycle,152,207,191,183,133,152,148,193,166,184
Working Capital Days,40,56,81,80,118,93,94,115,95,122
ROCE %,,,17%,11%,3%,29%,28%,21%,20%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.18%,67.18%,67.45%,67.45%,67.45%,67.45%,67.45%,67.45%,67.45%,67.45%,67.44%,67.45%
FIIs +,2.39%,1.91%,1.75%,1.56%,1.53%,1.48%,1.93%,2.63%,2.54%,2.61%,2.70%,2.25%
DIIs +,4.27%,4.42%,3.44%,2.93%,2.54%,2.52%,2.52%,2.52%,2.54%,2.51%,2.46%,2.46%
Public +,26.14%,26.49%,27.37%,28.07%,28.47%,28.56%,28.11%,27.40%,27.47%,27.44%,27.40%,27.84%
No. of Shareholders,"35,390","51,449","39,855","39,722","39,091","40,141","49,729","50,467","50,614","50,827","47,437","47,660"

--- CAGR BOXES ---




