--- ABOUT ---
"Network 18 Media & Investments is engaged in activities spanning across Digital Content, Print and Allied Businesses.(Source : 202003-01 Annual Report Page No:15)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,240",34.0,65.3,143

Book Value,Dividend Yield,ROCE,ROE
31.9,0.00,3.02,0.76

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,484","3,239","1,866","1,774","2,419","3,141","1,825","1,360",561,468,498,539,616
Expenses +,"1,427","3,323","2,084","1,945","2,609","3,289","2,005","1,382",542,464,498,530,585
Operating Profit,57,-84,-218,-172,-190,-148,-179,-22,19,4,-0,10,30
OPM %,4%,-3%,-12%,-10%,-8%,-5%,-10%,-2%,3%,1%,-0%,2%,5%
Other Income +,35,221,224,187,176,174,270,"-1,225",40,231,124,69,26
Interest,79,68,66,74,114,150,170,102,55,52,48,50,54
Depreciation,36,41,57,43,69,70,69,52,33,34,34,33,32
Profit before tax,-23,27,-118,-102,-197,-194,-148,"-1,400",-29,149,41,-5,-30
Tax %,54%,-6%,1%,0%,-1%,1%,3%,-0%,0%,0%,0%,0%,0%
Net Profit +,-35,29,-119,-102,-196,-195,-152,"-1,400",-29,149,41,-5,-30
EPS in Rs,-0.35,-0.37,-0.79,-0.56,-1.05,-1.20,-0.92,-9.31,-0.20,0.96,0.26,-0.04,-0.20
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"3,127","1,527","1,491","1,839","5,116","5,357","4,705","5,880","6,223","9,297","6,888","2,121"
Expenses +,"3,294","1,474","1,647","1,876","5,049","4,786","3,933","4,799","6,086","9,955","7,224","2,077"
Operating Profit,-167,53,-156,-37,68,571,772,"1,081",137,-658,-337,44
OPM %,-5%,3%,-10%,-2%,1%,11%,16%,18%,2%,-7%,-5%,2%
Other Income +,-735,98,55,110,42,-17,44,74,183,801,-734,449
Interest,113,67,80,96,198,236,157,97,209,322,477,205
Depreciation,75,58,80,89,142,175,147,120,128,210,223,133
Profit before tax,"-1,090",26,-261,-111,-231,143,512,939,-16,-389,"-1,771",155
Tax %,4%,63%,4%,56%,-23%,61%,-7%,11%,-1%,-17%,0%,0%
Net Profit +,"-1,117",96,-271,-173,-178,56,547,838,-16,-325,"-1,777",155
EPS in Rs,-10.12,0.92,-2.23,-1.47,-2.89,-2.26,0.31,1.98,-0.80,-1.97,-10.94,0.99
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,523,518,518,518,518,518,518,518,518,518,765,765
Reserves,"1,097","1,359",765,616,293,-1,29,237,157,"14,710","3,977","4,153"
Borrowings +,"1,001",782,"1,307","2,203","3,045","3,265","2,554","2,284","6,069","8,156","2,960","3,288"
Other Liabilities +,"3,080","2,929","2,457","4,172","4,594","4,834","5,156","6,101","7,236","16,498",795,790
Total Liabilities,"5,701","5,588","5,046","7,509","8,450","8,616","8,257","9,140","13,980","39,881","8,498","8,996"
Fixed Assets +,"2,627","1,680","1,766","2,907","2,868","2,973","2,929","2,876","3,055","3,681","1,788","1,754"
CWIP,19,16,5,25,47,87,126,259,916,"11,627",0,0
Investments,739,"2,681","2,182",669,923,796,771,869,958,"4,188","5,682","6,123"
Other Assets +,"2,316","1,210","1,094","3,908","4,612","4,760","4,430","5,137","9,051","20,385","1,027","1,118"
Total Assets,"5,701","5,588","5,046","7,509","8,450","8,616","8,257","9,140","13,980","39,881","8,498","8,996"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-99,87,-178,90,-204,78,"1,346",641,"-2,804","-6,465","-1,912",-28
Cash from Investing Activity +,135,-140,-362,-57,-445,-86,-85,-249,-718,"9,929","-3,636",-20
Cash from Financing Activity +,-81,-6,518,131,645,-62,"-1,049",-381,"3,411","1,139",720,83
Net Cash Flow,-45,-59,-22,164,-3,-71,212,12,-111,"4,603","-4,828",35
Free Cash Flow,-124,-11,-337,28,-331,-68,"1,263",457,"-3,536","-8,869","-2,809",-77
CFO/OP,6%,382%,97%,-460%,-94%,18%,161%,52%,"-2,143%",987%,540%,-64%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72,85,78,255,93,105,99,72,76,69,35,119
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,72,85,78,255,93,105,99,72,76,69,35,119
Working Capital Days,-78,-263,-383,-216,-99,-88,-62,1,-32,173,-141,-481
ROCE %,-4%,2%,-4%,-0%,-1%,7%,10%,16%,2%,-0%,1%,3%

--- SHAREHOLDING PATTERN ---
