--- ABOUT ---
"Incorporated in 1994, Emmbi Industries Ltd manufactures HDPE & PP - Woven Polymer based products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
176,91.6,117,20.2

Book Value,Dividend Yield,ROCE,ROE
103,0.33,8.72,4.52

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,102.53,102.89,107.52,104.16,122.13,112.24,117.01
Expenses +,92.89,93.15,97.69,94.53,110.36,101.09,106.23
Operating Profit,9.64,9.74,9.83,9.63,11.77,11.15,10.78
OPM %,9.40%,9.47%,9.14%,9.25%,9.64%,9.93%,9.21%
Other Income +,0.05,0.05,0.03,0.06,0.06,-1.11,0.11
Interest,4.58,4.53,4.76,4.62,4.83,4.99,4.53
Depreciation,2.92,2.97,3.01,3.01,3.07,3.08,3.02
Profit before tax,2.19,2.29,2.09,2.06,3.93,1.97,3.34
Tax %,28.31%,25.33%,30.14%,28.16%,27.23%,43.15%,27.25%
Net Profit +,1.58,1.70,1.47,1.48,2.86,1.12,2.43
EPS in Rs,0.89,0.92,0.80,0.77,1.49,0.58,1.26
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,404,456
Expenses +,366,412
Operating Profit,38,43
OPM %,9%,10%
Other Income +,0,-1
Interest,18,19
Depreciation,12,12
Profit before tax,9,11
Tax %,28%,30%
Net Profit +,6,8
EPS in Rs,3.37,4.10
Dividend Payout %,9%,7%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,18,19
Reserves,168,180
Borrowings +,159,176
Other Liabilities +,66,85
Total Liabilities,412,460
Fixed Assets +,183,181
CWIP,0,1
Investments,0,0
Other Assets +,228,278
Total Assets,412,460

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,25,9
Cash from Investing Activity +,-19,-11
Cash from Financing Activity +,-5,4
Net Cash Flow,1,2
Free Cash Flow,6,-2
CFO/OP,67%,25%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,76,82
Inventory Days,178,210
Days Payable,68,86
Cash Conversion Cycle,186,206
Working Capital Days,45,57
ROCE %,,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.38%,58.90%,58.90%,59.23%,59.83%,59.69%,61.40%,61.40%,62.94%,62.94%,62.94%,62.95%
FIIs +,0.16%,0.26%,0.25%,0.16%,0.13%,0.13%,0.17%,0.06%,0.02%,0.00%,0.00%,0.00%
DIIs +,1.88%,1.88%,1.88%,1.21%,1.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,39.58%,38.96%,38.98%,39.38%,38.82%,40.18%,38.44%,38.53%,37.05%,37.06%,37.06%,37.06%
No. of Shareholders,"11,321","12,975","12,721","14,091","13,757","13,084","14,614","14,259","13,923","13,475","12,909","12,531"

--- CAGR BOXES ---




