--- ABOUT ---
"Authum Investment & Infrastructure Limited is engaged in the business of fund-based activities viz, investment in shares, securities, mutual funds etc. and providing loans and advances, etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"46,181",544,684,23.9

Book Value,Dividend Yield,ROCE,ROE
173,0.04,13.7,13.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,-81,195,"2,152",691,"1,339","1,417","1,093",617,"1,452","1,215",605,478,311
Interest,-49,21,70,11,-37,10,15,10,18,21,42,69,66
Expenses +,-53,44,36,25,54,162,141,-7,188,56,22,123,109
Financing Profit,22,129,"2,046",655,"1,322","1,245",937,614,"1,246","1,137",540,286,136
Financing Margin %,-27%,66%,95%,95%,99%,88%,86%,100%,86%,94%,89%,60%,44%
Other Income +,"1,898",61,1,2,18,2,24,3,5,9,4,-0,32
Depreciation,2,2,2,2,2,1,2,3,3,3,5,8,14
Profit before tax,"1,918",188,"2,045",655,"1,338","1,246",960,614,"1,248","1,144",539,278,154
Tax %,-1%,-10%,5%,8%,-15%,12%,12%,12%,-41%,18%,-42%,42%,63%
Net Profit +,"1,938",195,"1,940",601,"1,537","1,097",843,539,"1,763",943,767,161,58
EPS in Rs,22.82,2.29,22.84,7.08,18.10,12.91,9.92,6.35,20.76,11.10,9.03,1.90,0.70
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,539,"2,593","4,580","2,609"
Interest,281,77,52,199
Expenses +,186,"-1,642",484,310
Financing Profit,72,"4,158","4,045","2,100"
Financing Margin %,13%,160%,88%,80%
Other Income +,"4,289",76,32,45
Depreciation,9,8,9,30
Profit before tax,"4,351","4,226","4,067","2,115"
Tax %,1%,-1%,-4%,9%
Net Profit +,"4,304","4,285","4,241","1,929"
EPS in Rs,50.68,50.46,49.95,22.74
Dividend Payout %,0%,0%,0%,2%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,17,17,85
Reserves,"3,399","10,328","14,672","14,643"
Borrowing,"1,704","1,128","1,054","3,336"
Other Liabilities +,"1,779",148,344,"1,147"
Total Liabilities,"6,900","11,621","16,087","19,211"
Fixed Assets +,317,355,414,789
CWIP,0,2,6,0
Investments,"3,543","8,940","12,739","15,473"
Other Assets +,"3,039","2,324","2,928","2,949"
Total Assets,"6,900","11,621","16,087","19,211"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,245,"3,291",326,"1,524"
Cash from Investing Activity +,48,"-2,266",-290,"-3,958"
Cash from Financing Activity +,-627,"-1,175",-127,"2,376"
Net Cash Flow,-334,-150,-91,-58
Free Cash Flow,239,"3,242",253,"1,184"
CFO/OP,93%,79%,12%,66%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,2%,61%,34%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.47%,74.53%,74.53%,74.72%,74.95%,74.95%,74.95%,74.95%,74.95%,68.79%,68.79%,68.81%
FIIs +,7.14%,7.14%,7.19%,7.19%,7.23%,7.29%,7.31%,7.41%,7.94%,14.11%,14.45%,14.23%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%,0.09%,0.15%,0.24%,0.17%,0.19%
Public +,21.39%,18.33%,18.28%,18.09%,17.82%,17.76%,17.71%,17.54%,16.95%,16.85%,16.58%,16.76%
No. of Shareholders,"6,137","6,238","8,147","8,562","10,385","23,591","24,205","29,636","37,874","37,613","33,789","39,531"

--- CAGR BOXES ---




