--- ABOUT ---
"Incorporated in 1994, Capital India Finance Ltd is in the business of lending,  forex (including MTSS business) and fintech business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
999,25.6,44.1,

Book Value,Dividend Yield,ROCE,ROE
17.2,0.08,0.86,-9.00

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,159.74,174.99,176.11,165.12,167.38,158.27,142.82,135.01,139.33,122.64,131.79,147.02,125.15
Interest,22.04,25.74,26.24,25.30,24.77,25.62,16.55,18.65,27.62,19.82,19.75,22.24,21.72
Expenses +,155.99,146.23,146.90,133.99,139.98,132.94,120.97,110.34,108.69,100.82,158.78,124.16,102.21
Financing Profit,-18.29,3.02,2.97,5.83,2.63,-0.29,5.30,6.02,3.02,2.00,-46.74,0.62,1.22
Financing Margin %,-11.45%,1.73%,1.69%,3.53%,1.57%,-0.18%,3.71%,4.46%,2.17%,1.63%,-35.47%,0.42%,0.97%
Other Income +,1.69,11.47,2.47,0.66,2.42,0.70,4.23,1.03,2.00,0.48,105.92,1.06,2.73
Depreciation,6.15,7.31,7.96,7.64,7.26,7.92,7.77,8.03,7.94,8.11,8.12,7.66,7.47
Profit before tax,-22.75,7.18,-2.52,-1.15,-2.21,-7.51,1.76,-0.98,-2.92,-5.63,51.06,-5.98,-3.52
Tax %,5.23%,32.45%,102.78%,105.22%,71.95%,-15.45%,65.91%,94.90%,-11.99%,0.18%,12.50%,-13.04%,-15.62%
Net Profit +,-23.94,4.85,-5.11,-2.37,-3.80,-6.35,0.60,-1.91,-2.56,-5.64,44.69,-5.19,-2.98
EPS in Rs,-0.30,0.27,0.00,0.01,0.02,-0.04,0.08,0.02,-0.02,-0.07,1.15,-0.07,-0.00
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,26,60,179,318,532,655,680,612,528
Interest,10,9,17,24,51,84,105,110,84
Expenses +,11,31,127,265,476,633,562,485,487
Financing Profit,5,19,36,29,5,-62,13,17,-43
Financing Margin %,19%,32%,20%,9%,1%,-9%,2%,3%,-8%
Other Income +,0,0,0,-0,-2,1,18,6,110
Depreciation,0,8,12,15,21,25,30,32,31
Profit before tax,4,11,24,15,-18,-85,1,-9,36
Tax %,37%,42%,43%,59%,18%,2%,599%,15%,14%
Net Profit +,3,7,14,6,-21,-87,-6,-10,31
EPS in Rs,0.89,0.17,0.44,0.25,-0.07,-1.07,0.30,0.04,0.99
Dividend Payout %,13%,48%,5%,8%,-28%,-2%,7%,50%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,78,78,78,78,78,78,78,78
Reserves,128,430,444,485,543,528,545,550,595
Borrowing,7,132,121,327,764,924,899,996,961
Other Liabilities +,16,30,70,154,242,265,279,228,211
Total Liabilities,154,670,713,"1,044","1,626","1,795","1,801","1,853","1,846"
Fixed Assets +,8,31,47,56,78,81,94,90,86
CWIP,2,2,1,5,11,35,10,9,0
Investments,0,24,9,0,10,44,10,64,210
Other Assets +,144,614,656,982,"1,528","1,634","1,687","1,691","1,550"
Total Assets,154,670,713,"1,044","1,626","1,795","1,801","1,853","1,846"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-5,-453,30,-69,-313,-23,121,13,-254
Cash from Investing Activity +,-21,-29,25,-87,-110,-16,1,-61,98
Cash from Financing Activity +,-6,490,-17,231,480,80,-124,-27,226
Net Cash Flow,-32,8,38,74,56,41,-2,-75,70
Free Cash Flow,-16,-463,25,-81,-347,-74,99,3,-260
CFO/OP,-15%,"-1,584%",81%,-106%,-540%,-80%,102%,10%,-579%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,2%,2%,3%,2%,-0%,-7%,1%,0%,-9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,73.02%,72.95%,72.87%,72.84%,72.59%,72.59%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.28%,0.08%,0.06%,0.03%
Public +,26.97%,26.96%,26.96%,26.97%,26.98%,26.97%,26.99%,26.93%,26.85%,27.07%,27.34%,27.38%
No. of Shareholders,"1,342","1,342","1,347","1,339","1,461","2,024","2,619","3,740","5,095","7,056","7,434","7,880"

--- CAGR BOXES ---




