--- ABOUT ---
"Incorporated in 2004, Global Surfaces Ltd is in the business of manufacturing quartz and processing of granite and marble [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
198,46.8,140,

Book Value,Dividend Yield,ROCE,ROE
63.8,0.00,-1.62,-10.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,40,36,40,40,109,57,47,46,57,74,54,59,45
Expenses +,32,31,33,33,92,50,45,51,59,67,58,56,64
Operating Profit,8,5,7,7,16,7,2,-5,-2,8,-4,3,-19
OPM %,20%,14%,17%,17%,15%,13%,4%,-12%,-3%,11%,-7%,5%,-42%
Other Income +,1,1,2,1,-0,1,1,5,0,0,9,2,10
Interest,1,1,1,1,1,3,3,4,5,4,4,4,4
Depreciation,2,2,2,2,4,5,5,5,5,4,5,5,5
Profit before tax,6,4,6,4,11,0,-5,-9,-11,0,-3,-3,-17
Tax %,3%,41%,40%,24%,6%,604%,24%,19%,-4%,627%,64%,15%,34%
Net Profit +,6,2,3,3,11,-1,-6,-10,-11,-1,-5,-3,-23
EPS in Rs,1.36,0.51,0.64,0.77,2.48,-0.29,-1.51,-2.45,-2.48,-0.10,-1.10,-0.71,-5.27
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,163,176,190,178,225,208,233
Expenses +,123,128,148,143,190,206,245
Operating Profit,41,48,42,36,35,2,-11
OPM %,25%,27%,22%,20%,16%,1%,-5%
Other Income +,2,3,8,3,4,7,22
Interest,5,3,3,4,4,15,15
Depreciation,17,13,11,9,9,19,18
Profit before tax,21,35,36,25,25,-25,-23
Tax %,-1%,2%,1%,4%,22%,16%,38%
Net Profit +,21,34,36,24,20,-29,-32
EPS in Rs,32.50,52.61,10.52,5.72,4.41,-6.73,-7.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,34,42,42,42,42
Reserves,58,92,100,219,288,260,228
Borrowings +,54,38,79,166,145,199,214
Other Liabilities +,11,22,23,35,47,56,56
Total Liabilities,129,159,236,462,522,558,541
Fixed Assets +,60,54,88,89,294,286,296
CWIP,0,1,7,124,0,0,0
Investments,0,0,11,6,0,0,0
Other Assets +,69,104,131,244,227,271,245
Total Assets,129,159,236,462,522,558,541

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,54,32,28,27,-37,-31,27
Cash from Investing Activity +,-11,-8,-28,-205,9,-6,-10
Cash from Financing Activity +,-46,-19,-3,183,24,37,-16
Net Cash Flow,-3,5,-3,4,-4,0,1
Free Cash Flow,44,24,18,-87,-141,-35,19
CFO/OP,142%,76%,87%,97%,-91%,"-1,393%",-248%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,63,83,75,90,178,224,151
Inventory Days,126,170,198,190,236,342,277
Days Payable,42,81,79,70,119,166,132
Cash Conversion Cycle,147,172,193,210,295,400,295
Working Capital Days,106,123,103,-80,169,144,62
ROCE %,,30%,21%,9%,7%,-2%,-2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.37%,73.37%,73.37%,73.37%,73.37%,73.26%,73.25%,73.25%,73.25%,73.25%,73.25%,73.25%
FIIs +,4.85%,1.71%,2.34%,2.11%,1.89%,1.53%,1.53%,1.67%,0.57%,0.76%,1.60%,1.59%
DIIs +,0.45%,0.62%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%
Public +,21.32%,24.29%,23.85%,24.52%,24.75%,25.22%,25.24%,25.08%,26.20%,25.98%,25.02%,25.15%
No. of Shareholders,"11,578","12,357","13,603","12,894","13,519","14,343","14,800","14,668","14,825","15,612","14,793","14,433"

--- CAGR BOXES ---




