--- ABOUT ---
"Incorporated in 2004, Indo US Bio-Tech Ltd is engaged in production and processing of commercial and vegetable seeds [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
183,91.2,206,36.1

Book Value,Dividend Yield,ROCE,ROE
21.0,0.27,15.4,16.9

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022
Sales +,39.76,39.39,49.39
Expenses +,35.78,34.04,42.60
Operating Profit,3.98,5.35,6.79
OPM %,10.01%,13.58%,13.75%
Other Income +,-0.01,0.03,0.18
Interest,0.88,1.18,1.20
Depreciation,0.23,0.27,0.46
Profit before tax,2.86,3.93,5.31
Tax %,11.54%,-24.68%,4.71%
Net Profit +,2.53,4.90,5.06
EPS in Rs,1.74,3.38,2.77
Dividend Payout %,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022
Equity Capital,6.07,6.07,9.17
Reserves,10.37,15.27,29.34
Borrowings +,8.58,11.57,12.84
Other Liabilities +,9.68,10.80,4.27
Total Liabilities,34.70,43.71,55.62
Fixed Assets +,1.41,2.37,5.55
CWIP,1.28,1.99,2.32
Investments,0.00,0.00,0.00
Other Assets +,32.01,39.35,47.75
Total Assets,34.70,43.71,55.62

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,-0.84,0.16,2.70
Cash from Investing Activity +,-0.57,-1.78,-5.44
Cash from Financing Activity +,1.53,1.55,2.65
Net Cash Flow,0.12,-0.07,-0.09
Free Cash Flow,-1.21,-1.78,-1.27
CFO/OP,-20%,6%,46%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022
Debtor Days,192.60,228.97,151.87
Inventory Days,750.51,,
Days Payable,666.84,,
Cash Conversion Cycle,276.26,228.97,151.87
Working Capital Days,137.43,184.58,255.03
ROCE %,,17.68%,15.45%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.17%,70.17%,70.17%,70.18%,70.18%,70.18%,70.18%,70.18%,70.18%,70.18%,70.18%,68.29%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%
Public +,29.83%,29.83%,29.83%,29.83%,29.82%,29.83%,29.82%,29.83%,29.83%,29.83%,29.83%,31.53%
No. of Shareholders,251,318,"1,227","1,166","1,133",971,"2,828","2,780","3,112","4,130","4,738","4,531"

--- CAGR BOXES ---




