--- ABOUT ---
"Incorporated in 2005, Radiant Cash Management Services Ltd is in the business of Cash Logistics Services, Cash Van Operations and related services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
425,39.8,66.0,12.3

Book Value,Dividend Yield,ROCE,ROE
26.1,6.28,9.96,12.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,92.88,93.47,100.63,98.84,99.91,107.04,115.89,104.31,100.09,104.73,123.88,100.78
Expenses +,69.54,80.15,83.53,85.23,83.25,87.94,94.11,90.92,90.42,92.94,108.53,92.13
Operating Profit,23.34,13.32,17.10,13.61,16.66,19.10,21.78,13.39,9.67,11.79,15.35,8.65
OPM %,25.13%,14.25%,16.99%,13.77%,16.68%,17.84%,18.79%,12.84%,9.66%,11.26%,12.39%,8.58%
Other Income +,0.39,1.95,0.89,1.19,1.29,1.58,1.66,1.78,2.17,2.19,2.14,-0.73
Interest,0.16,0.14,0.40,0.65,0.51,0.42,0.79,1.18,1.21,1.51,2.11,2.31
Depreciation,1.15,1.30,1.68,2.49,2.43,2.50,2.62,2.63,2.76,2.88,2.89,2.98
Profit before tax,22.42,13.83,15.91,11.66,15.01,17.76,20.03,11.36,7.87,9.59,12.49,2.63
Tax %,24.04%,26.39%,26.21%,28.99%,27.98%,26.75%,25.86%,26.23%,26.81%,20.13%,7.21%,-12.17%
Net Profit +,17.03,10.17,11.74,8.28,10.81,13.02,14.85,8.38,5.76,7.66,11.59,2.96
EPS in Rs,1.68,0.95,1.11,0.79,1.02,1.17,1.25,0.92,0.69,0.80,1.03,0.51
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,355,386,427,429
Expenses +,268,305,334,384
Operating Profit,87,82,93,45
OPM %,25%,21%,22%,11%
Other Income +,3,6,6,6
Interest,1,20,25,7
Depreciation,4,7,10,12
Profit before tax,84,61,64,33
Tax %,26%,27%,27%,14%
Net Profit +,63,44,47,28
EPS in Rs,5.88,4.19,4.36,3.02
Dividend Payout %,0%,60%,57%,83%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,11,11,11
Reserves,,242,262,267
Borrowings +,,33,117,194
Other Liabilities +,,29,35,36
Total Liabilities,,315,425,508
Fixed Assets +,,44,41,37
CWIP,,1,0,0
Investments,,0,0,0
Other Assets +,,269,384,471
Total Assets,,315,425,508

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,41,43,18
Cash from Investing Activity +,,8,-24,-38
Cash from Financing Activity +,,-20,53,38
Net Cash Flow,,28,72,18
Free Cash Flow,,21,40,14
CFO/OP,,71%,65%,65%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,73,63,67
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,,73,63,67
Working Capital Days,,33,-36,-84
ROCE %,,,26%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%,56.92%
FIIs +,7.56%,4.95%,2.13%,0.13%,0.07%,2.15%,0.47%,1.02%,0.45%,0.17%,0.17%,0.30%
DIIs +,25.46%,16.58%,18.93%,18.77%,16.42%,9.61%,9.51%,8.60%,2.31%,0.95%,0.95%,0.95%
Public +,10.08%,21.54%,22.01%,24.18%,26.60%,31.33%,33.09%,33.47%,40.33%,41.95%,41.97%,41.84%
No. of Shareholders,"16,642","30,108","37,835","42,282","42,076","43,989","48,395","49,207","47,876","48,776","47,642","46,759"

--- CAGR BOXES ---




