,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-18,34,95,66,59,164,123,230,146,77,64,98
Cash from Investing Activity +,19,-65,-100,-103,-98,-27,-44,-166,-98,15,-7,-4
Cash from Financing Activity +,19,100,-33,-15,34,-51,-29,-120,-93,-92,-48,-83
Net Cash Flow,20,69,-38,-52,-5,87,51,-56,-45,-1,8,12
Free Cash Flow,-16,-9,39,-36,-0,107,79,132,39,69,53,93
CFO/OP,10%,71%,101%,87%,62%,103%,71%,107%,288%,-217%,-264%,102%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,77,79,114,111,110,116,134,100,77,118,117,151
Inventory Days,34,55,,,,,,,,,,
Days Payable,235,342,,,,,,,,,,
Cash Conversion Cycle,-123,-208,114,111,110,116,134,100,77,118,117,151
Working Capital Days,-108,28,-29,-11,17,40,210,73,-56,-165,-139,-100
ROCE %,1%,6%,11%,10%,13%,16%,21%,23%,-2%,-18%,-27%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,4.34%,0.07%,0.07%,0.07%,0.42%,1.62%,1.62%,1.62%,3.90%,6.30%,9.48%,9.48%
FIIs +,8.26%,8.27%,8.48%,8.14%,8.15%,8.78%,12.06%,13.65%,15.97%,16.00%,15.00%,16.04%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.24%,4.22%,4.25%,4.25%,4.19%,4.19%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,0.44%,0.44%,0.44%
Public +,87.40%,91.66%,91.46%,91.78%,91.43%,89.60%,82.08%,80.50%,75.44%,73.01%,70.89%,69.84%
No. of Shareholders,"1,81,204","1,92,410","1,85,759","2,08,497","2,03,707","1,96,494","1,92,543","1,91,252","1,90,835","1,90,694","1,90,882","1,88,185"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,3%
5 Years:,3%
3 Years:,2%
TTM:,22%

Compounded Profit Growth
10 Years:,9%
5 Years:,-40%
3 Years:,29%
TTM:,106%

Stock Price CAGR
10 Years:,-10%
5 Years:,-3%
3 Years:,2%
1 Year:,-36%

Return on Equity
10 Years:,-1%
5 Years:,-5%
3 Years:,-25%
Last Year:,3%

