--- ABOUT ---
"Gufic Biosciences Limited is engaged in the manufacture of pharmaceuticals, medicinal chemicals and botanical products."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,563",355,409,55.5

Book Value,Dividend Yield,ROCE,ROE
66.3,0.03,12.3,10.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,215,202,195,203,204,208,205,224,237,231,252
Expenses +,176,165,161,167,166,174,179,190,199,198,205
Operating Profit,39,36,34,36,39,34,26,33,38,33,47
OPM %,18%,18%,18%,18%,19%,16%,13%,15%,16%,14%,19%
Other Income +,0,0,1,1,0,2,0,1,2,1,-1
Interest,4,3,4,5,5,5,8,9,10,8,9
Depreciation,4,4,4,4,4,5,8,8,8,8,8
Profit before tax,31,30,27,28,29,26,11,17,23,18,29
Tax %,25%,25%,26%,26%,26%,26%,27%,24%,26%,30%,24%
Net Profit +,23,22,20,21,22,19,8,13,17,12,22
EPS in Rs,2.39,2.22,2.00,2.08,2.17,1.93,0.77,1.30,1.68,1.24,2.18
Raw PDF,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,807,820,944
Expenses +,657,684,793
Operating Profit,150,136,151
OPM %,19%,17%,16%
Other Income +,-0,4,3
Interest,17,25,37
Depreciation,17,21,31
Profit before tax,116,94,87
Tax %,26%,26%,26%
Net Profit +,86,70,64
EPS in Rs,8.59,6.95,6.40
Dividend Payout %,1%,1%,2%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10
Reserves,523,591,655
Borrowings +,333,336,405
Other Liabilities +,227,232,273
Total Liabilities,"1,093","1,169","1,342"
Fixed Assets +,159,506,491
CWIP,307,22,22
Investments,2,2,2
Other Assets +,625,640,827
Total Assets,"1,093","1,169","1,342"

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-7,123,45
Cash from Investing Activity +,-102,-71,-31
Cash from Financing Activity +,82,-37,32
Net Cash Flow,-27,15,46
Free Cash Flow,-116,52,14
CFO/OP,13%,107%,38%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,149,140,115
Inventory Days,188,211,281
Days Payable,156,155,172
Cash Conversion Cycle,181,197,224
Working Capital Days,97,93,80
ROCE %,,13%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,72.51%,72.51%,72.51%,72.51%,72.51%,72.51%,72.51%,72.50%,72.50%,72.50%
FIIs +,0.70%,0.72%,0.47%,0.12%,0.23%,0.23%,0.30%,0.31%,0.32%,0.33%,0.44%,0.42%
DIIs +,1.16%,1.63%,1.72%,2.20%,2.38%,2.51%,2.99%,3.39%,3.38%,3.66%,3.74%,3.83%
Public +,23.12%,22.64%,25.29%,25.17%,24.89%,24.75%,24.20%,23.79%,23.81%,23.51%,23.30%,23.23%
No. of Shareholders,"38,624","36,557","34,424","34,695","32,250","32,825","33,299","31,844","31,876","31,420","30,362","29,223"

--- CAGR BOXES ---




