--- ABOUT ---
"Gujarat Pipavav Port is India's first private sector port located on the south west coast of Gujarat near Bhavnagar. The port is strategically placed to on International Maritime Trade route which connects India with US, Europe, Africa, Middle East on one side and Far east on the other side."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,400",153,200,14.8

Book Value,Dividend Yield,ROCE,ROE
49.4,5.36,28.0,21.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,235,215,253,270,251,246,227,263,252,250,299,292,317
Expenses +,105,109,102,110,97,96,94,124,95,102,122,132,94
Operating Profit,130,106,151,159,154,150,133,139,157,148,178,160,223
OPM %,55%,49%,60%,59%,61%,61%,58%,53%,62%,59%,59%,55%,70%
Other Income +,24,16,26,25,-32,25,25,25,23,24,70,19,-0
Interest,2,3,2,2,3,2,2,1,2,2,1,2,1
Depreciation,28,29,29,29,29,29,29,31,28,31,32,32,30
Profit before tax,125,90,146,153,91,144,126,132,150,139,215,144,192
Tax %,22%,25%,37%,24%,27%,24%,40%,25%,25%,25%,25%,25%,26%
Net Profit +,97,68,92,116,66,110,75,99,112,104,161,108,142
EPS in Rs,2.01,1.40,1.91,2.40,1.36,2.27,1.56,2.06,2.32,2.16,3.32,2.23,2.94
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,660,683,649,702,735,733,741,917,988,988,"1,158"
Expenses +,278,262,275,313,289,311,331,414,415,410,450
Operating Profit,382,421,374,389,447,422,411,503,574,578,708
OPM %,58%,62%,58%,55%,61%,58%,55%,55%,58%,58%,61%
Other Income +,61,66,59,76,78,48,30,35,31,98,114
Interest,0,0,0,0,7,6,5,8,9,6,7
Depreciation,97,107,104,113,131,133,129,116,116,117,126
Profit before tax,345,379,330,352,386,330,307,413,479,552,689
Tax %,34%,26%,33%,33%,17%,33%,36%,24%,29%,28%,25%
Net Profit +,227,282,221,237,319,222,197,313,342,397,515
EPS in Rs,4.71,5.84,4.57,4.90,6.61,4.59,4.08,6.48,7.07,8.21,10.66
Dividend Payout %,40%,65%,74%,71%,85%,98%,98%,94%,103%,100%,47%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,483,483,483,483,483,483,483,483,483,483,483
Reserves,"1,604","1,659","1,676","1,714","1,805","1,756","1,760","1,827","1,830","1,854","1,905"
Borrowings +,0,0,0,0,58,47,47,79,79,63,37
Other Liabilities +,282,331,296,348,282,363,442,479,544,535,598
Total Liabilities,"2,369","2,473","2,456","2,546","2,629","2,649","2,733","2,869","2,936","2,935","3,024"
Fixed Assets +,"1,342","1,676","1,686","1,590","1,583","1,467","1,408","1,363","1,358","1,329","1,295"
CWIP,392,92,32,45,6,53,49,95,81,83,286
Investments,174,206,228,259,286,290,294,315,321,338,355
Other Assets +,462,499,509,651,754,839,981,"1,096","1,177","1,186","1,088"
Total Assets,"2,369","2,473","2,456","2,546","2,629","2,649","2,733","2,869","2,936","2,935","3,024"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,389,406,315,299,343,388,380,370,489,446,510
Cash from Investing Activity +,-285,-245,-129,-126,-85,-105,-166,-82,-111,-56,-18
Cash from Financing Activity +,-0,-227,-204,-198,-250,-296,-220,-273,-370,-401,-495
Net Cash Flow,104,-66,-18,-25,8,-13,-6,15,8,-11,-3
Free Cash Flow,23,263,261,268,329,343,329,312,417,351,220
CFO/OP,123%,110%,98%,95%,91%,106%,107%,95%,109%,101%,96%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,16,15,14,26,23,24,26,34,21,18,14
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,16,15,14,26,23,24,26,34,21,18,14
Working Capital Days,-93,-101,-91,-69,-59,-75,-79,-52,-106,-105,-11
ROCE %,,18%,15%,16%,17%,15%,14%,20%,23%,23%,28%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%,44.01%
FIIs +,21.02%,20.12%,19.81%,18.31%,18.53%,19.81%,20.49%,19.45%,19.48%,19.82%,21.04%,22.14%
DIIs +,22.66%,21.23%,20.01%,17.38%,17.04%,16.42%,16.75%,17.10%,16.25%,15.73%,14.93%,14.96%
Public +,12.32%,14.65%,16.19%,20.31%,20.42%,19.77%,18.75%,19.44%,20.26%,20.43%,20.01%,18.88%
No. of Shareholders,"1,40,258","1,61,167","1,69,217","2,15,960","2,26,625","2,43,604","2,30,147","2,37,378","2,45,885","2,46,649","2,38,563","2,33,922"

--- CAGR BOXES ---




