--- ABOUT ---
"Incorporated in 2006, GNG Electronics Limited offers refurbishing services for laptops, desktops, and ICT Devices, both globally and in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,723",502,503,43.4

Book Value,Dividend Yield,ROCE,ROE
66.5,0.00,20.3,26.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,255,353,347,456,312,440,487,652
Expenses +,230,320,317,428,280,393,433,588
Operating Profit,26,33,31,28,32,47,54,63
OPM %,10%,9%,9%,6%,10%,11%,11%,10%
Other Income +,2,3,1,3,3,0,1,1
Interest,10,10,9,10,11,8,9,14
Depreciation,2,2,2,3,2,2,3,3
Profit before tax,16,24,21,18,22,36,43,46
Tax %,23%,2%,9%,18%,18%,10%,10%,9%
Net Profit +,12,23,19,15,19,33,39,42
EPS in Rs,"3,131.44","5,943.30",1.96,1.52,1.91,2.86,3.39,3.70
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,245,344,519,661,"1,138","1,411","1,891"
Expenses +,239,331,489,616,"1,059","1,294","1,695"
Operating Profit,6,13,31,45,79,117,196
OPM %,2%,4%,6%,7%,7%,8%,10%
Other Income +,1,2,1,3,6,9,4
Interest,5,6,8,12,24,38,42
Depreciation,0,1,1,1,4,9,10
Profit before tax,2,8,23,36,57,78,148
Tax %,15%,11%,11%,8%,9%,12%,11%
Net Profit +,2,7,20,33,52,69,132
EPS in Rs,,,"5,213.92","8,440.72","13,438.14",7.09,11.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.04,0.04,0.04,0.04,0.04,19,23
Reserves,43,51,79,111,163,207,735
Borrowings +,54,82,100,149,332,454,433
Other Liabilities +,40,38,11,16,91,39,63
Total Liabilities,137,170,190,277,586,719,"1,254"
Fixed Assets +,8,7,7,8,41,41,74
CWIP,0,0,0,1,0,0,0
Investments,0,0,0,0,7,0,0
Other Assets +,129,163,183,268,538,678,"1,180"
Total Assets,137,170,190,277,586,719,"1,254"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-35,-12,-17,1,97,25,-215
Cash from Investing Activity +,-6,-4,0,-34,-28,3,-46
Cash from Financing Activity +,49,23,18,40,-29,-34,351
Net Cash Flow,8,7,1,8,40,-7,90
Free Cash Flow,-42,-13,-18,1,73,15,-238
CFO/OP,-599%,-86%,-48%,10%,129%,28%,-102%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,86,42,29,50,37,17,40
Inventory Days,78,111,89,85,115,153,
Days Payable,64,43,8,7,31,8,
Cash Conversion Cycle,101,110,110,128,122,162,40
Working Capital Days,31,24,46,47,18,52,112
ROCE %,,12%,20%,22%,21%,20%,20%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,78.71%,78.71%,78.71%
FIIs +,3.42%,2.41%,2.78%
DIIs +,4.62%,4.67%,5.20%
Public +,13.26%,14.21%,13.33%
No. of Shareholders,"55,550","54,579","49,026"

--- CAGR BOXES ---




