--- ABOUT ---
"Incorporated in 1972, Indo National manufactures and markets batteries, torches, LED products, electrical  accessories, mosquito bats, razors and blades [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
264,352,506,

Book Value,Dividend Yield,ROCE,ROE
403,1.42,-5.47,-7.11

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,143,132,172,168,169,121,128,122,97,119,120,106,107
Expenses +,139,130,164,155,151,131,127,133,99,117,116,113,125
Operating Profit,5,2,8,13,18,-10,1,-11,-2,3,4,-7,-18
OPM %,3%,2%,4%,8%,10%,-8%,1%,-9%,-2%,2%,3%,-6%,-17%
Other Income +,2,2,3,3,3,182,3,2,3,2,2,2,2
Interest,3,3,4,3,3,3,-0,0,1,1,1,1,1
Depreciation,5,4,4,4,5,5,3,3,3,3,3,3,3
Profit before tax,-1,-3,2,8,12,164,2,-12,-3,1,2,-8,-20
Tax %,102%,5%,-42%,28%,26%,20%,-15%,-3%,-103%,10%,27%,-7%,2%
Net Profit +,-2,-3,3,6,9,132,2,-12,0,1,1,-8,-21
EPS in Rs,-3.47,-0.71,5.73,4.59,3.20,178.12,2.89,-16.09,0.11,1.36,1.84,-10.45,-27.88
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,361,377,394,443,508,532,570,572,641,467,452
Expenses +,337,346,352,402,447,474,544,557,600,490,471
Operating Profit,24,31,42,41,61,58,26,15,41,-22,-18
OPM %,7%,8%,11%,9%,12%,11%,5%,3%,6%,-5%,-4%
Other Income +,18,15,15,17,-13,18,19,5,10,190,8
Interest,6,5,5,12,17,13,11,11,14,3,3
Depreciation,8,8,9,11,12,13,13,17,18,13,13
Profit before tax,28,33,43,35,18,50,21,-8,19,151,-26
Tax %,53%,36%,29%,25%,43%,35%,36%,-0%,25%,19%,2%
Net Profit +,13,21,31,27,10,33,13,-8,15,122,-27
EPS in Rs,18.89,25.57,29.79,24.56,1.88,40.51,10.59,-7.59,12.83,165.01,-35.12
Dividend Payout %,66%,49%,34%,41%,133%,31%,47%,-66%,39%,3%,-11%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,4,4,4,4,4
Reserves,172,198,209,219,211,238,236,228,232,434,299
Borrowings +,58,49,65,113,121,123,124,132,140,53,34
Other Liabilities +,77,78,152,146,161,148,147,151,223,230,94
Total Liabilities,311,329,431,481,496,513,511,515,599,721,431
Fixed Assets +,134,158,163,182,188,182,215,226,254,223,170
CWIP,1,2,14,5,1,1,2,4,2,4,6
Investments,0,0,0,0,0,0,0,0,0,96,61
Other Assets +,177,169,254,295,307,330,294,284,343,398,193
Total Assets,311,329,431,481,496,513,511,515,599,721,431

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,37,44,38,-19,10,10,35,36,44,-56,40
Cash from Investing Activity +,-21,-20,-12,-7,1,8,-35,-28,-38,80,17
Cash from Financing Activity +,-11,-30,-18,29,-9,-13,-20,-9,-9,-19,-58
Net Cash Flow,5,-6,8,2,2,5,-20,-1,-4,6,-1
Free Cash Flow,16,11,11,-40,-4,4,-10,6,0,-97,14
CFO/OP,188%,182%,118%,-15%,27%,44%,160%,270%,116%,90%,-226%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,81,82,116,113,83,103,61,80,76,70,47
Inventory Days,72,82,79,85,111,107,124,88,95,147,80
Days Payable,29,41,92,77,87,77,63,69,72,81,49
Cash Conversion Cycle,124,124,103,120,107,133,122,99,99,136,78
Working Capital Days,50,53,13,33,40,73,58,38,36,97,73
ROCE %,,16%,18%,15%,18%,17%,7%,1%,8%,33%,-5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%,65.35%
FIIs +,0.00%,0.00%,0.00%,0.03%,0.00%,0.04%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%
Public +,34.64%,34.65%,34.65%,34.62%,34.65%,34.61%,34.66%,34.65%,34.64%,34.64%,34.62%,34.65%
No. of Shareholders,"11,766","11,280","10,216","11,052","13,027","13,434","13,491","13,708","13,969","13,993","13,855","13,958"

--- CAGR BOXES ---




