--- ABOUT ---
"Incorporated in 1990, Kothari Petrochemicals Ltd is the manufacturer of PolyIso Butylene [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
722,123,188,76.2

Book Value,Dividend Yield,ROCE,ROE
11.6,0.82,18.0,14.2

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,237,334,278,212
Expenses +,229,321,260,197
Operating Profit,8,12,19,15
OPM %,3%,4%,7%,7%
Other Income +,3,3,3,3
Interest,1,1,2,1
Depreciation,2,2,3,3
Profit before tax,7,12,17,15
Tax %,30%,34%,30%,35%
Net Profit +,5,8,12,10
EPS in Rs,0.89,1.34,2.03,1.62
Dividend Payout %,85%,75%,50%,62%

--- BALANCE SHEET ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,59,59,59,59
Reserves,1,2,6,9
Borrowings +,8,18,23,18
Other Liabilities +,28,31,31,26
Total Liabilities,97,111,119,112
Fixed Assets +,48,47,52,53
CWIP,0,6,2,2
Investments,3,6,11,5
Other Assets +,45,52,54,52
Total Assets,97,111,119,112

--- CASH FLOW ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity +,0,15,15,16
Cash from Investing Activity +,9,-8,-7,5
Cash from Financing Activity +,-8,2,-4,-13
Net Cash Flow,1,9,4,8
Free Cash Flow,9,9,10,13
CFO/OP,20%,91%,99%,133%

--- RATIOS ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Debtor Days,33,34,31,28
Inventory Days,20,8,17,22
Days Payable,28,19,22,34
Cash Conversion Cycle,25,23,26,16
Working Capital Days,13,0,-7,-10
ROCE %,,18%,23%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,70.98%,72.22%,72.22%,72.22%
FIIs +,0.00%,0.00%,0.00%,0.01%,0.02%,0.34%,0.16%,0.01%,0.00%,0.00%,0.00%,0.01%
DIIs +,0.09%,0.09%,0.09%,0.09%,0.12%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%
Public +,28.93%,28.93%,28.92%,28.91%,28.87%,28.59%,28.76%,28.92%,28.92%,27.69%,27.69%,27.68%
No. of Shareholders,"36,270","36,459","36,501","37,198","36,589","40,872","41,914","43,325","42,945","42,334","41,147","39,808"

--- CAGR BOXES ---




